T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1531.308287	7	12	81	0.2876319606	0.2833362416	3.729312618	7.389804967	88.88088241	8.293081439	13.8226619	77.88425667										0	0	0	-1531.308287	0.2833362416	296.157348941251	
1528.748287	7	12	81	0.2963496015	0.2919626304	3.746409948	7.451914691	88.80167536	8.341634051	13.8754255	77.78294045										0	0	0	-1528.748287	0.2919626304	297.35331013952	
1526.188287	7	12	81	0.3050302357	0.3005549505	3.763516904	7.514220523	88.72226257	8.390733057	13.92756187	77.68170507										0	0	0	-1526.188287	0.3005549505	298.510831248524	
1523.628287	7	12	81	0.3136752479	0.3091145616	3.780638128	7.576716433	88.64264544	8.440400846	13.9790571	77.58054205										0	0	0	-1523.628287	0.3091145616	299.630543920439	
1521.068287	7	12	81	0.3222859742	0.3176427764	3.797778407	7.639396	88.56282559	8.490660404	14.02989677	77.47944282										0	0	0	-1521.068287	0.3176427764	300.713171498812	
1518.508287	7	12	81	0.3308637016	0.3261408596	3.814942672	7.702252394	88.48280493	8.541535331	14.08006596	77.37839871										0	0	0	-1518.508287	0.3261408596	301.759522353575	
1515.948287	7	12	81	0.3394096678	0.334610028	3.832136003	7.765278367	88.40258563	8.593049858	14.12954919	77.27740095										0	0	0	-1515.948287	0.334610028	302.770483307298	
1513.388287	7	12	81	0.3479250603	0.3430514498	3.849363633	7.828466234	88.32217013	8.645228861	14.17833049	77.17644065										0	0	0	-1513.388287	0.3430514498	303.747043057949	
1510.828287	7	12	81	0.356411016	0.3514662433	3.866630947	7.891807861	88.24156119	8.698097874	14.22639328	77.07550884										0	0	0	-1510.828287	0.3514662433	304.690274522837	
1508.268287	7	12	81	0.3648686201	0.3598554771	3.883943485	7.955294653	88.16076186	8.751683111	14.27372048	76.97459641										0	0	0	-1508.268287	0.3598554771	305.601346279606	
1505.708287	7	12	81	0.3732989058	0.3682201681	3.901306945	8.018917534	88.07977552	8.806011474	14.32029437	76.87369416										0	0	0	-1505.708287	0.3682201681	306.481526131803	
1503.148287	7	12	81	0.3817028529	0.3765612814	3.918727181	8.082666942	87.99860588	8.861110575	14.36609668	76.77279275										0	0	0	-1503.148287	0.3765612814	307.33216525423	
1500.588287	7	12	81	0.390081387	0.3848797291	3.93621021	8.146532806	87.91725698	8.917008744	14.41110853	76.67188273										0	0	0	-1500.588287	0.3848797291	308.154720280419	
1498.028287	7	12	81	0.3984353784	0.3931763689	3.953762206	8.210504537	87.83573326	8.973735052	14.45531041	76.57095454										0	0	0	-1498.028287	0.3931763689	308.950751939447	
1495.468287	7	12	81	0.4067656408	0.4014520029	3.971389506	8.274571017	87.75403948	9.031319316	14.49868221	76.46999847										0	0	0	-1495.468287	0.4014520029	309.721914302843	
1492.908287	7	12	81	0.4150729304	0.4097073767	3.989098609	8.338720578	87.67218081	9.089792121	14.54120318	76.3690047										0	0	0	-1492.908287	0.4097073767	310.469960781039	
1490.348287	7	12	81	0.4233579443	0.4179431778	4.006896174	8.402940998	87.59016283	9.149184828	14.5828519	76.26796328										0	0	0	-1490.348287	0.4179431778	311.196752074973	
1487.788287	7	12	81	0.4316213193	0.4261600342	4.02478902	8.467219483	87.5079915	9.20952959	14.62360631	76.1668641										0	0	0	-1487.788287	0.4261600342	311.904220707297	
1485.228287	7	12	81	0.4398636321	0.4343585146	4.042784098	8.531542694	87.42567321	9.270859397	14.6634437	76.06569691										0	0	0	-1485.228287	0.4343585146	312.594495982136	
1482.668287	7	12	81	0.4480853909	0.4425391204	4.060888601	8.595896595	87.3432148	9.333207945	14.70234067	75.96445139										0	0	0	-1482.668287	0.4425391204	313.269751562019	
1480.108287	7	12	81	0.4562870445	0.4507022938	4.079109794	8.660266648	87.26062356	9.396609863	14.74027315	75.86311699										0	0	0	-1480.108287	0.4507022938	313.932206082496	
1477.548287	7	12	81	0.4644689738	0.4588484098	4.097455125	8.724637673	87.1779072	9.461100577	14.77721638	75.76168304										0	0	0	-1477.548287	0.4588484098	314.584273932903	
1474.988287	7	12	81	0.4726314913	0.4669777763	4.115932187	8.788993866	87.09507395	9.526716353	14.81314493	75.66013872										0	0	0	-1474.988287	0.4669777763	315.228455199616	
1472.428287	7	12	81	0.4807748404	0.4750906319	4.134548723	8.853318801	87.01213248	9.593494309	14.84803264	75.55847305										0	0	0	-1472.428287	0.4750906319	315.86735642718	
1469.868287	7	12	81	0.4888991932	0.4831871449	4.153312615	8.917595414	86.92909197	9.661472414	14.88185269	75.45667489										0	0	0	-1469.868287	0.4831871449	316.503693184302	
1467.308287	7	12	81	0.4970046491	0.491267411	4.172231881	8.981806006	86.84596211	9.730689495	14.91457757	75.35473294										0	0	0	-1467.308287	0.491267411	317.14029269638	
1464.748287	7	12	81	0.5050912329	0.4993314522	4.191314667	9.045932239	86.76275309	9.801185239	14.94617904	75.25263572										0	0	0	-1464.748287	0.4993314522	317.780097393696	
1462.188287	7	12	81	0.5131588938	0.5073792144	4.210569243	9.10995513	86.67947563	9.873000196	14.9766282	75.1503716										0	0	0	-1462.188287	0.5073792144	318.426158708364	
1459.628287	7	12	81	0.5212075029	0.5154105667	4.23000399	9.173855059	86.59614095	9.946175772	15.00589548	75.04792875										0	0	0	-1459.628287	0.5154105667	319.081641739173	
1457.068287	7	12	81	0.5292368527	0.5234252989	4.249627396	9.237611766	86.51276084	10.02075423	15.0339506	74.94529517										0	0	0	-1457.068287	0.5234252989	319.749834084522	
1454.508287	7	12	81	0.5372466549	0.5314231205	4.269448043	9.301204357	86.4293476	10.09677868	15.06076265	74.84245867										0	0	0	-1454.508287	0.5314231205	320.434131938186	
1451.948287	7	12	81	0.5452365394	0.5394036591	4.289474596	9.364611312	86.34591409	10.17429308	15.08630003	74.73940688										0	0	0	-1451.948287	0.5394036591	321.138048444676	
1449.388287	7	12	81	0.5532060529	0.5473664592	4.309715792	9.427810493	86.26247371	10.25334222	15.11053055	74.63612723										0	0	0	-1449.388287	0.5473664592	321.865223211971	
1446.828287	7	12	81	0.5611546577	0.5553109804	4.330180427	9.490779157	86.17904042	10.33397169	15.13342136	74.53260696										0	0	0	-1446.828287	0.5553109804	322.619408223048	
1444.268287	7	12	81	0.5690817307	0.5632365972	4.350877338	9.553493971	86.09562869	10.41622789	15.15493903	74.42883307										0	0	0	-1444.268287	0.5632365972	323.404477201037	
1441.708287	7	12	81	0.5769865626	0.5711425971	4.371815393	9.615931028	86.01225358	10.50015802	15.17504957	74.32479241										0	0	0	-1441.708287	0.5711425971	324.224433465791	
1439.148287	7	12	81	0.5848683572	0.5790281804	4.393003471	9.678065867	85.92893066	10.58581	15.19371843	74.22047157										0	0	0	-1439.148287	0.5790281804	325.083394762528	
1436.588287	7	12	81	0.5927262307	0.5868924595	4.414450444	9.7398735	85.84567606	10.67323252	15.21091054	74.11585694										0	0	0	-1436.588287	0.5868924595	325.985613619466	
1434.028287	7	12	81	0.6005592115	0.5947344582	4.43616516	9.801328433	85.76250641	10.76247495	15.22659036	74.01093469										0	0	0	-1434.028287	0.5947344582	326.93546800767	
1431.468287	7	12	81	0.6083662404	0.602553112	4.458156417	9.862404704	85.67943888	10.85358735	15.2407219	73.90569075										0	0	0	-1431.468287	0.602553112	327.937467743512	
1428.908287	7	12	81	0.6161461702	0.6103472677	4.480432952	9.923075907	85.59649114	10.94662038	15.25326879	73.80011083										0	0	0	-1428.908287	0.6103472677	328.996255379513	
1426.348287	7	12	81	0.6238977668	0.6181156843	4.503003407	9.983315238	85.51368135	11.04162532	15.26419429	73.69418039										0	0	0	-1426.348287	0.6181156843	330.116610832915	
1423.788287	7	12	81	0.6316197096	0.6258570331	4.525876312	10.04309553	85.43102816	11.13865399	15.27346134	73.58788467										0	0	0	-1423.788287	0.6258570331	331.30345451747	
1421.228287	7	12	81	0.6393105927	0.6335698992	4.549060059	10.1023893	85.34855065	11.23775873	15.28103265	73.48120862										0	0	0	-1421.228287	0.6335698992	332.561850085047	
1418.668287	7	12	81	0.6469689261	0.6412527823	4.572562873	10.16116878	85.26626835	11.33899229	15.28687073	73.37413698										0	0	0	-1418.668287	0.6412527823	333.897007632826	
1416.108287	7	12	81	0.6545931378	0.6489040989	4.596392791	10.21940601	85.1842012	11.44240784	15.29093795	73.26665421										0	0	0	-1416.108287	0.6489040989	335.314286454627	
1413.548287	7	12	81	0.6621815756	0.6565221839	4.620557626	10.27707284	85.10236953	11.54805888	15.2931966	73.15874453										0	0	0	-1413.548287	0.6565221839	336.819142180618	
1410.988287	7	12	81	0.6697325129	0.6641052961	4.645064997	10.33414104	85.02079396	11.65599913	15.29360901	73.05039186										0	0	0	-1410.988287	0.6641052961	338.417387234734	
1408.428287	7	12	81	0.6772441395	0.6716516092	4.669922095	10.39058229	84.93949561	11.76628262	15.2921375	72.94157987										0	0	0	-1408.428287	0.6716516092	340.114871135	
1405.868287	7	12	81	0.6847145824	0.6791592325	4.695135949	10.44636833	84.85849572	11.87896343	15.2887446	72.83229197										0	0	0	-1405.868287	0.6791592325	341.917486265045	
1403.308287	7	12	81	0.692141898	0.686626203	4.720713202	10.50147096	84.77781584	11.99409568	15.28339305	72.72251127										0	0	0	-1403.308287	0.686626203	343.83149756146	
1400.748287	7	12	81	0.6995240793	0.6940504922	4.746660129	10.55586214	84.69747773	12.1117335	15.27604587	72.61222063										0	0	0	-1400.748287	0.6940504922	345.863298603037	
1398.188287	7	12	81	0.7068590597	0.7014300104	4.772982602	10.60951406	84.61750334	12.23193089	15.26666651	72.5014026										0	0	0	-1398.188287	0.7014300104	348.019482120078	
1395.628287	7	12	81	0.7141447186	0.7087626115	4.799686064	10.66239921	84.53791472	12.35474168	15.25521885	72.39003947										0	0	0	-1395.628287	0.7087626115	350.30684419969	
1393.068287	7	12	81	0.7213788861	0.7160460983	4.826775495	10.71449045	84.45873406	12.48021938	15.24166737	72.27811325										0	0	0	-1393.068287	0.7160460983	352.732390864679	
1390.508287	7	12	81	0.7285593491	0.7232782282	4.854255379	10.76576109	84.37998354	12.60841715	15.2259772	72.16560565										0	0	0	-1390.508287	0.7232782282	355.303361945343	
1387.948287	7	12	81	0.7356838566	0.7304567187	4.88212968	10.81618496	84.30168536	12.73938766	15.20811421	72.05249813										0	0	0	-1387.948287	0.7304567187	358.027242995588	
1385.388287	7	12	81	0.7427501267	0.7375792538	4.910401805	10.86573653	84.22386167	12.87318302	15.18804512	71.93877185										0	0	0	-1385.388287	0.7375792538	360.911757234175	
1382.828287	7	12	81	0.7497558528	0.744643491	4.939074582	10.91439092	84.1465345	13.00985467	15.1657376	71.82440773										0	0	0	-1382.828287	0.744643491	363.964902251537	
1380.268287	7	12	81	0.7566987107	0.7516470674	4.968150227	10.96212403	84.06972574	13.14945325	15.14116036	71.70938639										0	0	0	-1380.268287	0.7516470674	367.194957860326	
1377.708287	7	12	81	0.7635763654	0.7585876075	4.99763032	11.00891261	83.99345707	13.29202855	15.11428322	71.59368823										0	0	0	-1377.708287	0.7585876075	370.610489432783	
1375.148287	7	12	81	0.770386479	0.7654627303	5.027515777	11.05473431	83.91774992	13.43762937	15.08507726	71.47729338										0	0	0	-1375.148287	0.7654627303	374.220394138489	
1372.588287	7	12	81	0.7771267175	0.7722700564	5.057806833	11.09956778	83.84262539	13.58630338	15.05351487	71.36018174										0	0	0	-1372.588287	0.7722700564	378.033890625745	
1370.028287	7	12	81	0.7837947589	0.7790072165	5.088503012	11.14339274	83.76810424	13.7380971	15.0195699	71.242333										0	0	0	-1370.028287	0.7790072165	382.060552203719	
1367.468287	7	12	81	0.790388301	0.7856718583	5.119603113	11.18619004	83.69420685	13.89305569	14.98321767	71.12372664										0	0	0	-1367.468287	0.7856718583	386.310340088069	
1364.908287	7	12	81	0.7969050688	0.7922616547	5.151105188	11.22794171	83.6209531	14.05122289	14.94443516	71.00434195										0	0	0	-1364.908287	0.7922616547	390.79360404337	
1362.348287	7	12	81	0.8033428224	0.7987743116	5.183006532	11.26863106	83.54836241	14.21264091	14.90320101	70.88415808										0	0	0	-1362.348287	0.7987743116	395.521126404314	
1359.788287	7	12	81	0.8096993645	0.8052075754	5.215303664	11.30824271	83.47645363	14.37735027	14.85949571	70.76315402										0	0	0	-1359.788287	0.8052075754	400.505559113554	
1357.228287	7	12	81	0.8159725054	0.8115591968	5.247991786	11.34676256	83.40524566	14.54538987	14.81330121	70.64130892										0	0	0	-1357.228287	0.8115591968	405.755635811848	
1354.668287	7	12	81	0.8221602454	0.8178271179	5.281066943	11.38417822	83.33475483	14.71679632	14.76460262	70.51860106										0	0	0	-1354.668287	0.8178271179	411.283366904643	
1352.108287	7	12	81	0.828260527	0.8240092179	5.31452287	11.4204785	83.26499863	14.89160456	14.71338602	70.39500941										0	0	0	-1352.108287	0.8240092179	417.103973403126	
1349.548287	7	12	81	0.8342714083	0.8301034913	5.348353042	11.4556538	83.19599316	15.0698473	14.65964001	70.27051269										0	0	0	-1349.548287	0.8301034913	423.229336473139	
1346.988287	7	12	81	0.8401910265	0.8361080096	5.382550139	11.48969604	83.12775382	15.25155496	14.60335538	70.14508966										0	0	0	-1346.988287	0.8361080096	429.673349813849	
1344.428287	7	12	81	0.846017604	0.8420209281	5.417106055	11.52259871	83.06029524	15.43675559	14.54452524	70.01871917										0	0	0	-1344.428287	0.8420209281	436.450543427025	
1341.868287	7	12	81	0.8517494545	0.8478404921	5.452011894	11.55435689	82.99363122	15.62547473	14.48314507	69.8913802										0	0	0	-1341.868287	0.8478404921	443.57615255838	
1339.308287	7	12	81	0.8573849887	0.8535650422	5.487257989	11.58496723	82.92777478	15.81773529	14.41921274	69.76305197										0	0	0	-1339.308287	0.8535650422	451.066154460039	
1336.748287	7	12	81	0.862922719	0.8591930199	5.522833905	11.614428	82.8627381	16.01355739	14.35272867	69.63371394										0	0	0	-1336.748287	0.8591930199	458.937315541485	
1334.188287	7	12	81	0.8683612646	0.8647229721	5.558728456	11.64273906	82.79853248	16.21295826	14.28369583	69.50334591										0	0	0	-1334.188287	0.8647229721	466.27239396003	
1334.168287	7	12	81	0.8684034352	0.8647658631	5.559009914	11.64295606	82.79803403	16.21452978	14.28314685	69.50232337										0	0	0	-1334.168287	0.8647658631	466.013125671409	
1334.148287	7	12	81	1	0.9348147779	5.709905128	11.26633152	83.02376335				25.50115099	22.5214691	51.97737991										-1334.148287	0.9348147779	-2373.74828992247	
1334.138287	7	12	81	1	0.9348105649	5.70980985	11.2662728	83.02391735				25.50121175	22.52157931	51.97720894										-1334.138287	0.9348105649	-2358.22734491067	
1334.118287	7	12	81	1	0.9348019696	5.709619293	11.26615425	83.02422646				25.50133242	22.52179721	51.97687037										-1334.118287	0.9348019696	-2326.69067690698	
1334.078287	7	12	81	1	0.9347847754	5.709238404	11.26591686	83.02484474				25.50157396	22.52223248	51.97619356										-1334.078287	0.9347847754	-2326.49443756565	
1333.998287	7	12	81	1	0.9347503927	5.708476661	11.26544205	83.02608129				25.50205707	22.52310305	51.97483988										-1333.998287	0.9347503927	-2326.97383131287	
1333.838287	7	12	81	1	0.934681647	5.706953281	11.26449239	83.02855432				25.50302306	22.52484408	51.97213286										-1333.838287	0.934681647	-2327.85883431479	
1333.518287	7	12	81	1	0.9345442336	5.703906949	11.26259285	83.0335002				25.50495405	22.52832571	51.96672023										-1333.518287	0.9345442336	-2329.62260494007	
1332.878287	7	12	81	1	0.9342697189	5.697815993	11.25879284	83.04339116				25.50881214	22.53528724	51.95590062										-1332.878287	0.9342697189	-2333.15548836894	
1331.598287	7	12	81	1	0.9337219342	5.685640905	11.25118919	83.06316991				25.5165127	22.54920352	51.93428378										-1331.598287	0.9337219342	-2340.22534204119	
1329.038287	7	12	81	1	0.9326313079	5.661317946	11.23596731	83.10271474				25.53185072	22.57700853	51.89114076										-1329.038287	0.9326313079	-2352.7971133058	
1326.478287	7	12	81	1	0.9315457771	5.63704102	11.22071255	83.14224643				25.54711779	22.60475416	51.84812806										-1326.478287	0.9315457771	-2364.72078987898	
1323.918287	7	12	81	1	0.9304661156	5.612803843	11.20543312	83.18176304				25.56230455	22.63245395	51.8052415										-1323.918287	0.9304661156	-2377.55023991722	
1321.358287	7	12	81	1	0.9293922686	5.588606256	11.19012908	83.22126466				25.57741028	22.6601079	51.76248182										-1321.358287	0.9293922686	-2390.38346117247	
1318.798287	7	12	81	1	0.928324169	5.564448057	11.17480047	83.26075147				25.59243411	22.68771598	51.71984992										-1318.798287	0.928324169	-2403.20629583651	
1316.238287	7	12	81	1	0.9272617512	5.540329042	11.15944736	83.3002236				25.60737517	22.7152782	51.67734663										-1316.238287	0.9272617512	-2416.01878085073	
1313.678287	7	12	81	1	0.9262049504	5.516249011	11.14406978	83.3396812				25.62223262	22.74279459	51.63497279										-1313.678287	0.9262049504	-2428.82044858659	
1311.118287	7	12	81	1	0.9251537028	5.492207771	11.1286678	83.37912443				25.6370056	22.77026519	51.59272921										-1311.118287	0.9251537028	-2441.61051149085	
1308.558287	7	12	81	1	0.9241079451	5.468205133	11.11324144	83.41855343				25.65169328	22.79769008	51.55061664										-1308.558287	0.9241079451	-2454.38845631376	
1305.998287	7	12	81	1	0.9230676152	5.444240913	11.09779074	83.45796834				25.66629482	22.82506934	51.50863585										-1305.998287	0.9230676152	-2467.15366785873	
1303.438287	7	12	81	1	0.9220326514	5.420314933	11.08231575	83.49736932				25.68080938	22.85240307	51.46678755										-1303.438287	0.9220326514	-2479.9053392491	
1300.878287	7	12	81	1	0.921002993	5.396427018	11.06681649	83.53675649				25.69523614	22.87969141	51.42507245										-1300.878287	0.921002993	-2492.64328442874	
1298.318287	7	12	81	1	0.9199785802	5.372577001	11.05129298	83.57613002				25.70957429	22.90693448	51.38349123										-1298.318287	0.9199785802	-2505.36662517386	
1295.758287	7	12	81	1	0.9189593536	5.348764717	11.03574526	83.61549003				25.723823	22.93413246	51.34204454										-1295.758287	0.9189593536	-2518.07476553384	
1293.198287	7	12	81	1	0.9179452549	5.324990008	11.02017333	83.65483666				25.73798147	22.96128553	51.30073301										-1293.198287	0.9179452549	-2530.76724909997	
1290.638287	7	12	81	1	0.9169362263	5.301252721	11.00457721	83.69417007				25.75204888	22.98839388	51.25955725										-1290.638287	0.9169362263	-2543.44354348629	
1288.078287	7	12	81	1	0.915932211	5.277552709	10.98895691	83.73349038				25.76602443	23.01545772	51.21851785										-1288.078287	0.915932211	-2556.10287865955	
1285.518287	7	12	81	1	0.9149331525	5.253889827	10.97331244	83.77279773				25.77990733	23.04247729	51.17761538										-1285.518287	0.9149331525	-2568.74465586214	
1282.958287	7	12	81	1	0.9139389954	5.230263939	10.95764379	83.81209227				25.79369677	23.06945284	51.13685039										-1282.958287	0.9139389954	-2581.36867986956	
1280.398287	7	12	81	1	0.9129496849	5.20667491	10.94195096	83.85137413				25.80739197	23.09638464	51.09622339										-1280.398287	0.9129496849	-2593.97428305367	
1277.838287	7	12	81	1	0.9119651669	5.183122614	10.92623395	83.89064343				25.82099214	23.12327296	51.0557349										-1277.838287	0.9119651669	-2606.5606875779	
