T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1672.174519	0	0	100	1	0	0	100							-1672.174519	1	NaN	-1672.174519	1	NaN	
1669.614519	0	0	100	1	0	0	100							-1669.614519	1	NaN	-1669.614519	1	NaN	
1667.054519	0	0	100	1	0	0	100							-1667.054519	1	NaN	-1667.054519	1	NaN	
1664.494519	0	0	100	1	0	0	100							-1664.494519	1	NaN	-1664.494519	1	NaN	
1661.934519	0	0	100	1	0	0	100							-1661.934519	1	NaN	-1661.934519	1	NaN	
1659.374519	0	0	100	1	0	0	100							-1659.374519	1	NaN	-1659.374519	1	NaN	
1656.814519	0	0	100	1	0	0	100							-1656.814519	1	NaN	-1656.814519	1	NaN	
1654.254519	0	0	100	1	0	0	100							-1654.254519	1	NaN	-1654.254519	1	NaN	
1651.694519	0	0	100	1	0	0	100							-1651.694519	1	NaN	-1651.694519	1	NaN	
1649.134519	0	0	100	1	0	0	100							-1649.134519	1	NaN	-1649.134519	1	NaN	
1646.574519	0	0	100	1	0	0	100							-1646.574519	1	NaN	-1646.574519	1	NaN	
1644.014519	0	0	100	1	0	0	100							-1644.014519	1	NaN	-1644.014519	1	NaN	
1641.454519	0	0	100	1	0	0	100							-1641.454519	1	NaN	-1641.454519	1	NaN	
1638.894519	0	0	100	1	0	0	100							-1638.894519	1	NaN	-1638.894519	1	NaN	
1636.334519	0	0	100	1	0	0	100							-1636.334519	1	NaN	-1636.334519	1	NaN	
1633.774519	0	0	100	1	0	0	100							-1633.774519	1	NaN	-1633.774519	1	NaN	
1631.214519	0	0	100	1	0	0	100							-1631.214519	1	NaN	-1631.214519	1	NaN	
1628.654519	0	0	100	1	0	0	100							-1628.654519	1	NaN	-1628.654519	1	NaN	
1626.094519	0	0	100	1	0	0	100							-1626.094519	1	NaN	-1626.094519	1	NaN	
1623.534519	0	0	100	1	0	0	100							-1623.534519	1	NaN	-1623.534519	1	NaN	
1620.974519	0	0	100	1	0	0	100							-1620.974519	1	NaN	-1620.974519	1	NaN	
1618.414519	0	0	100	1	0	0	100							-1618.414519	1	NaN	-1618.414519	1	NaN	
1615.854519	0	0	100	1	0	0	100							-1615.854519	1	NaN	-1615.854519	1	NaN	
1613.294519	0	0	100	1	0	0	100							-1613.294519	1	NaN	-1613.294519	1	NaN	
1610.734519	0	0	100	1	0	0	100							-1610.734519	1	NaN	-1610.734519	1	NaN	
1608.174519	0	0	100	1	0	0	100							-1608.174519	1	NaN	-1608.174519	1	NaN	
1605.614519	0	0	100	1	0	0	100							-1605.614519	1	NaN	-1605.614519	1	NaN	
1603.054519	0	0	100	1	0	0	100							-1603.054519	1	NaN	-1603.054519	1	NaN	
1600.494519	0	0	100	1	0	0	100							-1600.494519	1	NaN	-1600.494519	1	NaN	
1597.934519	0	0	100	1	0	0	100							-1597.934519	1	NaN	-1597.934519	1	NaN	
1595.374519	0	0	100	1	0	0	100							-1595.374519	1	NaN	-1595.374519	1	NaN	
1592.814519	0	0	100	1	0	0	100							-1592.814519	1	NaN	-1592.814519	1	NaN	
1590.254519	0	0	100	1	0	0	100							-1590.254519	1	NaN	-1590.254519	1	NaN	
1587.694519	0	0	100	1	0	0	100							-1587.694519	1	NaN	-1587.694519	1	NaN	
1585.134519	0	0	100	1	0	0	100							-1585.134519	1	NaN	-1585.134519	1	NaN	
1582.574519	0	0	100	1	0	0	100							-1582.574519	1	NaN	-1582.574519	1	NaN	
1580.014519	0	0	100	1	0	0	100							-1580.014519	1	NaN	-1580.014519	1	NaN	
