T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1411.45522	8	2	90	1	1	7.999999967	1.999999971	90.00000006																-1411.45522	1	NaN	
1408.89522	8	2	90	1	1	7.999999966	1.999999971	90.00000006																-1408.89522	1	NaN	
1406.33522	8	2	90	1	1	7.999999966	1.999999971	90.00000006																-1406.33522	1	NaN	
1403.77522	8	2	90	1	1	7.999999966	1.999999971	90.00000006																-1403.77522	1	NaN	
1401.21522	8	2	90	1	1	7.999999966	1.99999997	90.00000006																-1401.21522	1	NaN	
1398.65522	8	2	90	1	1	7.999999966	1.99999997	90.00000006																-1398.65522	1	NaN	
1396.09522	8	2	90	1	1	7.999999966	1.99999997	90.00000006																-1396.09522	1	NaN	
1393.53522	8	2	90	1	1	7.999999965	1.99999997	90.00000006																-1393.53522	1	NaN	
1390.97522	8	2	90	1	1	7.999999965	1.99999997	90.00000006																-1390.97522	1	NaN	
1388.41522	8	2	90	1	1	7.999999965	1.99999997	90.00000007																-1388.41522	1	NaN	
