T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1815.57362	3	0	97	1	1	2.999999999	0	97													-1815.57362	1	NaN	
1813.01362	3	0	97	1	1	2.999999999	0	97													-1813.01362	1	NaN	
1810.45362	3	0	97	1	1	2.999999999	0	97													-1810.45362	1	NaN	
1807.89362	3	0	97	1	1	2.999999999	0	97													-1807.89362	1	NaN	
1805.33362	3	0	97	1	1	2.999999999	0	97													-1805.33362	1	NaN	
1802.77362	3	0	97	1	1	2.999999999	0	97													-1802.77362	1	NaN	
1800.21362	3	0	97	1	1	2.999999999	0	97													-1800.21362	1	NaN	
1797.65362	3	0	97	1	1	2.999999999	0	97													-1797.65362	1	NaN	
1795.09362	3	0	97	1	1	2.999999999	0	97													-1795.09362	1	NaN	
1792.53362	3	0	97	1	1	2.999999999	0	97													-1792.53362	1	NaN	
1789.97362	3	0	97	1	1	2.999999999	0	97													-1789.97362	1	NaN	
1787.41362	3	0	97	1	1	2.999999999	0	97													-1787.41362	1	NaN	
1784.85362	3	0	97	1	1	2.999999999	0	97													-1784.85362	1	NaN	
1782.29362	3	0	97	1	1	2.999999999	0	97													-1782.29362	1	NaN	
1779.73362	3	0	97	1	1	2.999999999	0	97													-1779.73362	1	NaN	
1777.17362	3	0	97	1	1	2.999999999	0	97													-1777.17362	1	NaN	
1774.61362	3	0	97	1	1	2.999999999	0	97													-1774.61362	1	NaN	
1772.05362	3	0	97	1	1	2.999999999	0	97													-1772.05362	1	NaN	
1769.49362	3	0	97	1	1	2.999999999	0	97													-1769.49362	1	NaN	
1766.93362	3	0	97	1	1	2.999999999	0	97													-1766.93362	1	NaN	
1764.37362	3	0	97	1	1	2.999999999	0	97													-1764.37362	1	NaN	
1761.81362	3	0	97	1	1	2.999999999	0	97													-1761.81362	1	NaN	
1759.25362	3	0	97	1	1	2.999999999	0	97													-1759.25362	1	NaN	
1756.69362	3	0	97	1	1	2.999999999	0	97													-1756.69362	1	NaN	
1754.13362	3	0	97	1	1	2.999999999	0	97													-1754.13362	1	NaN	
1751.57362	3	0	97	1	1	2.999999999	0	97													-1751.57362	1	NaN	
