T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1439.614133	0	4	96	1	1	0	3.999999988	96.00000001													-1439.614133	1	NaN	
1437.054133	0	4	96	1	1	0	3.999999988	96.00000001													-1437.054133	1	NaN	
1434.494133	0	4	96	1	1	0	3.999999988	96.00000001													-1434.494133	1	NaN	
1431.934133	0	4	96	1	1	0	3.999999988	96.00000001													-1431.934133	1	NaN	
1429.374133	0	4	96	1	1	0	3.999999988	96.00000001													-1429.374133	1	NaN	
1426.814133	0	4	96	1	1	0	3.999999988	96.00000001													-1426.814133	1	NaN	
1424.254133	0	4	96	1	1	0	3.999999988	96.00000001													-1424.254133	1	NaN	
1421.694133	0	4	96	1	1	0	3.999999988	96.00000001													-1421.694133	1	NaN	
1419.134133	0	4	96	1	1	0	3.999999988	96.00000001													-1419.134133	1	NaN	
1416.574133	0	4	96	1	1	0	3.999999988	96.00000001													-1416.574133	1	NaN	
1414.014133	0	4	96	1	1	0	3.999999988	96.00000001													-1414.014133	1	NaN	
1411.454133	0	4	96	1	1	0	3.999999987	96.00000001													-1411.454133	1	NaN	
1408.894133	0	4	96	1	1	0	3.999999987	96.00000001													-1408.894133	1	NaN	
1406.334133	0	4	96	1	1	0	3.999999987	96.00000001													-1406.334133	1	NaN	
1403.774133	0	4	96	1	1	0	3.999999987	96.00000001													-1403.774133	1	NaN	
1401.214133	0	4	96	1	1	0	3.999999987	96.00000001													-1401.214133	1	NaN	
1398.654133	0	4	96	1	1	0	3.999999987	96.00000001													-1398.654133	1	NaN	
1396.094133	0	4	96	1	1	0	3.999999987	96.00000001													-1396.094133	1	NaN	
1393.534133	0	4	96	1	1	0	3.999999987	96.00000001													-1393.534133	1	NaN	
1390.974133	0	4	96	1	1	0	3.999999987	96.00000001													-1390.974133	1	NaN	
1388.414133	0	4	96	1	1	0	3.999999987	96.00000001													-1388.414133	1	NaN	
1385.854133	0	4	96	1	1	0	3.999999987	96.00000001													-1385.854133	1	NaN	
1383.294133	0	4	96	1	1	0	3.999999987	96.00000001													-1383.294133	1	NaN	
1380.734133	0	4	96	1	1	0	3.999999987	96.00000001													-1380.734133	1	NaN	
1378.174133	0	4	96	1	1	0	3.999999987	96.00000001													-1378.174133	1	NaN	
1375.614133	0	4	96	1	1	0	3.999999987	96.00000001													-1375.614133	1	NaN	
1373.054133	0	4	96	1	1	0	3.999999987	96.00000001													-1373.054133	1	NaN	
1370.494133	0	4	96	1	1	0	3.999999987	96.00000001													-1370.494133	1	NaN	
1367.934133	0	4	96	1	1	0	3.999999987	96.00000001													-1367.934133	1	NaN	
1365.374133	0	4	96	1	1	0	3.999999987	96.00000001													-1365.374133	1	NaN	
1362.814133	0	4	96	1	1	0	3.999999987	96.00000001													-1362.814133	1	NaN	
1360.254133	0	4	96	1	1	0	3.999999987	96.00000001													-1360.254133	1	NaN	
1357.694133	0	4	96	1	1	0	3.999999987	96.00000001													-1357.694133	1	NaN	
1355.134133	0	4	96	1	1	0	3.999999986	96.00000001													-1355.134133	1	NaN	
1352.574133	0	4	96	1	1	0	3.999999986	96.00000001													-1352.574133	1	NaN	
1350.014133	0	4	96	1	1	0	3.999999986	96.00000001													-1350.014133	1	NaN	
1347.454133	0	4	96	1	1	0	3.999999986	96.00000001													-1347.454133	1	NaN	
1344.894133	0	4	96	1	1	0	3.999999986	96.00000001													-1344.894133	1	NaN	
1342.334133	0	4	96	1	1	0	3.999999986	96.00000001													-1342.334133	1	NaN	
1339.774133	0	4	96	1	1	0	3.999999986	96.00000001													-1339.774133	1	NaN	
1337.214133	0	4	96	1	1	0	3.999999986	96.00000001													-1337.214133	1	NaN	
1334.654133	0	4	96	1	1	0	3.999999986	96.00000001													-1334.654133	1	NaN	
1332.094133	0	4	96	1	1	0	3.999999986	96.00000001													-1332.094133	1	NaN	
1329.534133	0	4	96	1	1	0	3.999999986	96.00000001													-1329.534133	1	NaN	
1326.974133	0	4	96	1	1	0	3.999999986	96.00000001													-1326.974133	1	NaN	
1324.414133	0	4	96	1	1	0	3.999999986	96.00000001													-1324.414133	1	NaN	
