T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
919.0608328	100	0	0	1	1	100	0	0							-919.0608328	1	NaN	
918.9808328	100	0	0	1	1	100	0	0							-918.9808328	1	NaN	
918.9008328	100	0	0	1	1	100	0	0							-918.9008328	1	NaN	
918.8208328	100	0	0	1	1	100	0	0							-918.8208328	1	NaN	
918.7408328	100	0	0	1	1	100	0	0							-918.7408328	1	NaN	
918.6608328	100	0	0	1	1	100	0	0							-918.6608328	1	NaN	
918.5808328	100	0	0	1	1	100	0	0							-918.5808328	1	NaN	
918.5008328	100	0	0	1	1	100	0	0							-918.5008328	1	NaN	
918.4208328	100	0	0	1	1	100	0	0							-918.4208328	1	NaN	
918.3408328	100	0	0	1	1	100	0	0							-918.3408328	1	NaN	
918.2608328	100	0	0	1	1	100	0	0							-918.2608328	1	NaN	
918.1808328	100	0	0	1	1	100	0	0							-918.1808328	1	NaN	
918.1008328	100	0	0	1	1	100	0	0							-918.1008328	1	NaN	
918.0208328	100	0	0	1	1	100	0	0							-918.0208328	1	NaN	
917.9408328	100	0	0	1	1	100	0	0							-917.9408328	1	NaN	
917.8608328	100	0	0	1	1	100	0	0							-917.8608328	1	NaN	
917.7808328	100	0	0	1	1	100	0	0							-917.7808328	1	NaN	
917.7008328	100	0	0	1	1	100	0	0							-917.7008328	1	NaN	
917.6208328	100	0	0	1	1	100	0	0							-917.6208328	1	NaN	
917.5408328	100	0	0	1	1	100	0	0							-917.5408328	1	NaN	
917.4608328	100	0	0	1	1	100	0	0							-917.4608328	1	NaN	
917.3808328	100	0	0	1	1	100	0	0							-917.3808328	1	NaN	
917.3008328	100	0	0	1	1	100	0	0							-917.3008328	1	NaN	
917.2208328	100	0	0	1	1	100	0	0							-917.2208328	1	NaN	
917.1408328	100	0	0	1	1	100	0	0							-917.1408328	1	NaN	
917.0608328	100	0	0	1	1	100	0	0							-917.0608328	1	NaN	
916.9808328	100	0	0	1	1	100	0	0							-916.9808328	1	NaN	
916.9008328	100	0	0	1	1	100	0	0							-916.9008328	1	NaN	
916.8208328	100	0	0	1	1	100	0	0							-916.8208328	1	NaN	
916.7408328	100	0	0	1	1	100	0	0							-916.7408328	1	NaN	
916.6608328	100	0	0	1	1	100	0	0							-916.6608328	1	NaN	
916.5808328	100	0	0	1	1	100	0	0							-916.5808328	1	NaN	
916.5008328	100	0	0	1	1	100	0	0							-916.5008328	1	NaN	
916.4208328	100	0	0	1	1	100	0	0							-916.4208328	1	NaN	
916.3408328	100	0	0	1	1	100	0	0							-916.3408328	1	NaN	
916.2608328	100	0	0	1	1	100	0	0							-916.2608328	1	NaN	
916.1808328	100	0	0	1	1	100	0	0							-916.1808328	1	NaN	
916.1008328	100	0	0	1	1	100	0	0							-916.1008328	1	NaN	
916.0208328	100	0	0	1	1	100	0	0							-916.0208328	1	NaN	
915.9408328	100	0	0	1	1	100	0	0							-915.9408328	1	NaN	
915.8608328	100	0	0	1	1	100	0	0							-915.8608328	1	NaN	
915.7808328	100	0	0	1	1	100	0	0							-915.7808328	1	NaN	
915.7008328	100	0	0	1	1	100	0	0							-915.7008328	1	NaN	
915.6208328	100	0	0	1	1	100	0	0							-915.6208328	1	NaN	
915.5408328	100	0	0	1	1	100	0	0							-915.5408328	1	NaN	
915.4608328	100	0	0	1	1	100	0	0							-915.4608328	1	NaN	
915.3808328	100	0	0	1	1	100	0	0							-915.3808328	1	NaN	
915.3008328	100	0	0	1	1	100	0	0							-915.3008328	1	NaN	
915.2208328	100	0	0	1	1	100	0	0							-915.2208328	1	NaN	
915.1408328	100	0	0	1	1	100	0	0							-915.1408328	1	NaN	
915.0608328	100	0	0	1	1	100	0	0							-915.0608328	1	NaN	
914.9808328	100	0	0	1	1	100	0	0							-914.9808328	1	NaN	
914.9008328	100	0	0	1	1	100	0	0							-914.9008328	1	NaN	
914.8208328	100	0	0	1	1	100	0	0							-914.8208328	1	NaN	
