T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
722.7339207	88	8	4	1	0.7253092633	97.64137666	0.2644584602	2.094164884				62.54235303	28.42537001	9.032276954							-722.7339207	0.7253092633	-6602.5295854384	
720.1739207	88	8	4	1	0.7249300532	97.65973692	0.2497275188	2.090535566				62.54235303	28.42537001	9.032276954							-720.1739207	0.7249300532	-6916.426442614	
717.6139207	88	8	4	1	0.7245681854	97.67727543	0.2356558842	2.087068683				62.54235303	28.42537001	9.032276954							-717.6139207	0.7245681854	-7250.93585200786	
715.0539207	88	8	4	1	0.7242231375	97.69401507	0.2222252137	2.083759717				62.54235303	28.42537001	9.032276954							-715.0539207	0.7242231375	-7607.58828742148	
712.4939207	88	8	4	1	0.7238943854	97.70997898	0.2094169323	2.080604091				62.54235303	28.42537001	9.032276954							-712.4939207	0.7238943854	-7988.03936669644	
709.9339207	88	8	4	1	0.7235814045	97.72519053	0.1972122868	2.077597186				62.54235303	28.42537001	9.032276954							-709.9339207	0.7235814045	-8394.07759780589	
707.3739207	88	8	4	1	0.7232836707	97.73967325	0.1855923994	2.07473435				62.54235303	28.42537001	9.032276954							-707.3739207	0.7232836707	-8827.64158901056	
704.8139207	88	8	4	1	0.7230006619	97.75345077	0.17453832	2.072010914				62.54235303	28.42537001	9.032276954							-704.8139207	0.7230006619	-9290.82514553767	
702.2539207	88	8	4	1	0.7227318585	97.76654672	0.1640310775	2.069422204				62.54235303	28.42537001	9.032276954							-702.2539207	0.7227318585	-9785.89819546552	
699.6939207	88	8	4	1	0.7224767451	97.77898472	0.1540517295	2.066963554				62.54235303	28.42537001	9.032276954							-699.6939207	0.7224767451	-10315.3229529104	
