T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
832.8428245	87	10	3	0.5881544387	0.5716227507	97.12702316	0.6962791537	2.17669769	73.48655931	22.41483419	4.098606494							0	0	0	-832.8428245	0.5716227507	333.69557227474	
830.2828245	87	10	3	0.5960438544	0.5791275	97.09759677	0.712213755	2.190189475	73.10551018	22.78017788	4.114311942							0	0	0	-830.2828245	0.5791275	348.984677248318	
827.7228245	87	10	3	0.6035992428	0.5863081779	97.06832168	0.7282624892	2.203415828	72.73055883	23.1404763	4.128964866							0	0	0	-827.7228245	0.5863081779	364.475457557669	
825.1628245	87	10	3	0.6108441758	0.5931879578	97.03918421	0.744428933	2.216386858	72.36146054	23.4959243	4.142615164							0	0	0	-825.1628245	0.5931879578	380.160021557775	
822.6028245	87	10	3	0.6177999957	0.5997878118	97.01017139	0.7607165245	2.229112085	71.99798561	23.84670496	4.155309428							0	0	0	-822.6028245	0.5997878118	396.030581812045	
820.0428245	87	10	3	0.6244860764	0.6061267694	96.98127093	0.7771285816	2.241600489	71.63991818	24.19299059	4.167091232							0	0	0	-820.0428245	0.6061267694	412.079434613362	
817.4828245	87	10	3	0.6309200493	0.6122221407	96.95247113	0.7936683184	2.25386055	71.28705514	24.53494349	4.178001369							0	0	0	-817.4828245	0.6122221407	428.298960373371	
814.9228245	87	10	3	0.6371179975	0.6180897088	96.92376086	0.81033886	2.265900283	70.93920512	24.87271679	4.188078084							0	0	0	-814.9228245	0.6180897088	444.681617803087	
812.3628245	87	10	3	0.6430946254	0.6237438972	96.89512947	0.8271432553	2.277727273	70.59618764	25.20645509	4.197357272							0	0	0	-812.3628245	0.6237438972	461.219908306522	
809.8028245	87	10	3	0.6488634057	0.6291979158	96.86656681	0.8440844887	2.289348705	70.25783223	25.5362951	4.205872665							0	0	0	-809.8028245	0.6291979158	477.906391698539	
807.2428245	87	10	3	0.6544367081	0.6344638876	96.83806312	0.8611654915	2.30077139	69.92397775	25.86236625	4.213655994							0	0	0	-807.2428245	0.6344638876	494.733665268632	
804.6828245	87	10	3	0.6598259125	0.6395529607	96.80960906	0.878389151	2.312001793	69.59447169	26.18479116	4.220737145							0	0	0	-804.6828245	0.6395529607	511.694357457154	
