T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
786.7933003	81	14	5	0.9544262956	0.5346616674	96.69449299	1.304705137	2.000801873	66.36411612	29.8746194	3.761264485	62.54235303	28.42537001	9.032276954							0	0	0	-786.7933003	0.5346616674	960.557864611687	
786.7761227	81	14	5	1	0.5580361991	96.69433745	1.30541821	2.000244339	66.3604495	29.87905283	3.760497669	62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				0	0	0	-786.7761227	0.5580361991	-2046.56773582917	
786.7633003	81	14	5	1	0.5580299321	96.69456447	1.305298418	2.000137112				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.7633003	0.5580299321	-2045.0705792937	
786.7433003	81	14	5	1	0.5580201454	96.69491863	1.305111579	1.999969794				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.7433003	0.5580201454	-2044.03223557889	
786.7033003	81	14	5	1	0.5580005847	96.69562681	1.304737949	1.999635237				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.7033003	0.5580005847	-2045.09439178332	
786.6233003	81	14	5	1	0.5579614735	96.69704292	1.303990875	1.998966208				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.6233003	0.5579614735	-2045.80321516256	
786.4633003	81	14	5	1	0.5578832916	96.69987404	1.302497467	1.997628491				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.4633003	0.5578832916	-2047.21965605142	
786.1433003	81	14	5	1	0.5577270903	96.70553196	1.299513614	1.994954423				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-786.1433003	0.5577270903	-2050.06099032787	
785.5033003	81	14	5	1	0.5574153362	96.71683049	1.293557762	1.989611744				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-785.5033003	0.5574153362	-2055.75821600839	
784.2233003	81	14	5	1	0.5567944143	96.73935827	1.28169352	1.978948211				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-784.2233003	0.5567944143	-2067.21547576802	
781.6633003	81	14	5	1	0.5555628453	96.78413659	1.25815512	1.957708293				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-781.6633003	0.5555628453	-2089.30654946871	
779.1033003	81	14	5	1	0.5543437142	96.8285449	1.234870688	1.936584415				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-779.1033003	0.5543437142	-2111.16612776804	
776.5433003	81	14	5	1	0.5531375076	96.8725829	1.21184075	1.915576346				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-776.5433003	0.5531375076	-2133.78837244241	
773.9833003	81	14	5	1	0.5519440897	96.91625035	1.189065776	1.894683878				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-773.9833003	0.5519440897	-2156.65233786098	
771.4233003	81	14	5	1	0.550763323	96.959547	1.166546168	1.873906828				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-771.4233003	0.550763323	-2179.75909978908	
768.8633003	81	14	5	1	0.5495950729	97.0024727	1.144282269	1.853245029				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-768.8633003	0.5495950729	-2203.11315510478	
766.3033003	81	14	5	1	0.5484392069	97.04502732	1.122274355	1.83269833				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-766.3033003	0.5484392069	-2226.71945643014	
763.7433003	81	14	5	1	0.5472955956	97.08721076	1.100522642	1.8122666				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-763.7433003	0.5472955956	-2250.58296921465	
761.1833003	81	14	5	1	0.5461641115	97.12902299	1.079027285	1.791949721				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-761.1833003	0.5461641115	-2274.70854773402	
758.6233003	81	14	5	1	0.5450446298	97.17046403	1.05778838	1.771747593				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-758.6233003	0.5450446298	-2299.10155977979	
756.0633003	81	14	5	1	0.5439370279	97.21153391	1.036805961	1.751660129				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-756.0633003	0.5439370279	-2323.76712617165	
753.5033003	81	14	5	1	0.5428411854	97.25223273	1.016080008	1.731687259				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-753.5033003	0.5428411854	-2348.7108268954	
750.9433003	81	14	5	1	0.5417569843	97.29256064	0.9956104396	1.711828923				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-750.9433003	0.5417569843	-2373.93816606988	
748.3833003	81	14	5	1	0.5406843085	97.3325178	0.9753971188	1.692085078				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-748.3833003	0.5406843085	-2399.45469740046	
745.8233003	81	14	5	1	0.5396230441	97.37210446	0.955439853	1.672455692				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-745.8233003	0.5396230441	-2425.26609350802	
743.2633003	81	14	5	1	0.538573079	97.41132086	0.935738394	1.652940746				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-743.2633003	0.538573079	-2451.37829984798	
740.7033003	81	14	5	1	0.5375343033	97.45016733	0.9162924392	1.633540233				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-740.7033003	0.5375343033	-2477.79750905335	
738.1433003	81	14	5	1	0.5365066089	97.48864421	0.8971016322	1.614254157				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-738.1433003	0.5365066089	-2504.52971409103	
735.5833003	81	14	5	1	0.5354898895	97.5267519	0.8781655636	1.595082534				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-735.5833003	0.5354898895	-2531.5814165655	
733.0233003	81	14	5	1	0.5344840408	97.56449084	0.8594837715	1.576025387				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482							-733.0233003	0.5344840408	-2558.95900326178	
