T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
678.4864768	98	0	2	1	1	98.00000005	0	1.999999952										-678.4864768	1	NaN	
675.9264768	98	0	2	1	1	98.00000005	0	1.999999952										-675.9264768	1	NaN	
673.3664768	98	0	2	1	1	98.00000005	0	1.999999951										-673.3664768	1	NaN	
670.8064768	98	0	2	1	1	98.00000005	0	1.999999951										-670.8064768	1	NaN	
668.2464768	98	0	2	1	1	98.00000005	0	1.999999951										-668.2464768	1	NaN	
665.6864768	98	0	2	1	1	98.00000005	0	1.99999995										-665.6864768	1	NaN	
663.1264768	98	0	2	1	1	98.00000005	0	1.99999995										-663.1264768	1	NaN	
661.8464768	98	0	2	1	1	98.00000002	0	1.999999981										-661.8464768	1	NaN	
661.5264768	98	0	2	1	1	98	0	1.999999998										-661.5264768	1	NaN	
661.3664768	98	0	2	1	1	98	0	2										-661.3664768	1	NaN	
661.2864768	98	0	2	1	1	98	0	2										-661.2864768	1	NaN	
661.2815328	98	0	2	1	1	98	0	2				81.69196226	0	18.30803774				-661.2815328	1	0	
661.2564768	98	0	2	1	0.9999850825	98.00024318	0	1.999756818				81.69192507	0	18.30807493				-661.2564768	0.9999850825	-1679.61664049563	
661.2364768	98	0	2	1	0.9999731749	98.00043727	0	1.999562726				81.69189537	0	18.30810463				-661.2364768	0.9999731749	-1679.68658851305	
661.1964768	98	0	2	1	0.9999493634	98.00082544	0	1.999174559				81.691836	0	18.308164				-661.1964768	0.9999493634	-1680.01702642363	
661.1164768	98	0	2	1	0.9999017537	98.00160167	0	1.998398331				81.69171722	0	18.30828278				-661.1164768	0.9999017537	-1680.64720455195	
660.9564768	98	0	2	1	0.9998065882	98.0031537	0	1.996846301				81.69147956	0	18.30852044				-660.9564768	0.9998065882	-1681.91581517524	
660.6364768	98	0	2	1	0.9996164722	98.00625606	0	1.993743942				81.69100387	0	18.30899613				-660.6364768	0.9996164722	-1685.07302599925	
659.9964768	98	0	2	1	0.999237514	98.01245397	0	1.987546029				81.69005101	0	18.30994899				-659.9964768	0.999237514	-1689.56531408141	
658.7164768	98	0	2	1	0.9984805712	98.02482256	0	1.975177441				81.68813937	0	18.31186063				-658.7164768	0.9984805712	-1695.41271707368	
656.1564768	98	0	2	1	0.9969783513	98.04945079	0	1.950549212				81.68429246	0	18.31570754				-656.1564768	0.9969783513	-1712.19785529172	
653.5964768	98	0	2	1	0.9954901315	98.07393363	0	1.926066374				81.68041422	0	18.31958578				-653.5964768	0.9954901315	-1728.35834294913	
651.0364768	98	0	2	1	0.9940158711	98.09827095	0	1.901729048				81.67650482	0	18.32349518				-651.0364768	0.9940158711	-1744.74598823675	
648.4764768	98	0	2	1	0.9925554759	98.12246263	0	1.877537371				81.67256443	0	18.32743557				-648.4764768	0.9925554759	-1761.33406954601	
645.9164768	98	0	2	1	0.9911088531	98.14650851	0	1.853491491				81.66859322	0	18.33140678				-645.9164768	0.9911088531	-1778.12717065642	
643.3564768	98	0	2	1	0.9896759118	98.17040844	0	1.829591564				81.66459135	0	18.33540865				-643.3564768	0.9896759118	-1795.12997462907	
640.7964768	98	0	2	1	0.9882565624	98.19416224	0	1.805837758				81.66055898	0	18.33944102				-640.7964768	0.9882565624	-1812.34742190921	
638.2364768	98	0	2	1	0.9868507173	98.21776975	0	1.78223025				81.65649626	0	18.34350374				-638.2364768	0.9868507173	-1829.7847603083	
635.6764768	98	0	2	1	0.9854582904	98.24123077	0	1.758769225				81.65240334	0	18.34759666				-635.6764768	0.9854582904	-1847.44711986542	
633.1164768	98	0	2	1	0.9840791971	98.26454512	0	1.73545488				81.64828037	0	18.35171963				-633.1164768	0.9840791971	-1865.33996260036	
