T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
668.0155639	85	14	1	1	0.7553440239	98.40628841	0.9813767189	0.6123348747				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-668.0155639	0.7553440239	-5271.27994466537	
665.4555639	85	14	1	1	0.7548627725	98.44185623	0.9554439126	0.6026998594				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-665.4555639	0.7548627725	-5369.60961405421	
662.8955639	85	14	1	1	0.7543903462	98.47682298	0.9300431983	0.5931338233				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-662.8955639	0.7543903462	-5470.07433640884	
660.3355639	85	14	1	1	0.7539266093	98.51119614	0.9051662676	0.5836375951				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-660.3355639	0.7539266093	-5572.74016756171	
657.7755639	85	14	1	1	0.7534714288	98.54498307	0.8808049488	0.5742119801				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-657.7755639	0.7534714288	-5677.67497579851	
655.2155639	85	14	1	1	0.7530246743	98.57819104	0.8569512019	0.5648577604				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-655.2155639	0.7530246743	-5784.94900586975	
652.6555639	85	14	1	1	0.7525862179	98.61082719	0.8335971144	0.5555756949				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-652.6555639	0.7525862179	-5894.63561901843	
650.0955639	85	14	1	1	0.7521559342	98.64289858	0.8107348967	0.5463665195				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-650.0955639	0.7521559342	-6006.81140468912	
647.5355639	85	14	1	1	0.7517337002	98.67441217	0.7883568786	0.5372309479				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-647.5355639	0.7517337002	-6121.55487963833	
644.9755639	85	14	1	1	0.7513193951	98.70537482	0.7664555046	0.5281696713				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482				-644.9755639	0.7513193951	-6238.94722331948	
