T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
790.1108736	96	3	1	0.9906825878	0.9892099331	96.34993217	2.664724809	0.9853430189	63.91826782	33.73801877	2.343713408													0	0	0	-790.1108736	0.9892099331	1297.4566054869	
787.5508736	96	3	1	0.9923986143	0.9911808956	96.28821462	2.723787439	0.9879979447	63.60662083	34.04447432	2.348904843													0	0	0	-787.5508736	0.9911808956	1299.55130812395	
784.9908736	96	3	1	0.9941064175	0.9931497567	96.2255428	2.78379562	0.9906615839	63.29960214	34.34652351	2.353874345													0	0	0	-784.9908736	0.9931497567	1300.2422691696	
782.4308736	96	3	1	0.995807929	0.9951186233	96.16188186	2.844782758	0.9933353775	62.99707125	34.64429341	2.358635345													0	0	0	-782.4308736	0.9951186233	1299.49435350535	
781.1508736	96	3	1	0.9966570859	0.9961039049	96.1296697	2.875653407	0.9946768901	62.84744788	34.79160984	2.360942285													0	0	0	-781.1508736	0.9961039049	1298.77325305136	
780.5108736	96	3	1	0.9970812578	0.9965967436	96.1134659	2.891185429	0.9953486693	62.77303903	34.86488324	2.362077734													0	0	0	-780.5108736	0.9965967436	1297.30883768763	
780.1908736	96	3	1	0.997293516	0.996843531	96.10533991	2.898974806	0.9956852815	62.73593583	34.90142243	2.362641743													0	0	0	-780.1908736	0.996843531	1299.10764575209	
780.0308736	96	3	1	0.9973993111	0.996966577	96.10126998	2.90287691	0.9958531114	62.71740744	34.91967074	2.362921818													0	0	0	-780.0308736	0.996966577	1299.4627057205	
779.9508736	96	3	1	0.9974522523	0.9970281614	96.09923357	2.9048293	0.9959371286	62.70814971	34.92878858	2.363061713													0	0	0	-779.9508736	0.9970281614	1298.6086778545	
779.9108736	96	3	1	0.9974787336	0.9970589686	96.09821501	2.905805831	0.9959791622	62.70352245	34.93334592	2.363131625													0	0	0	-779.9108736	0.9970589686	1298.18430803312	
779.8908736	96	3	1	0.997491977	0.997074376	96.09770563	2.90629418	0.9960001854	62.70120923	34.9356242	2.363166572													0	0	0	-779.8908736	0.997074376	1297.97629257492	
779.876104	96	3	1	0.997501758	0.9970857556	96.09732944	2.906654852	0.996015713	62.69950113	34.93730649	2.363192376	43.66113616	54.84131265	1.497551188										0	0	0	-779.876104	0.9970857556	1249.33165212778	
779.8608736	96	3	1	0.9981973519	0.99736572	96.09810039	2.905041502	0.9968581041	62.70021925	34.93528181	2.364498934	43.66113616	54.84131265	1.497551188										0	0	0	-779.8608736	0.99736572	54.4437436805677	
779.8408736	96	3	1	0.9991091341	0.9977326958	96.09911029	2.902925581	0.997964128	62.70116144	34.93262493	2.366213636	43.66113616	54.84131265	1.497551188										0	0	0	-779.8408736	0.9977326958	55.1725316501019	
779.8208736	96	3	1	1	0.9980909292	96.10010972	2.900841962	0.9990483211				43.66113616	54.84131265	1.497551188													-779.8208736	0.9980909292	-1743.21485012992	
779.8108736	96	3	1	1	0.9980850946	96.10041626	2.900538332	0.9990454088				43.66113616	54.84131265	1.497551188													-779.8108736	0.9980850946	-1714.01639353018	
779.7908736	96	3	1	1	0.9980734275	96.10102925	2.899931165	0.9990395813				43.66113616	54.84131265	1.497551188													-779.7908736	0.9980734275	-1714.41070435858	
779.7508736	96	3	1	1	0.998050101	96.10225489	2.898717184	0.99902793				43.66113616	54.84131265	1.497551188													-779.7508736	0.998050101	-1715.15708645922	
779.6708736	96	3	1	1	0.9980034781	96.10470473	2.896290628	0.9990046409				43.66113616	54.84131265	1.497551188													-779.6708736	0.9980034781	-1716.64064251127	
779.5108736	96	3	1	1	0.9979103536	96.10959874	2.891443143	0.9989581166				43.66113616	54.84131265	1.497551188													-779.5108736	0.9979103536	-1719.62230135725	
779.1908736	96	3	1	1	0.9977245878	96.11936408	2.881770633	0.9988652831				43.66113616	54.84131265	1.497551188													-779.1908736	0.9977245878	-1725.59909289776	
778.5508736	96	3	1	1	0.9973549806	96.13880443	2.862515097	0.9986804732				43.66113616	54.84131265	1.497551188													-778.5508736	0.9973549806	-1737.62315499167	
777.2708736	96	3	1	1	0.9966233884	96.17732669	2.824359059	0.9983142502				43.66113616	54.84131265	1.497551188													-777.2708736	0.9966233884	-1761.95342566013	
774.7108736	96	3	1	1	0.9951901286	96.25295991	2.749444813	0.9975952761				43.66113616	54.84131265	1.497551188													-774.7108736	0.9951901286	-1811.34998768083	
772.1508736	96	3	1	1	0.993795701	96.32675324	2.676352993	0.9968937714				43.66113616	54.84131265	1.497551188													-772.1508736	0.993795701	-1861.67141093511	
769.5908736	96	3	1	1	0.9924388837	96.39875527	2.605035432	0.9962092953				43.66113616	54.84131265	1.497551188													-769.5908736	0.9924388837	-1913.15785013565	
767.0308736	96	3	1	1	0.9911185056	96.46901286	2.535445737	0.9955414026				43.66113616	54.84131265	1.497551188													-767.0308736	0.9911185056	-1965.84265378155	
764.4708736	96	3	1	1	0.9898334453	96.53757117	2.467539166	0.9948896639				43.66113616	54.84131265	1.497551188													-764.4708736	0.9898334453	-2019.76133390492	
761.9108736	96	3	1	1	0.988582628	96.60447378	2.401272554	0.9942536647				43.66113616	54.84131265	1.497551188													-761.9108736	0.988582628	-2074.71578908652	
760.6308736	96	3	1	1	0.9879697368	96.6373174	2.368741154	0.9939414422				43.66113616	54.84131265	1.497551188													-760.6308736	0.9879697368	-2102.61638983092	
759.9908736	96	3	1	1	0.987666365	96.65358954	2.352623709	0.9937867485				43.66113616	54.84131265	1.497551188													-759.9908736	0.987666365	-2116.74004288314	
759.6708736	96	3	1	1	0.9875154416	96.66168848	2.344601756	0.9937097613				43.66113616	54.84131265	1.497551188													-759.6708736	0.9875154416	-2124.26030369726	
759.6687132	96	3	1	1	0.9875144246	96.66174308	2.34454768	0.9937092434				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-759.6687132	0.9875144246	-2127.94604842372	
759.6408736	96	3	1	1	0.987501619	96.66243895	2.343975125	0.9935859285				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-759.6408736	0.987501619	-2174.2318541092	
759.6208736	96	3	1	1	0.987492421	96.66293878	2.343563877	0.9934973406				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-759.6208736	0.987492421	-2174.54339160367	
759.5808736	96	3	1	1	0.987474029	96.66393827	2.342741562	0.9933201679				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-759.5808736	0.987474029	-2175.17617062814	
759.5008736	96	3	1	1	0.9874372611	96.6659365	2.341097666	0.9929658356				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-759.5008736	0.9874372611	-2176.44211346496	
759.3408736	96	3	1	1	0.9873637892	96.66992996	2.337812812	0.992257224				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-759.3408736	0.9873637892	-2178.96666162408	
759.0208736	96	3	1	1	0.9872171004	96.67790495	2.331254831	0.990840215				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-759.0208736	0.9872171004	-2184.0240790971	
758.3808736	96	3	1	1	0.9869247397	96.69380728	2.318185653	0.9880070673				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-758.3808736	0.9869247397	-2194.17858470449	
757.1008736	96	3	1	1	0.9863440596	96.72542231	2.292233326	0.9823443682				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-757.1008736	0.9863440596	-2214.64622008841	
754.5408736	96	3	1	1	0.9851986616	96.7879015	2.241064243	0.9710342571				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-754.5408736	0.9851986616	-2255.98985403048	
751.9808736	96	3	1	1	0.9840741611	96.84939388	2.190859909	0.9597462102				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-751.9808736	0.9840741611	-2297.84732970003	
749.4208736	96	3	1	1	0.9829701138	96.90991614	2.141601658	0.9484822052				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-749.4208736	0.9829701138	-2340.35236535956	
746.8608736	96	3	1	1	0.9818860899	96.96948444	2.093271387	0.9372441702				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-746.8608736	0.9818860899	-2383.52187550714	
744.3008736	96	3	1	1	0.9808216741	97.02811449	2.045851529	0.9260339857				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-744.3008736	0.9808216741	-2427.3741033517	
741.7408736	96	3	1	1	0.979776465	97.08582148	1.999325034	0.9148534862				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-741.7408736	0.979776465	-2471.92776507187	
739.1808736	96	3	1	1	0.9787500743	97.1426202	1.953675343	0.9037044618				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482										-739.1808736	0.9787500743	-2517.00104611635	
