T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
781.9356819	82	16	2	0.6193412354	0.5684295739	96.4515154	2.25123612	1.297248478	63.82571508	33.36501502	2.809269899	43.36164434	51.06106018	5.577295482							0	0	0	-781.9356819	0.5684295739	25.6132223469818	
781.6156819	82	16	2	0.6460602388	0.5803500165	96.42770884	2.299014434	1.273276724	63.718796	33.50628514	2.774918866	43.36164434	51.06106018	5.577295482							0	0	0	-781.6156819	0.5803500165	28.2689725927051	
780.9756819	82	16	2	0.6926471789	0.6011593646	96.37867171	2.393072419	1.228255867	63.5129046	33.77716172	2.709933681	43.36164434	51.06106018	5.577295482							0	0	0	-780.9756819	0.6011593646	33.9751059071025	
779.6956819	82	16	2	0.7657811166	0.6339402965	96.27540841	2.576702833	1.147888759	63.12752008	34.28018916	2.592290751	43.36164434	51.06106018	5.577295482							0	0	0	-779.6956819	0.6339402965	46.0881232949989	
778.4156819	82	16	2	0.8209148619	0.6588267968	96.16587665	2.756458558	1.077664796	62.76996961	34.74241555	2.487614847	43.36164434	51.06106018	5.577295482							0	0	0	-778.4156819	0.6588267968	38.3359111878309	
778.4033752	82	16	2	1	0.7313457018	96.16479484	2.758174393	1.077030766	62.76664538	34.74669342	2.486661196	43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				0	0	0	-778.4033752	0.7313457018	-2570.74901885384	
778.3856819	82	16	2	1	0.7313388186	96.16529237	2.757755722	1.076951908				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.3856819	0.7313388186	-2580.04319780209	
778.3656819	82	16	2	1	0.7313310988	96.16585484	2.757282401	1.076862756				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.3656819	0.7313310988	-2587.83185130125	
778.3256819	82	16	2	1	0.7313156069	96.16697944	2.7563361	1.076684465				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.3256819	0.7313156069	-2582.38920923371	
778.2456819	82	16	2	1	0.7312846373	96.16922776	2.754444355	1.076327883				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.2456819	0.7312846373	-2583.97892792679	
