T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1659.868631	0	7	93	1	1	0	6.999999975	93.00000003													-1659.868631	1	NaN	
1657.308631	0	7	93	1	1	0	6.999999975	93.00000003													-1657.308631	1	NaN	
1654.748631	0	7	93	1	1	0	6.999999975	93.00000003													-1654.748631	1	NaN	
1652.188631	0	7	93	1	1	0	6.999999975	93.00000003													-1652.188631	1	NaN	
1649.628631	0	7	93	1	1	0	6.999999975	93.00000003													-1649.628631	1	NaN	
1647.068631	0	7	93	1	1	0	6.999999975	93.00000003													-1647.068631	1	NaN	
1644.508631	0	7	93	1	1	0	6.999999974	93.00000003													-1644.508631	1	NaN	
1641.948631	0	7	93	1	1	0	6.999999974	93.00000003													-1641.948631	1	NaN	
1639.388631	0	7	93	1	1	0	6.999999974	93.00000003													-1639.388631	1	NaN	
1636.828631	0	7	93	1	1	0	6.999999974	93.00000003													-1636.828631	1	NaN	
1634.268631	0	7	93	1	1	0	6.999999974	93.00000003													-1634.268631	1	NaN	
1631.708631	0	7	93	1	1	0	6.999999974	93.00000003													-1631.708631	1	NaN	
1629.148631	0	7	93	1	1	0	6.999999974	93.00000003													-1629.148631	1	NaN	
1626.588631	0	7	93	1	1	0	6.999999974	93.00000003													-1626.588631	1	NaN	
1624.028631	0	7	93	1	1	0	6.999999974	93.00000003													-1624.028631	1	NaN	
1621.468631	0	7	93	1	1	0	6.999999974	93.00000003													-1621.468631	1	NaN	
1618.908631	0	7	93	1	1	0	6.999999973	93.00000003													-1618.908631	1	NaN	
1616.348631	0	7	93	1	1	0	6.999999973	93.00000003													-1616.348631	1	NaN	
1613.788631	0	7	93	1	1	0	6.999999973	93.00000003													-1613.788631	1	NaN	
1611.228631	0	7	93	1	1	0	6.999999973	93.00000003													-1611.228631	1	NaN	
1608.668631	0	7	93	1	1	0	6.999999973	93.00000003													-1608.668631	1	NaN	
1606.108631	0	7	93	1	1	0	6.999999973	93.00000003													-1606.108631	1	NaN	
1603.548631	0	7	93	1	1	0	6.999999973	93.00000003													-1603.548631	1	NaN	
1600.988631	0	7	93	1	1	0	6.999999973	93.00000003													-1600.988631	1	NaN	
1598.428631	0	7	93	1	1	0	6.999999973	93.00000003													-1598.428631	1	NaN	
1595.868631	0	7	93	1	1	0	6.999999973	93.00000003													-1595.868631	1	NaN	
1593.308631	0	7	93	1	1	0	6.999999972	93.00000003													-1593.308631	1	NaN	
1590.748631	0	7	93	1	1	0	6.999999972	93.00000003													-1590.748631	1	NaN	
1588.188631	0	7	93	1	1	0	6.999999972	93.00000003													-1588.188631	1	NaN	
1585.628631	0	7	93	1	1	0	6.999999972	93.00000003													-1585.628631	1	NaN	
1583.068631	0	7	93	1	1	0	6.999999972	93.00000003													-1583.068631	1	NaN	
1580.508631	0	7	93	1	1	0	6.999999972	93.00000003													-1580.508631	1	NaN	
1577.948631	0	7	93	1	1	0	6.999999972	93.00000003													-1577.948631	1	NaN	
1575.388631	0	7	93	1	1	0	6.999999972	93.00000003													-1575.388631	1	NaN	
1572.828631	0	7	93	1	1	0	6.999999972	93.00000003													-1572.828631	1	NaN	
1570.268631	0	7	93	1	1	0	6.999999971	93.00000003													-1570.268631	1	NaN	
1567.708631	0	7	93	1	1	0	6.999999971	93.00000003													-1567.708631	1	NaN	
