T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1369.447951	12	13	75	0.3150458304	0.3087181539	5.57369682	10.42925907	83.99704411	14.8699105	14.14806198	70.98202751										0	0	0	-1369.447951	0.3087181539	334.739892646316	
1366.887951	12	13	75	0.322808666	0.3163659993	5.580737032	10.50517759	83.91408537	14.9706497	14.1545315	70.8748188										0	0	0	-1366.887951	0.3163659993	334.738553223719	
1364.327951	12	13	75	0.3305693428	0.3240136732	5.587743151	10.5810827	83.83117414	15.07352298	14.15943511	70.76704192										0	0	0	-1364.327951	0.3240136732	334.756752541751	
1361.767951	12	13	75	0.3383273714	0.3316606871	5.594721635	10.6569495	83.74832886	15.17859449	14.16272934	70.65867617										0	0	0	-1361.767951	0.3316606871	334.798245664101	
1359.207951	12	13	75	0.3460821758	0.3393064656	5.601678937	10.73275236	83.6655687	15.28592947	14.16437006	70.54970047										0	0	0	-1359.207951	0.3393064656	334.867606628513	
1356.647951	12	13	75	0.3538330579	0.3469503122	5.608620805	10.80846501	83.58291419	15.39559412	14.16431221	70.44009367										0	0	0	-1356.647951	0.3469503122	334.967253777677	
1354.087951	12	13	75	0.3615793322	0.3545915427	5.615555069	10.88406029	83.50038464	15.50765604	14.16251079	70.32983317										0	0	0	-1354.087951	0.3545915427	335.101063247551	
1351.527951	12	13	75	0.369320126	0.3622292865	5.622487517	10.95951061	83.41800188	15.62218344	14.1589196	70.21889697										0	0	0	-1351.527951	0.3622292865	335.274515039034	
1348.967951	12	13	75	0.3770545071	0.3698626135	5.629424537	11.03478767	83.33578779	15.73924557	14.15349213	70.10726229										0	0	0	-1348.967951	0.3698626135	335.491097596486	
1346.407951	12	13	75	0.3847814499	0.3774905001	5.636372407	11.10986263	83.25376496	15.85891256	14.14618145	69.99490599										0	0	0	-1346.407951	0.3774905001	335.755107834017	
1343.847951	12	13	75	0.3924998346	0.3851118287	5.643337274	11.18470611	83.17195662	15.98125532	14.1369402	69.88180448										0	0	0	-1343.847951	0.3851118287	336.070926968653	
1341.287951	12	13	75	0.4002084469	0.3927253873	5.650325129	11.25928823	83.09038664	16.10634545	14.12572074	69.76793381										0	0	0	-1341.287951	0.3927253873	336.443033534876	
1338.727951	12	13	75	0.4079059781	0.400329869	5.657341778	11.33357869	83.00907953	16.23425522	14.11247518	69.65326959										0	0	0	-1338.727951	0.400329869	336.875993376544	
1336.167951	12	13	75	0.4155910252	0.4079238727	5.664392822	11.40754681	82.92806037	16.36505742	14.09715549	69.53778708										0	0	0	-1336.167951	0.4079238727	337.374464254134	
1333.607951	12	13	75	0.4232620919	0.4155059031	5.671483625	11.48116159	82.84735478	16.49882528	14.07971359	69.42146113										0	0	0	-1333.607951	0.4155059031	337.726176599652	
1332.967951	12	13	75	0.4251789487	0.4174008092	5.673260561	11.49951065	82.82722879	16.53273341	14.07502055	69.39224604										0	0	0	-1332.967951	0.4174008092	345.92185858841	
1332.947951	12	13	75	0.4252374022	0.4174585841	5.673318651	11.50007956	82.82660179	16.53380181	14.07486716	69.39133103										0	0	0	-1332.947951	0.4174585841	346.103971306931	
1332.927951	12	13	75	0.9729042913	0.7153308647	6.526556172	10.21216454	83.26127929	18.42779718	12.63388799	68.93831483	26.53860764	20.79491916	52.6664732							0	0	0	-1332.927951	0.7153308647	17.7836438913589	
1332.917951	12	13	75	0.9739931487	0.7158921256	6.528632761	10.2094962	83.26187104	18.4327356	12.63053951	68.93672489	26.54112291	20.7906852	52.6681919							0	0	0	-1332.917951	0.7158921256	17.8351522011398	
1332.897951	12	13	75	0.9761632787	0.7170112387	6.532770978	10.20417951	83.26304951	18.44257627	12.62386752	68.93355622	26.54613329	20.7822503	52.67161641							0	0	0	-1332.897951	0.7170112387	17.8956282882954	
1332.857951	12	13	75	0.9804923708	0.7192403839	6.541054101	10.19354563	83.26540027	18.46226564	12.61052332	68.92721104	26.55614664	20.76537808	52.67847529							0	0	0	-1332.857951	0.7192403839	17.9940455784758	
1332.777951	12	13	75	0.9890970212	0.7236619546	6.557609687	10.17232254	83.27006777	18.50159169	12.58389096	68.91451735	26.57610484	20.73170422	52.69219093							0	0	0	-1332.777951	0.7236619546	18.1912051256123	
1332.697951	12	13	75	0.9976353034	0.728036349	6.574150511	10.15115949	83.27469	18.5408463	12.55733388	68.90181981	26.59597164	20.69812516	52.7059032							0	0	0	-1332.697951	0.728036349	18.3725651245894	
1332.677951	12	13	75	0.9997627096	0.7291236882	6.578283194	10.14587832	83.27583848	18.5506483	12.55070666	68.89864504	26.6009239	20.68974556	52.70933054							0	0	0	-1332.677951	0.7291236882	155.600474290485	
1332.657951	12	13	75	1	0.7292410521	6.578578476	10.14516968	83.27625185				26.60165384	20.6889796	52.70936657										-1332.657951	0.7292410521	-5312.19469939175	
