T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1757.866136	4	2	94	0.9012986801	0.8998370667	3.519962584	1.705439676	94.77459774	8.31254938	4.646267214	87.04118341										0	0	0	-1757.866136	0.8998370667	254.527632348915	
1755.306136	4	2	94	0.911131388	0.9097870063	3.563375936	1.731886951	94.70473711	8.403323105	4.703904302	86.89277259										0	0	0	-1755.306136	0.9097870063	260.110687715081	
1752.746136	4	2	94	0.9207496329	0.9195255342	3.606714963	1.758351473	94.63493356	8.493818225	4.761167413	86.74501436										0	0	0	-1752.746136	0.9195255342	265.696215828245	
1750.186136	4	2	94	0.9301622588	0.9290613955	3.649985861	1.784829265	94.56518487	8.584056121	4.818046067	86.59789781										0	0	0	-1750.186136	0.9290613955	271.282240423333	
1747.626136	4	2	94	0.9393776378	0.9384028699	3.693194961	1.811316233	94.49548881	8.674058419	4.874529602	86.45141198										0	0	0	-1747.626136	0.9384028699	276.866848198124	
1745.066136	4	2	94	0.9484037009	0.9475578016	3.736348733	1.83780816	94.42584311	8.763846998	4.930607181	86.30554582										0	0	0	-1745.066136	0.9475578016	282.448191849391	
1742.506136	4	2	94	0.9572479651	0.9565336264	3.779453783	1.86430071	94.35624551	8.853443985	4.986267789	86.16028823										0	0	0	-1742.506136	0.9565336264	288.024488445863	
1739.946136	4	2	94	0.9659175592	0.9653373975	3.822516856	1.890789421	94.28669372	8.94287176	5.041500233	86.01562801										0	0	0	-1739.946136	0.9653373975	293.594028468563	
1737.386136	4	2	94	0.9744192477	0.9739758083	3.865544831	1.917269703	94.21718547	9.032152958	5.096293144	85.8715539										0	0	0	-1737.386136	0.9739758083	299.155180819581	
1734.826136	4	2	94	0.9827594525	0.9824552144	3.908544725	1.943736842	94.14771843	9.121310469	5.150634973	85.72805456										0	0	0	-1734.826136	0.9824552144	304.706395511789	
1732.266136	4	2	94	0.9909442731	0.9907816532	3.951523691	1.97018599	94.07829032	9.210367438	5.204513995	85.58511857										0	0	0	-1732.266136	0.9907816532	310.246207090251	
1729.706136	4	2	94	0.9989795052	0.9989608628	3.994489018	1.996612169	94.00889881	9.29934727	5.257918308	85.44273442										0	0	0	-1729.706136	0.9989608628	315.467861458535	
1729.386136	4	2	94	0.9999747056	0.9999742425	3.999859738	1.999913228	94.00022703	9.310466974	5.26455897	85.42497406										0	0	0	-1729.386136	0.9999742425	765.053374344938	
1729.366136	4	2	94	1	1	3.999999933	1.999999954	94.00000011																-1729.366136	1	776.472871978299	
1729.356136	4	2	94	1	1	4.000000002	1.99999999	94.00000001																-1729.356136	1	NaN	
1729.336136	4	2	94	1	1	4	2	94																-1729.336136	1	NaN	
1729.296136	4	2	94	1	1	4	2	94																-1729.296136	1	NaN	
1729.216136	4	2	94	1	1	4	2	94																-1729.216136	1	NaN	
1729.056136	4	2	94	1	1	4	2	94																-1729.056136	1	NaN	
1728.736136	4	2	94	1	1	4	2	94																-1728.736136	1	NaN	
1728.096136	4	2	94	1	1	3.999999999	1.999999999	94																-1728.096136	1	NaN	
1726.816136	4	2	94	1	1	3.999999998	1.999999998	94																-1726.816136	1	NaN	
1724.256136	4	2	94	1	1	3.999999991	1.999999992	94.00000002																-1724.256136	1	NaN	
1721.696136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1721.696136	1	NaN	
1719.136136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1719.136136	1	NaN	
1716.576136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1716.576136	1	NaN	
1714.016136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1714.016136	1	NaN	
1711.456136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1711.456136	1	NaN	
1708.896136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1708.896136	1	NaN	
1706.336136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1706.336136	1	NaN	
1703.776136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1703.776136	1	NaN	
1701.216136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1701.216136	1	NaN	
1698.656136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1698.656136	1	NaN	
1696.096136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1696.096136	1	NaN	
1693.536136	4	2	94	1	1	3.999999988	1.999999989	94.00000002																-1693.536136	1	NaN	
