T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
807.5550572	94	1	5	0.985584719	0.02135693456	96.49223111	0.527029509	2.980739379	71.94347432	22.93159152	5.124934156				62.54235303	28.42537001	9.032276954				0	0	0	-807.5550572	0.02135693456	-361.002698826625	
806.2750572	94	1	5	0.9869530951	0.03686947608	96.53900629	0.5724167531	2.88857696	71.4808552	23.52497351	4.994171298				62.54235303	28.42537001	9.032276954				0	0	0	-806.2750572	0.03686947608	99.1495527064482	
803.7150572	94	1	5	0.9889134146	0.05790366074	96.61143597	0.6628623289	2.725701703	70.63575872	24.59947061	4.764770667				62.54235303	28.42537001	9.032276954				0	0	0	-803.7150572	0.05790366074	-638.789588750548	
801.1550572	94	1	5	0.9902595264	0.0463801712	96.66216341	0.7539689189	2.583867676	69.86923005	25.56421518	4.566554774				62.54235303	28.42537001	9.032276954				0	0	0	-801.1550572	0.0463801712	-288.977589363919	
798.5950572	94	1	5	0.9912531389	0.03870381196	96.6959183	0.8465534773	2.457528223	69.16054979	26.44844186	4.391008349				62.54235303	28.42537001	9.032276954				0	0	0	-798.5950572	0.03870381196	-411.978403064861	
796.0350572	94	1	5	0.992023286	0.03323275872	96.71561789	0.9411458177	2.343236287	68.49688392	27.27024859	4.232867487				62.54235303	28.42537001	9.032276954				0	0	0	-796.0350572	0.03323275872	-558.117012815217	
793.4750572	94	1	5	0.9926416592	0.02914058028	96.72319482	1.038133542	2.238671641	67.86962017	28.04177064	4.088609189				62.54235303	28.42537001	9.032276954				0	0	0	-793.4750572	0.02914058028	-727.581475540463	
790.9150572	94	1	5	0.9931515958	0.0259670833	96.71999015	1.137827951	2.142181897	67.27264771	28.77161201	3.955740278				62.54235303	28.42537001	9.032276954				0	0	0	-790.9150572	0.0259670833	-920.55770673212	
788.3550572	94	1	5	0.9935809921	0.02343590252	96.70696131	1.240499664	2.052539026	66.70144319	29.46613618	3.832420635				62.54235303	28.42537001	9.032276954				0	0	0	-788.3550572	0.02343590252	-857.25108649647	
787.0750572	94	1	5	0.9937712856	0.01105615895	96.69698765	1.293030526	2.009981829	66.42439066	29.80171914	3.773890206				62.54235303	28.42537001	9.032276954				0	0	0	-787.0750572	0.01105615895	-54.6640438044203	
