T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
776.6550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-776.6550902	0.733230215	NaN	
771.5350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-771.5350902	0.733230215	NaN	
766.4150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-766.4150902	0.733230215	NaN	
761.2950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-761.2950902	0.733230215	NaN	
756.1750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-756.1750902	0.733230215	NaN	
751.0550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-751.0550902	0.733230215	NaN	
745.9350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-745.9350902	0.733230215	NaN	
740.8150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-740.8150902	0.733230215	NaN	
735.6950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-735.6950902	0.733230215	NaN	
730.5750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-730.5750902	0.733230215	NaN	
725.4550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-725.4550902	0.733230215	NaN	
720.3350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-720.3350902	0.733230215	NaN	
715.2150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-715.2150902	0.733230215	NaN	
710.0950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-710.0950902	0.733230215	NaN	
704.9750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-704.9750902	0.733230215	NaN	
699.8550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-699.8550902	0.733230215	NaN	
694.7350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-694.7350902	0.733230215	NaN	
689.6150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-689.6150902	0.733230215	NaN	
684.4950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-684.4950902	0.733230215	NaN	
679.3750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-679.3750902	0.733230215	NaN	
674.2550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-674.2550902	0.733230215	NaN	
669.1350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-669.1350902	0.733230215	NaN	
664.0150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-664.0150902	0.733230215	NaN	
658.8950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-658.8950902	0.733230215	NaN	
653.7750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-653.7750902	0.733230215	NaN	
648.6550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-648.6550902	0.733230215	NaN	
643.5350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-643.5350902	0.733230215	NaN	
638.4150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-638.4150902	0.733230215	NaN	
