T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
786.7837131	83	12	5	0.9068296181	8.457387004E-05	96.69440616	1.305103107	2.00049073	66.36206937	29.87709414	3.760836493	62.54235303	28.42537001	9.032276954							0	0	0	-786.7837131	8.457387004E-05	-118.576460993304	
786.7637131	83	12	5	0.9096731196	0.01332462138	96.69471817	1.31037011	1.994911715	66.34445191	29.90197088	3.75357721				43.36164434	51.06106018	5.577295482				0	0	0	-786.7637131	0.01332462138	2.8424587774269	
786.7437131	83	12	5	0.9136421465	0.0191569454	96.69526747	1.318177014	1.986555515	66.3193098	29.93796372	3.742726472				43.36164434	51.06106018	5.577295482				0	0	0	-786.7437131	0.0191569454	3.20390864565442	
786.7037131	83	12	5	0.9204748052	0.03446744443	96.69615054	1.333188892	1.970660569	66.27122801	30.00670741	3.722064577				43.36164434	51.06106018	5.577295482				0	0	0	-786.7037131	0.03446744443	2.9572839732681	
786.6237131	83	12	5	0.9309841564	0.05748564049	96.69720709	1.361280659	1.941512254	66.18217421	30.13372762	3.684098176				43.36164434	51.06106018	5.577295482				0	0	0	-786.6237131	0.05748564049	4.40662545968636	
786.4637131	83	12	5	0.9446986044	0.08621693142	96.69723527	1.411833898	1.890930829	66.02482997	30.35720189	3.617968143				43.36164434	51.06106018	5.577295482				0	0	0	-786.4637131	0.08621693142	-37.9322326211603	
786.3037131	83	12	5	0.953210879	0.06653209038	96.69532326	1.457233745	1.847442996	65.88657141	30.55258111	3.560847479				43.36164434	51.06106018	5.577295482				0	0	0	-786.3037131	0.06653209038	-11.0188981549262	
786.1437131	83	12	5	0.9590837677	0.0540785585	96.69203733	1.499063214	1.808899461	65.7616115	30.7283853	3.510003199				43.36164434	51.06106018	5.577295482				0	0	0	-786.1437131	0.0540785585	-16.2788727411669	
785.9837131	83	12	5	0.9634167593	0.04549641708	96.6877066	1.538236015	1.774057389	65.64660567	30.88953868	3.463855645				43.36164434	51.06106018	5.577295482				0	0	0	-785.9837131	0.04549641708	-22.6162575904355	
785.8237131	83	12	5	0.9667654969	0.03922651836	96.68254258	1.575337123	1.742120301	65.53941091	31.03919628	3.421392808				43.36164434	51.06106018	5.577295482				0	0	0	-785.8237131	0.03922651836	-30.0364310538232	
785.6637131	83	12	5	0.969443235	0.03444752578	96.67669088	1.610767443	1.712541674	65.4385573	31.17952206	3.381920639				43.36164434	51.06106018	5.577295482				0	0	0	-785.6637131	0.03444752578	-38.6586908327927	
785.5037131	83	12	5	0.9716421119	0.03070199642	96.67025528	1.644821181	1.684923535	65.34296898	31.31209793	3.344933098				43.36164434	51.06106018	5.577295482				0	0	0	-785.5037131	0.03070199642	-55.3719887806079	
785.1837131	83	12	5	0.9750804899	0.05161942707	96.65594109	1.709583204	1.634475708	65.16468351	31.55828872	3.277027769				43.36164434	51.06106018	5.577295482				0	0	0	-785.1837131	0.05161942707	19.1474613474286	
784.5437131	83	12	5	0.9796766984	0.07823576013	96.62285635	1.829430624	1.547713027	64.84611136	31.99476729	3.159121357				43.36164434	51.06106018	5.577295482				0	0	0	-784.5437131	0.07823576013	-153.547949704673	
783.9037131	83	12	5	0.9826007293	0.06068988023	96.58536266	1.940481719	1.47415562	64.56308004	32.37897844	3.057941521				43.36164434	51.06106018	5.577295482				0	0	0	-783.9037131	0.06068988023	-48.969931872762	
783.2637131	83	12	5	0.9846498624	0.04945580511	96.54451718	2.045576534	1.409906284	64.3051346	32.72631154	2.968553853				43.36164434	51.06106018	5.577295482				0	0	0	-783.2637131	0.04945580511	-71.8195928228066	
782.6237131	83	12	5	0.9861784465	0.04166246726	96.50094416	2.14639086	1.352664984	64.06611174	33.04583855	2.888049705				43.36164434	51.06106018	5.577295482				0	0	0	-782.6237131	0.04166246726	-99.3474182911898	
781.9837131	83	12	5	0.9873696917	0.03594717189	96.45504556	2.244015502	1.30093894	63.84201414	33.34344259	2.814543273				43.36164434	51.06106018	5.577295482				0	0	0	-781.9837131	0.03594717189	-131.615293887204	
781.3437131	83	12	5	0.9883285795	0.03158191646	96.40709583	2.339209699	1.253694474	63.63007589	33.62319409	2.746730022				43.36164434	51.06106018	5.577295482				0	0	0	-781.3437131	0.03158191646	-168.689291439813	
780.7037131	83	12	5	0.9891199198	0.02814259908	96.35728979	2.432529405	1.210180802	63.4282893	33.88804741	2.683663292				43.36164434	51.06106018	5.577295482				0	0	0	-780.7037131	0.02814259908	-210.633809550214	
780.0637131	83	12	5	0.9897860541	0.02536550953	96.30576941	2.524398294	1.169832292	63.23514256	34.14022697	2.624630466				43.36164434	51.06106018	5.577295482				0	0	0	-780.0637131	0.02536550953	-257.511431084966	
779.4237131	83	12	5	0.9903559052	0.02307812141	96.25263977	2.615149947	1.132210283	63.04946371	34.38145699	2.569079302				43.36164434	51.06106018	5.577295482				0	0	0	-779.4237131	0.02307812141	-309.383600521462	
778.7837131	83	12	5	0.9908499555	0.0211628622	96.19797915	2.705054352	1.096966493	62.87032247	34.6131059	2.516571625				43.36164434	51.06106018	5.577295482				0	0	0	-778.7837131	0.0211628622	-289.286989434941	
778.4637131	83	12	5	0.9910727649	0.01004351758	96.17009358	2.749760206	1.080146213	62.7829626	34.72569172	2.491345677				43.36164434	51.06106018	5.577295482				0	0	0	-778.4637131	0.01004351758	-15.2536773721327	
778.4237131	83	12	5	0.9910995702	0.001237295223	96.16658231	2.755338759	1.078078934	62.77213996	34.73962237	2.488237671				43.36164434	51.06106018	5.577295482				0	0	0	-778.4237131	0.001237295223	-30.4009292803624	
778.4037131	83	12	5	0.9911128877	0.0006166293932	96.16482462	2.758127167	1.07704821	62.76673662	34.74657602	2.486687366				43.36164434	51.06106018	5.577295482				0	0	0	-778.4037131	0.0006166293932	-32.2784599417039	
778.3837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-778.3837131	0.3654868505	0.0548140101412323	
778.3637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-778.3637131	0.3654868505	NaN	
778.3237131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-778.3237131	0.3654868505	NaN	
778.2437131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-778.2437131	0.3654868505	NaN	
778.0837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-778.0837131	0.3654868505	NaN	
777.7637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-777.7637131	0.3654868505	NaN	
777.1237131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-777.1237131	0.3654868505	NaN	
775.8437131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-775.8437131	0.3654868505	NaN	
773.2837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-773.2837131	0.3654868505	NaN	
768.1637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-768.1637131	0.3654868505	NaN	
763.0437131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-763.0437131	0.3654868505	NaN	
757.9237131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-757.9237131	0.3654868505	NaN	
752.8037131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-752.8037131	0.3654868505	NaN	
747.6837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-747.6837131	0.3654868505	NaN	
742.5637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-742.5637131	0.3654868505	NaN	
737.4437131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-737.4437131	0.3654868505	NaN	
732.3237131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-732.3237131	0.3654868505	NaN	
727.2037131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-727.2037131	0.3654868505	NaN	
722.0837131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-722.0837131	0.3654868505	NaN	
716.9637131	83	12	5	1	0.3654868505	96.16506658	2.75794572	1.0769877							43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-716.9637131	0.3654868505	NaN	
