T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
830.951459	87	3	10	0.7493086307	0.06084620624	97.36473149	1.267124113	1.368144393	79.65516579	9.940830834	10.40400337	5.930065402E-05	0	99.9999407				0.4594320795	-0.6058866651	0.1464545856	0	0	0	0.4573086121		0.1478592391				-830.951459	0.06084620624	-309.059881440609	
829.671459	87	3	10	0.7662632273	0.05695413166	97.27562822	1.367303755	1.357068029	79.20389678	10.54018066	10.25592257	5.780495679E-05	0	99.9999422				0.4528738842	-0.6001644234	0.1472905392	0	0	0	0.4507519853		0.1486666447				-829.671459	0.05695413166	-365.867131723614	
827.111459	87	3	10	0.7945124967	0.1014938026	97.09047626	1.574266605	1.335257138	78.31953098	11.72300592	9.957463096	5.49117904E-05	0	99.99994509				0.8859757301	-1.183695693	0.2977199625	0	0	0	0.8838599471		0.29904103				-827.111459	0.1014938026	-341.16258349485	
824.551459	87	3	10	0.8169793794	0.09122211846	96.89572099	1.79038145	1.313897565	77.45708728	12.88676285	9.656149873	5.214558636E-05	0	99.99994785				0.8640562119	-1.164677411	0.3006211995	0	0	0	0.8619487359		0.301890539				-824.551459	0.09122211846	-281.827430538748	
821.991459	87	3	10	0.8352832389	0.08291554039	96.69090057	2.01611496	1.292984471	76.61406054	14.03370877	9.352230687	4.950165008E-05	0	99.9999505				0.844638797	-1.147910871	0.3032720736	0	0	0	0.8425425913		0.3044920219				-821.991459	0.08291554039	-344.452129230942	
819.431459	87	3	10	0.8504913034	0.07607627443	96.47548727	2.251999058	1.272513675	75.78822266	15.16581572	9.045961622	4.697542122E-05	0	99.99995302				0.8274475752	-1.133111779	0.3056642034	0	0	0	0.8253644812		0.3068371954				-819.431459	0.07607627443	-414.332888169592	
816.871459	87	3	10	0.8633347876	0.07035929517	96.24887232	2.498645886	1.252481798	74.9775893	16.28479325	8.737617454	4.456247026E-05	0	99.99995544				0.8122391999	-1.120018287	0.3077790873	0	0	0	0.8101706972		0.3089073172				-816.871459	0.07035929517	-491.651255139882	
814.311459	87	3	10	0.8743310745	0.06551809378	96.01034817	2.756765396	1.232886431	74.18039924	17.3920978	8.427502965	4.225849594E-05	0	99.99995774				0.7987909295	-1.108377809	0.3095868798	0	0	0	0.796738176		0.3106723245				-814.311459	0.06551809378	-576.528235078411	
811.751459	87	3	10	0.8838562724	0.06137174651	95.75908525	3.027188402	1.213726344	73.39509911	18.48893707	8.115963825	4.00593225E-05	0	99.99995994				0.7868952069	-1.097942053	0.3110468459	0	0	0	0.7848590959		0.3120912751				-811.751459	0.06137174651	-668.981110711416	
809.191459	87	3	10	0.8921901416	0.05778430237	95.49410155	3.310896694	1.195001758	72.62033381	19.57626898	7.80339721	3.796089702E-05	0	99.99996204				0.7763539923	-1.088461618	0.3121076253	0	0	0	0.7743352362		0.3131126031				-809.191459	0.05778430237	-768.881568333803	
