T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
815.897355	97	3	0.9457346826	0.0287784361	92.55029799	7.44970201	78.88474008	21.11525992	0	0	-815.897355	0.0287784361	-3914.5353985991	
813.337355	97	3	0.9472395418	0.02814005367	92.37269464	7.627305363	78.49419845	21.50580155	0	0	-813.337355	0.02814005367	-4114.3430568952	
810.777355	97	3	0.948670757	0.02753248574	92.19368723	7.806312772	78.10633873	21.89366127	0	0	-810.777355	0.02753248574	-4321.57274101649	
808.217355	97	3	0.9500335867	0.02695388577	92.01322447	7.98677553	77.72111073	22.27888927	0	0	-808.217355	0.02695388577	-4536.53549871773	
805.657355	97	3	0.9513328162	0.02640255568	91.83125413	8.16874587	77.33846403	22.66153597	0	0	-805.657355	0.02640255568	-4759.56989032385	
803.097355	97	3	0.9525728088	0.02587693183	91.64772298	8.352277025	76.95834808	23.04165192	0	0	-803.097355	0.02587693183	-4991.04577591819	
800.537355	97	3	0.9537575507	0.0253755726	91.46257671	8.537423294	76.58071225	23.41928775	0	0	-800.537355	0.0253755726	-5231.36818185073	
797.977355	97	3	0.95489069	0.02489714732	91.27575989	8.724240107	76.20550591	23.79449409	0	0	-797.977355	0.02489714732	-5480.98165637464	
795.417355	97	3	0.9559755714	0.02444042641	91.0872159	8.912784096	75.83267851	24.16732149	0	0	-795.417355	0.02444042641	-5740.37603042581	
792.857355	97	3	0.9570152664	0.02400427267	90.89688684	9.103113157	75.46217959	24.53782041	0	0	-792.857355	0.02400427267	-6010.09210771574	
790.297355	97	3	0.9580126005	0.02358763336	90.70471347	9.295286528	75.09395884	24.90604116	0	0	-790.297355	0.02358763336	-6290.72871817327	
787.737355	97	3	0.958970177	0.02318953323	90.51063514	9.489364855	74.72796611	25.27203389	0	0	-787.737355	0.02318953323	-6584.42921599007	
785.177355	97	3	0.9598904042	0.02280922809	90.31458883	9.685411175	74.36415033	25.63584967	0	0	-785.177355	0.02280922809	-6887.97267025535	
782.617355	97	3	0.9607754919	0.02244547271	90.11651274	9.883487263	74.00246422	25.99753578	0	0	-782.617355	0.02244547271	-7204.34540990263	
780.057355	97	3	0.9616274979	0.02209781753	89.91634055	10.08365945	73.64285699	26.35714301	0	0	-780.057355	0.02209781753	-7536.88379167481	
777.497355	97	3	0.9624483261	0.02176545902	89.71400522	10.28599478	73.28527941	26.71472059	0	0	-777.497355	0.02176545902	-7883.79592626005	
774.937355	97	3	0.9632397432	0.0214477264	89.50943791	10.49056209	72.92968245	27.07031755	0	0	-774.937355	0.0214477264	-8247.00859898947	
772.377355	97	3	0.9640033911	0.0211439971	89.30256791	10.69743209	72.57601736	27.42398264	0	0	-772.377355	0.0211439971	-8627.85544411021	
769.817355	97	3	0.9647407972	0.02085369315	89.09332253	10.90667747	72.22423557	27.77576443	0	0	-769.817355	0.02085369315	-9027.84926011027	
767.257355	97	3	0.9654533848	0.02057627819	88.88162704	11.11837296	71.87428877	28.12571123	0	0	-767.257355	0.02057627819	-9448.71556500436	
764.697355	97	3	0.9661424813	0.02031125471	88.66740455	11.33259545	71.52612882	28.47387118	0	0	-764.697355	0.02031125471	-9892.4303738687	
762.137355	97	3	0.9668093264	0.0200581616	88.45057595	11.54942405	71.17970778	28.82029222	0	0	-762.137355	0.0200581616	-10361.2667307967	
759.577355	97	3	0.9674550793	0.01981657192	88.23105977	11.76894023	70.83497785	29.16502215	0	0	-759.577355	0.01981657192	-10857.8505847205	
757.017355	97	3	0.968080825	0.01958609087	88.00877212	11.99122788	70.49189136	29.50810864	0	0	-757.017355	0.01958609087	-11385.2314579668	
754.457355	97	3	0.9686875806	0.01936635401	87.78362657	12.21637343	70.15040076	29.84959924	0	0	-754.457355	0.01936635401	-11947.0513842036	
751.897355	97	3	0.9692763002	0.01915702829	87.55553404	12.44446596	69.81045855	30.18954145	0	0	-751.897355	0.01915702829	-12547.3200656018	
749.337355	97	3	0.96984788	0.01895779994	87.3244027	12.6755973	69.47201726	30.52798274	0	0	-749.337355	0.01895779994	-13191.0054829307	
746.777355	97	3	0.9704031626	0.01876838931	87.09013785	12.90986215	69.13502943	30.86497057	0	0	-746.777355	0.01876838931	-13884.1296716562	
744.217355	97	3	0.9709429415	0.01858853888	86.85264181	13.14735819	68.79944897	31.20055103	0	0	-744.217355	0.01858853888	-14633.2009442969	
741.657355	97	3	0.971467964	0.01841800495	86.61181378	13.38818622	68.46522531	31.53477469	0	0	-741.657355	0.01841800495	-15447.7713144903	
739.097355	97	3	0.9719789358	0.01825659796	86.36754976	13.63245024	68.13231219	31.86768781	0	0	-739.097355	0.01825659796	-16338.0579810256	
736.537355	97	3	0.972476523	0.01810411876	86.11974234	13.88025766	67.80066165	32.19933835	0	0	-736.537355	0.01810411876	-17316.058790121	
733.977355	97	3	0.9729613556	0.01796040082	85.86828066	14.13171934	67.47022547	32.52977453	0	0	-733.977355	0.01796040082	-18398.2104435875	
731.417355	97	3	0.9734340297	0.01782529884	85.6130502	14.3869498	67.14095511	32.85904489	0	0	-731.417355	0.01782529884	-19605.4867554547	
728.857355	97	3	0.9738951104	0.01769869775	85.35393267	14.64606733	66.81280166	33.18719834	0	0	-728.857355	0.01769869775	-20961.9798839878	
726.297355	97	3	0.9743451336	0.01758047441	85.09080584	14.90919416	66.48571575	33.51428425	0	0	-726.297355	0.01758047441	-22501.6892768866	
723.737355	97	3	0.9747846082	0.01747055551	84.8235434	15.1764566	66.1596475	33.8403525	0	0	-723.737355	0.01747055551	-24270.5582500609	
721.177355	97	3	0.9752140182	0.01736887819	84.55201477	15.44798523	65.83454645	34.16545355	0	0	-721.177355	0.01736887819	-26328.2944254776	
718.617355	97	3	0.9756338243	0.01727540016	84.27608497	15.72391503	65.51036142	34.48963858	0	0	-718.617355	0.01727540016	-28758.9334007418	
716.057355	97	3	0.9760444658	0.01719009996	83.99561441	16.00438559	65.1870405	34.8129595	0	0	-716.057355	0.01719009996	-31682.8700773615	
713.497355	97	3	0.9764463616	0.01711297729	83.7104587	16.2895413	64.86453091	35.13546909	0	0	-713.497355	0.01711297729	-35279.0221059476	
710.937355	97	3	0.9768399123	0.01704405355	83.42046847	16.57953153	64.54277888	35.45722112	0	0	-710.937355	0.01704405355	-39825.5675208519	
708.377355	97	3	0.977225501	0.01698337245	83.12548915	16.87451085	64.22172961	35.77827039	0	0	-708.377355	0.01698337245	-45780.6175214207	
705.817355	97	3	0.9776034949	0.01693100087	82.82536077	17.17463923	63.90132709	36.09867291	0	0	-705.817355	0.01693100087	-53957.9144171515	
703.257355	97	3	0.9779742464	0.01688702979	82.51991769	17.48008231	63.58151401	36.41848599	0	0	-703.257355	0.01688702979	-65962.7154756046	
700.697355	97	3	0.9783380939	0.01685157551	82.2089884	17.7910116	63.2622316	36.7377684	0	0	-700.697355	0.01685157551	-85497.1013052563	
698.137355	97	3	0.9786953635	0.01682478103	81.8923952	18.1076048	62.94341953	37.05658047	0	0	-698.137355	0.01682478103	-123660.691554558	
695.577355	97	3	0.9790463692	0.01680681761	81.56995397	18.43004603	62.6250157	37.3749843	0	0	-695.577355	0.01680681761	-238783.561155278	
693.017355	97	3	0.9793914145	0.01679788676	81.24147383	18.75852617	62.30695611	37.69304389	0	0	-693.017355	0.01679788676	7941240.81175121	
690.457355	97	3	0.9797307932	0.01679822218	80.90675687	19.09324313	61.98917465	38.01082535	0	0	-690.457355	0.01679822218	7389913.88098126	
687.897355	97	3	0.9800647898	0.01680809279	80.56559758	19.43440242	61.67160292	38.32839708	0	0	-687.897355	0.01680809279	216151.302430371	
