T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
902.4868234	95	1	4	0.09941141918	0.002946276497	99.24022192	0.2715429183	0.4882351581	94.52903035	1.081142185	4.389827465							0	0	0	-902.4868234	0.002946276497	-10118.0926442559	
902.4068234	95	1	4	0.1020593985	0.002938390278	99.23851345	0.2719504511	0.4895361003	94.51515127	1.083526915	4.401321818							0	0	0	-902.4068234	0.002938390278	-10170.6687455332	
902.3268234	95	1	4	0.1046925476	0.002930544774	99.23680576	0.2723571018	0.4908371425	94.50127358	1.085911072	4.412815351							0	0	0	-902.3268234	0.002930544774	-10223.3832264875	
902.2468234	95	1	4	0.1073109875	0.002922739673	99.23509884	0.2727628719	0.4921382846	94.48739728	1.08829466	4.42430806							0	0	0	-902.2468234	0.002922739673	-10276.2364612083	
902.1668234	95	1	4	0.1099148379	0.002914974665	99.23339271	0.2731677632	0.4934395267	94.47352238	1.090677682	4.435799941							0	0	0	-902.1668234	0.002914974665	-10329.2262396819	
902.0868234	95	1	4	0.1125042175	0.002907249441	99.23168735	0.2735717773	0.4947408687	94.45964887	1.09306014	4.447290991							0	0	0	-902.0868234	0.002907249441	-10382.3530503931	
902.0068234	95	1	4	0.1150792434	0.002899563698	99.22998277	0.2739749159	0.4960423105	94.44577676	1.095442037	4.458781205							0	0	0	-902.0068234	0.002899563698	-10435.6187620872	
901.9268234	95	1	4	0.1176400317	0.002891917136	99.22827897	0.2743771806	0.4973438523	94.43190604	1.097823376	4.47027058							0	0	0	-901.9268234	0.002891917136	-10489.0212487784	
901.8468234	95	1	4	0.1201866971	0.002884309455	99.22657593	0.2747785732	0.4986454939	94.41803673	1.10020416	4.481759112							0	0	0	-901.8468234	0.002884309455	-10542.561901113	
901.7668234	95	1	4	0.1227193532	0.002876740363	99.22487367	0.2751790953	0.4999472355	94.40416881	1.102584391	4.493246799							0	0	0	-901.7668234	0.002876740363	-10596.2406881712	
901.6868234	95	1	4	0.1252381123	0.002869209566	99.22317217	0.2755787485	0.5012490769	94.39030229	1.104964073	4.504733635							0	0	0	-901.6868234	0.002869209566	-10650.0556261747	
901.6068234	95	1	4	0.1277430857	0.002861716775	99.22147145	0.2759775345	0.5025510181	94.37643717	1.107343207	4.516219618							0	0	0	-901.6068234	0.002861716775	-10704.0096646509	
901.5268234	95	1	4	0.1302343834	0.002854261706	99.21977149	0.2763754548	0.5038530592	94.36257346	1.109721796	4.527704744							0	0	0	-901.5268234	0.002854261706	-10758.1015423235	
