T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
903.5992168	95	4	1	0.2078332767	0.003711426929	98.49921513	1.396463309	0.1043215574	94.05033958	4.71165033	1.238010089							0	0	0	-903.5992168	0.003711426929	-7996.0273750288	
903.5192168	95	4	1	0.2107560949	0.003701448909	98.49568633	1.399715336	0.1045983345	94.03382422	4.723954835	1.242220944							0	0	0	-903.5192168	0.003701448909	-8039.39438106023	
903.4392168	95	4	1	0.2136602969	0.003691524642	98.49215969	1.402965401	0.1048749045	94.01730518	4.736259777	1.246435045							0	0	0	-903.4392168	0.003691524642	-8082.88076187096	
903.3592168	95	4	1	0.2165460509	0.003681653699	98.48863523	1.406213507	0.1051512667	94.00078245	4.748565161	1.250652386							0	0	0	-903.3592168	0.003681653699	-8126.48682815083	
903.2792168	95	4	1	0.2194135233	0.003671835653	98.48511292	1.409459657	0.1054274207	93.98425604	4.760870996	1.254872964							0	0	0	-903.2792168	0.003671835653	-8170.21132153856	
903.1992168	95	4	1	0.2222628783	0.003662070081	98.48159278	1.412703852	0.105703366	93.96772594	4.773177288	1.259096775							0	0	0	-903.1992168	0.003662070081	-8214.05509225746	
903.1192168	95	4	1	0.2250942785	0.003652356567	98.4780748	1.415946095	0.1059791019	93.95119214	4.785484045	1.263323814							0	0	0	-903.1192168	0.003652356567	-8258.01861949118	
903.0392168	95	4	1	0.2279078843	0.003642694698	98.47455898	1.419186388	0.106254628	93.93465465	4.797791274	1.267554076							0	0	0	-903.0392168	0.003642694698	-8302.1007479553	
902.9592168	95	4	1	0.2307038546	0.003633084064	98.47104532	1.422424733	0.1065299438	93.91811346	4.810098982	1.271787558							0	0	0	-902.9592168	0.003633084064	-8346.30252208277	
902.8792168	95	4	1	0.233482346	0.003623524263	98.46753382	1.425661133	0.1068050487	93.90156857	4.822407177	1.276024255							0	0	0	-902.8792168	0.003623524263	-8390.62369969656	
902.7992168	95	4	1	0.2362435138	0.003614014893	98.46402447	1.428895589	0.1070799422	93.88501997	4.834715865	1.280264163							0	0	0	-902.7992168	0.003614014893	-8435.06370299567	
902.7192168	95	4	1	0.2389875111	0.003604555559	98.46051727	1.432128105	0.1073546238	93.86846767	4.847025054	1.284507279							0	0	0	-902.7192168	0.003604555559	-8479.62327415221	
902.6392168	95	4	1	0.2417144896	0.003595145869	98.45701223	1.435358681	0.107629093	93.85191165	4.85933475	1.288753597							0	0	0	-902.6392168	0.003595145869	-8524.30143814696	
902.5592168	95	4	1	0.244424599	0.003585785434	98.45350933	1.43858732	0.1079033492	93.83535193	4.871644961	1.293003113							0	0	0	-902.5592168	0.003585785434	-8569.09954551816	
902.4792168	95	4	1	0.2471179875	0.003576473873	98.45000858	1.441814025	0.1081773921	93.81878848	4.883955694	1.297255824							0	0	0	-902.4792168	0.003576473873	-8614.01712903668	
902.3992168	95	4	1	0.2497948013	0.003567210804	98.44650998	1.445038797	0.108451221	93.80222132	4.896266955	1.301511726							0	0	0	-902.3992168	0.003567210804	-8659.0533638231	
902.3192168	95	4	1	0.2524551854	0.003557995852	98.44301353	1.448261639	0.1087248355	93.78565043	4.908578752	1.305770813							0	0	0	-902.3192168	0.003557995852	-8704.2087940424	
902.2392168	95	4	1	0.2550992829	0.003548828644	98.43951921	1.451482552	0.1089982351	93.76907583	4.920891092	1.310033083							0	0	0	-902.2392168	0.003548828644	-8749.48408416503	
902.1592168	95	4	1	0.2577272352	0.003539708814	98.43602704	1.45470154	0.1092714192	93.75249749	4.93320398	1.314298531							0	0	0	-902.1592168	0.003539708814	-8794.87845782031	
902.0792168	95	4	1	0.2603391822	0.003530635995	98.43253701	1.457918603	0.1095443875	93.73591542	4.945517425	1.318567154							0	0	0	-902.0792168	0.003530635995	-8840.39172724645	
901.9992168	95	4	1	0.2629352624	0.003521609828	98.42904912	1.461133745	0.1098171394	93.71932962	4.957831433	1.322838946							0	0	0	-901.9992168	0.003521609828	-8886.02514755509	
901.9192168	95	4	1	0.2655156126	0.003512629956	98.42556336	1.464346967	0.1100896744	93.70274008	4.970146011	1.327113905							0	0	0	-901.9192168	0.003512629956	-8931.77761536711	
901.8392168	95	4	1	0.2680803679	0.003503696025	98.42207974	1.467558271	0.1103619921	93.68614681	4.982461165	1.331392026							0	0	0	-901.8392168	0.003503696025	-8977.64852583656	
901.7592168	95	4	1	0.2706296623	0.003494807684	98.41859825	1.47076766	0.110634092	93.66954979	4.994776903	1.335673306							0	0	0	-901.7592168	0.003494807684	-9023.6393517684	
901.6792168	95	4	1	0.273163628	0.003485964589	98.41511889	1.473975135	0.1109059735	93.65294903	5.00709323	1.33995774							0	0	0	-901.6792168	0.003485964589	-9069.75007243638	
901.5992168	95	4	1	0.2756823958	0.003477166396	98.41164167	1.477180699	0.1111776363	93.63634452	5.019410154	1.344245324							0	0	0	-901.5992168	0.003477166396	-9115.97973612943	
901.5192168	95	4	1	0.2781860952	0.003468412766	98.40816657	1.480384353	0.1114490799	93.61973626	5.031727682	1.348536056							0	0	0	-901.5192168	0.003468412766	-9162.32840361791	
901.4392168	95	4	1	0.2806748541	0.003459703362	98.4046936	1.4835861	0.1117203037	93.60312425	5.044045819	1.35282993							0	0	0	-901.4392168	0.003459703362	-9208.7967510868	
901.3592168	95	4	1	0.283148799	0.003451037853	98.40122275	1.486785942	0.1119913074	93.58650848	5.056364573	1.357126943							0	0	0	-901.3592168	0.003451037853	-9255.38440218876	
901.2792168	95	4	1	0.2856080551	0.003442415908	98.39775403	1.489983881	0.1122620905	93.56988896	5.06868395	1.361427092							0	0	0	-901.2792168	0.003442415908	-9302.09107515836	
901.1992168	95	4	1	0.2880527463	0.003433837202	98.39428743	1.493179918	0.1125326525	93.55326567	5.081003957	1.365730372							0	0	0	-901.1992168	0.003433837202	-9348.9175586601	
901.1192168	95	4	1	0.290482995	0.003425301412	98.39082295	1.496374057	0.112802993	93.53663862	5.093324599	1.37003678							0	0	0	-901.1192168	0.003425301412	-9395.86308995175	
901.0392168	95	4	1	0.2928989223	0.003416808218	98.38736059	1.499566298	0.1130731115	93.5200078	5.105645885	1.374346311							0	0	0	-901.0392168	0.003416808218	-9442.92859660864	
900.9592168	95	4	1	0.2953006481	0.003408357305	98.38390035	1.502756644	0.1133430076	93.50337322	5.117967819	1.378658963							0	0	0	-900.9592168	0.003408357305	-9490.11279079492	
900.8792168	95	4	1	0.2976882907	0.003399948357	98.38044222	1.505945097	0.1136126808	93.48673486	5.130290409	1.382974732							0	0	0	-900.8792168	0.003399948357	-9537.41616676739	
900.7992168	95	4	1	0.3000619676	0.003391581066	98.37698621	1.509131659	0.1138821307	93.47009273	5.142613661	1.387293613							0	0	0	-900.7992168	0.003391581066	-9584.83975921096	
900.7192168	95	4	1	0.3024217946	0.003383255124	98.37353231	1.512316333	0.1141513568	93.45344682	5.154937581	1.391615604							0	0	0	-900.7192168	0.003383255124	-9632.38185119476	
900.6392168	95	4	1	0.3047678866	0.003374970226	98.37008052	1.515499119	0.1144203588	93.43679713	5.167262175	1.3959407							0	0	0	-900.6392168	0.003374970226	-9680.04421359569	
900.5592168	95	4	1	0.3071003569	0.003366726073	98.36663084	1.518680019	0.1146891361	93.42014365	5.17958745	1.400268898							0	0	0	-900.5592168	0.003366726073	-9727.82570925647	
