T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@DIAMOND_A4)	w(MG@DIAMOND_A4)	w(SI@DIAMOND_A4)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
890.1322645	92	5	3	0.1009420497	0.002448890204	98.31138921	1.411695046	0.2769157481	91.28341743	5.40869666	3.307885906							0	0	0	-890.1322645	0.002448890204	-17832.0595953813	
890.0522645	92	5	3	0.1031326979	0.002444412311	98.30903332	1.413565257	0.2774014192	91.26620184	5.418486342	3.315311816							0	0	0	-890.0522645	0.002444412311	-17899.2261455154	
889.9722645	92	5	3	0.1053140071	0.002439951207	98.30667975	1.41543341	0.277886839	91.2489814	5.428277489	3.322741115							0	0	0	-889.9722645	0.002439951207	-17966.5192018956	
889.8922645	92	5	3	0.1074860345	0.002435506795	98.30432849	1.417299506	0.2783720075	91.23175609	5.438070106	3.330173803							0	0	0	-889.8922645	0.002435506795	-18033.9421914891	
889.8122645	92	5	3	0.1096488368	0.002431078986	98.30197953	1.419163547	0.2788569244	91.21452592	5.447864199	3.337609877							0	0	0	-889.8122645	0.002431078986	-18101.4962085496	
889.7322645	92	5	3	0.1118024702	0.002426667685	98.29963288	1.421025534	0.2793415895	91.19729089	5.457659772	3.345049335							0	0	0	-889.7322645	0.002426667685	-18169.174523388	
889.6522645	92	5	3	0.1139469904	0.002422272801	98.29728853	1.422885468	0.2798260027	91.18005099	5.467456831	3.352492175							0	0	0	-889.6522645	0.002422272801	-18236.9866724939	
889.5722645	92	5	3	0.1160824529	0.002417894245	98.29494648	1.424743352	0.2803101638	91.16280623	5.47725538	3.359938394							0	0	0	-889.5722645	0.002417894245	-18304.9299084986	
889.4922645	92	5	3	0.1182089126	0.002413531926	98.29260674	1.426599186	0.2807940725	91.14555658	5.487055424	3.367387991							0	0	0	-889.4922645	0.002413531926	-18372.9994259039	
889.4122645	92	5	3	0.1203264239	0.002409185754	98.2902693	1.428452972	0.2812777286	91.12830207	5.496856968	3.374840964							0	0	0	-889.4122645	0.002409185754	-18441.1966297174	
