T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
907.1356561	96	4	0.3166744942	0.004411556464	98.34621802	1.653781984	94.81254054	5.187459457			0	0	-907.1356561	0.004411556464	-5797.58558928228	
907.0556561	96	4	0.319668008	0.004397799013	98.34127711	1.658722885	94.79695332	5.20304668			0	0	-907.0556561	0.004397799013	-5832.63375808088	
906.9756561	96	4	0.3226391058	0.004384124106	98.33633653	1.663663468	94.7813679	5.218632102			0	0	-906.9756561	0.004384124106	-5867.78654579294	
906.8956561	96	4	0.3255880223	0.004370531	98.33139627	1.668603733	94.76578428	5.234215718			0	0	-906.8956561	0.004370531	-5903.04351837492	
906.8156561	96	4	0.3285149893	0.004357018959	98.32645632	1.673543684	94.75020248	5.249797523			0	0	-906.8156561	0.004357018959	-5938.40496010186	
906.7356561	96	4	0.3314202353	0.004343587259	98.32151668	1.678483321	94.73462249	5.265377509			0	0	-906.7356561	0.004343587259	-5973.87097611543	
906.6556561	96	4	0.334303986	0.004330235182	98.31657735	1.683422646	94.71904433	5.280955672			0	0	-906.6556561	0.004330235182	-6009.44108262326	
906.5756561	96	4	0.3371664639	0.004316962019	98.31163834	1.688361661	94.70346799	5.296532005			0	0	-906.5756561	0.004316962019	-6045.11573931836	
906.4956561	96	4	0.3400078884	0.004303767071	98.30669963	1.693300366	94.6878935	5.312106503			0	0	-906.4956561	0.004303767071	-6080.89501318777	
906.4156561	96	4	0.3428284764	0.004290649646	98.30176123	1.698238765	94.67232084	5.327679159			0	0	-906.4156561	0.004290649646	-6116.77833890454	
906.3356561	96	4	0.3456284416	0.004277609059	98.29682314	1.703176859	94.65675003	5.343249967			0	0	-906.3356561	0.004277609059	-6152.76613928246	
906.2556561	96	4	0.348407995	0.004264644636	98.29188535	1.708114648	94.64118108	5.358818922			0	0	-906.2556561	0.004264644636	-6188.8584077072	
906.1756561	96	4	0.3511673448	0.004251755708	98.28694786	1.713052136	94.62561398	5.374386018			0	0	-906.1756561	0.004251755708	-6225.05473799065	
906.0956561	96	4	0.3539066965	0.004238941615	98.28201068	1.717989323	94.61004875	5.389951249			0	0	-906.0956561	0.004238941615	-6261.35572998756	
906.0156561	96	4	0.356626253	0.004226201706	98.27707379	1.72292621	94.59448539	5.405514609			0	0	-906.0156561	0.004226201706	-6297.76131571798	
905.9356561	96	4	0.3593262144	0.004213535336	98.2721372	1.727862801	94.57892391	5.421076092			0	0	-905.9356561	0.004213535336	-6334.27098967894	
905.8556561	96	4	0.3620067783	0.004200941867	98.2672009	1.732799096	94.56336431	5.436635693			0	0	-905.8556561	0.004200941867	-6370.88504212868	
905.7756561	96	4	0.3646681397	0.00418842067	98.2622649	1.737735097	94.54780659	5.452193406			0	0	-905.7756561	0.00418842067	-6407.60356075188	
905.6956561	96	4	0.3673104911	0.004175971122	98.25732919	1.742670805	94.53225078	5.467749224			0	0	-905.6956561	0.004175971122	-6444.42644744409	
905.6156561	96	4	0.3699340226	0.004163592608	98.25239378	1.747606223	94.51669686	5.483303143			0	0	-905.6156561	0.004163592608	-6481.35364194391	
