T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
733.1382021	91	9	0.7152509872	0.01230795142	95.2027175	4.7972825	73.97932744	26.02067256	0	0	-733.1382021	0.01230795142	-16664.9194797359	
730.5782021	91	9	0.7187416175	0.01215655908	95.12356893	4.876431073	73.71912332	26.28087668	0	0	-730.5782021	0.01215655908	-17167.0950925349	
728.0182021	91	9	0.7221480153	0.01200957614	95.04381988	4.956180122	73.45990998	26.54009002	0	0	-728.0182021	0.01200957614	-17679.763902902	
725.4582021	91	9	0.7254733986	0.01186683809	94.96346397	5.036536028	73.20166653	26.79833347	0	0	-725.4582021	0.01186683809	-18202.9280154864	
722.8982021	91	9	0.7287208235	0.01172818418	94.88249476	5.117505235	72.94437246	27.05562754	0	0	-722.8982021	0.01172818418	-18736.825308774	
720.3382021	91	9	0.7318931955	0.01159346611	94.80090575	5.199094252	72.68800758	27.31199242	0	0	-720.3382021	0.01159346611	-19281.8623173109	
717.7782021	91	9	0.7349932782	0.01146254135	94.71869035	5.281309651	72.43255204	27.56744796	0	0	-717.7782021	0.01146254135	-19829.2729566265	
715.2182021	91	9	0.7380236727	0.01133516454	94.63584193	5.364158072	72.17798728	27.82201272	0	0	-715.2182021	0.01133516454	-20407.1364666563	
712.6582021	91	9	0.7409869433	0.01121153676	94.55235378	5.447646221	71.92429212	28.07570788	0	0	-712.6582021	0.01121153676	-20994.6544376141	
710.0982021	91	9	0.743885447	0.01109120395	94.46821913	5.531780874	71.67144867	28.32855133	0	0	-710.0982021	0.01109120395	-21577.333990485	
707.5382021	91	9	0.7467214599	0.01097415963	94.38343113	5.616568875	71.41943831	28.58056169	0	0	-707.5382021	0.01097415963	-22181.3594163468	
704.9782021	91	9	0.7494971531	0.01086029211	94.29798286	5.702017139	71.16824273	28.83175727	0	0	-704.9782021	0.01086029211	-22798.0216721055	
702.4182021	91	9	0.7522145991	0.01074949484	94.21186734	5.788132655	70.91784389	29.08215611	0	0	-702.4182021	0.01074949484	-23427.6309797303	
699.8582021	91	9	0.7548757773	0.01064166615	94.12507752	5.874922484	70.66822403	29.33177597	0	0	-699.8582021	0.01064166615	-24070.5182498496	
