T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
828.2399585	89	8	3	0.6781937098	0.6635148701	97.0096079	0.6565171463	2.333874954	73.20582414	22.48064516	4.3135307										0	0	0	-828.2399585	0.6635148701	418.478888707242	
825.6799585	89	8	3	0.6844835208	0.6695047574	96.98194162	0.6720717294	2.345986654	72.83045267	22.84467278	4.324874551										0	0	0	-825.6799585	0.6695047574	436.805646318703	
823.1199585	89	8	3	0.6905172645	0.6752467976	96.95441177	0.6877621659	2.35782606	72.46066825	23.20408518	4.335246573										0	0	0	-823.1199585	0.6752467976	455.362230727677	
820.5599585	89	8	3	0.696312236	0.6807580182	96.92700455	0.7035910917	2.369404356	72.09626724	23.55903882	4.344693942										0	0	0	-820.5599585	0.6807580182	474.138605275795	
817.9999585	89	8	3	0.7018841748	0.6860539054	96.89970686	0.7195610849	2.380732059	71.73705745	23.90968182	4.353260728										0	0	0	-817.9999585	0.6860539054	493.124766841455	
815.4399585	89	8	3	0.7072474384	0.6911485764	96.87250625	0.7356746767	2.391819069	71.38285725	24.2561546	4.36098815										0	0	0	-815.4399585	0.6911485764	512.310725222072	
812.8799585	89	8	3	0.7124151529	0.6960549297	96.84539092	0.7519343611	2.402674718	71.03349485	24.59859035	4.367914804										0	0	0	-812.8799585	0.6960549297	531.686487188136	
810.3199585	89	8	3	0.7173993442	0.7007847755	96.81834959	0.7683426038	2.413307808	70.68880752	24.9371156	4.374076876										0	0	0	-810.3199585	0.7007847755	551.24206957414	
807.7599585	89	8	3	0.722211053	0.7053489497	96.7913715	0.78490185	2.423726651	70.34864103	25.27185064	4.379508325										0	0	0	-807.7599585	0.7053489497	570.967477473599	
805.1999585	89	8	3	0.7268604351	0.709757414	96.76444637	0.8016145314	2.4339391	70.01284899	25.60290995	4.38424106										0	0	0	-805.1999585	0.709757414	590.852726174398	
802.6399585	89	8	3	0.7313568498	0.7140193433	96.73756434	0.8184830732	2.443952588	69.68129233	25.93040258	4.38830509										0	0	0	-802.6399585	0.7140193433	610.887795947944	
800.0799585	89	8	3	0.735708938	0.7181432038	96.71071595	0.8355098997	2.453774149	69.35383884	26.25443249	4.39172867										0	0	0	-800.0799585	0.7181432038	630.960900995123	
798.7999585	89	8	3	0.7378335441	0.720156	96.69730131	0.8440831681	2.458615521	69.19161238	26.41517835	4.393209272										0	0	0	-798.7999585	0.720156	640.674307096792	
798.6399585	89	8	3	0.7380969145	0.7204055079	96.69562474	0.8451575236	2.459217732	69.17140387	26.43521208	4.393384046										0	0	0	-798.6399585	0.7204055079	649.530142326166	
798.6317702	89	8	3	0.7381102296	0.7204181063	96.69553906	0.8452126714	2.459248268	69.17036939	26.43623802	4.393392589	62.54235303	28.42537001	9.032276954							0	0	0	-798.6317702	0.7204181063	606.324814488525	
798.6099585	89	8	3	0.7385263758	0.7205426262	96.69576475	0.8460092225	2.458226024	69.16453428	26.44349018	4.391975536	62.54235303	28.42537001	9.032276954							0	0	0	-798.6099585	0.7205426262	175.383836643684	
798.5899585	89	8	3	0.7389071618	0.7206565326	96.69597069	0.8467398188	2.457289494	69.15918576	26.45013696	4.390677277	62.54235303	28.42537001	9.032276954							0	0	0	-798.5899585	0.7206565326	175.7162671362	
798.5499585	89	8	3	0.7396664886	0.7208838277	96.69638012	0.8482012987	2.455418578	69.14849787	26.4634182	4.388083931	62.54235303	28.42537001	9.032276954							0	0	0	-798.5499585	0.7208838277	176.415735187757	
798.4699585	89	8	3	0.7411762867	0.7213351026	96.69718879	0.851125747	2.45168546	69.12715462	26.48993556	4.382909813	62.54235303	28.42537001	9.032276954							0	0	0	-798.4699585	0.7213351026	178.08314010997	
798.3099585	89	8	3	0.7441608504	0.7222255906	96.69876557	0.8569806461	2.444253783	69.08459724	26.54279132	4.372611444	62.54235303	28.42537001	9.032276954							0	0	0	-798.3099585	0.7222255906	181.513303666072	
797.9899585	89	8	3	0.7499926529	0.7239545804	96.70175882	0.8687146958	2.429526486	68.99999113	26.647798	4.352210872	62.54235303	28.42537001	9.032276954							0	0	0	-797.9899585	0.7239545804	188.564942626139	
797.3499585	89	8	3	0.7611424468	0.7272336748	96.70711829	0.8922829465	2.400598767	68.83274798	26.85508409	4.312167933	62.54235303	28.42537001	9.032276954							0	0	0	-797.3499585	0.7272336748	202.809885948349	
796.0699585	89	8	3	0.7815929338	0.7331440117	96.71543443	0.93984088	2.344724689	68.50567055	27.25940602	4.234923426	62.54235303	28.42537001	9.032276954							0	0	0	-796.0699585	0.7331440117	233.939166380215	
793.5099585	89	8	3	0.8164713132	0.7428930539	96.7231666	1.036793667	2.240039736	67.87795629	28.0315492	4.090494511	62.54235303	28.42537001	9.032276954							0	0	0	-793.5099585	0.7428930539	301.972345723978	
790.9499585	89	8	3	0.8451900519	0.7505801567	96.72010173	1.136449355	2.143448915	67.28060424	28.76191186	3.957483899	62.54235303	28.42537001	9.032276954							0	0	0	-790.9499585	0.7505801567	376.733160010283	
