T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
873.3925869	85	13	2	0.3441160935	0.328821915	97.96617996	0.8680884524	1.165731584	78.64747536	18.94379979	2.408724848										0	0	0	-873.3925869	0.328821915	118.726982682914	
870.8325869	85	13	2	0.3657890925	0.3495023825	97.92687317	0.8983723849	1.174754445	78.05444572	19.50216087	2.443393419										0	0	0	-870.8325869	0.3495023825	129.536717670079	
868.2725869	85	13	2	0.3856944111	0.3684913727	97.88775603	0.9285648226	1.183679145	77.47974456	20.04392307	2.476332376										0	0	0	-868.2725869	0.3684913727	140.747890652682	
865.7125869	85	13	2	0.404051869	0.385999462	97.84879742	0.958694502	1.192508079	76.9223253	20.57003335	2.507641348										0	0	0	-865.7125869	0.385999462	152.32562987075	
863.1525869	85	13	2	0.4210468007	0.4022042013	97.80996853	0.9887880432	1.201243422	76.38120166	21.08138453	2.537413802										0	0	0	-863.1525869	0.4022042013	164.25082857659	
860.5925869	85	13	2	0.4368364178	0.4172562076	97.77124262	1.018870159	1.209887217	75.85544828	21.57881458	2.565737144										0	0	0	-860.5925869	0.4172562076	176.504684437049	
858.0325869	85	13	2	0.4515548479	0.4312839894	97.73259473	1.04896385	1.218441418	75.34419961	22.06310746	2.59269293										0	0	0	-858.0325869	0.4312839894	189.068743053011	
855.4725869	85	13	2	0.4653171493	0.4443977911	97.69400148	1.079090592	1.226907933	74.84664792	22.53499494	2.618357139										0	0	0	-855.4725869	0.4443977911	201.924930448716	
852.9125869	85	13	2	0.4782225339	0.456692679	97.65544087	1.109270495	1.235288632	74.3620405	22.99515901	2.642800494										0	0	0	-852.9125869	0.456692679	215.05557192339	
850.3525869	85	13	2	0.4903569686	0.4682510326	97.61689218	1.139522463	1.24358536	73.88967655	23.44423467	2.666088787										0	0	0	-850.3525869	0.4682510326	228.44339452656	
847.7925869	85	13	2	0.5017952901	0.4791445702	97.57833573	1.169864328	1.25179994	73.42890391	23.88281287	2.688283218										0	0	0	-847.7925869	0.4791445702	242.071542145106	
845.2325869	85	13	2	0.5126029313	0.4894360023	97.53975285	1.200312978	1.259934171	72.97911588	24.3114434	2.709440719										0	0	0	-845.2325869	0.4894360023	255.923478718372	
842.6725869	85	13	2	0.52283735	0.4991803992	97.50112571	1.230884464	1.26798983	72.53974756	24.73063815	2.729614288										0	0	0	-842.6725869	0.4991803992	269.983091030461	
840.1125869	85	13	2	0.5325491911	0.5084263054	97.46243723	1.261594109	1.275968665	72.11027334	25.14087339	2.748853269										0	0	0	-840.1125869	0.5084263054	284.234638058158	
837.5525869	85	13	2	0.5417832702	0.5172166812	97.42367101	1.292456596	1.283872393	71.69020354	25.54259281	2.767203646										0	0	0	-837.5525869	0.5172166812	298.662651936556	
834.9925869	85	13	2	0.5505793855	0.5255896804	97.38481125	1.32348605	1.2917027	71.27908173	25.93620996	2.78470831										0	0	0	-834.9925869	0.5255896804	313.251979900095	
832.4325869	85	13	2	0.5589730015	0.5335793054	97.34584265	1.354696113	1.299461235	70.8764822	26.32211051	2.801407298										0	0	0	-832.4325869	0.5335793054	327.987751538713	
829.8725869	85	13	2	0.5669958235	0.5412159575	97.30675038	1.386100014	1.307149608	70.48200748	26.7006545	2.817338024										0	0	0	-829.8725869	0.5412159575	342.855355151905	
827.3125869	85	13	2	0.5746762849	0.548526904	97.26751998	1.417710631	1.314769393	70.09528621	27.0721783	2.832535485										0	0	0	-827.3125869	0.548526904	357.840397051001	
824.7525869	85	13	2	0.5820399611	0.5555366746	97.22813734	1.449540543	1.32232212	69.71597108	27.43699646	2.847032455										0	0	0	-824.7525869	0.5555366746	372.928692681054	
822.1925869	85	13	2	0.5891099219	0.5622673994	97.18858864	1.481602085	1.32980928	69.34373695	27.79540339	2.860859658										0	0	0	-822.1925869	0.5622673994	388.106248592028	
819.6325869	85	13	2	0.5959070343	0.5687390984	97.14886029	1.513907396	1.337232318	68.97827914	28.14767494	2.874045928										0	0	0	-819.6325869	0.5687390984	403.359232487551	
817.0725869	85	13	2	0.6024502219	0.5749699306	97.1089389	1.546468463	1.344592641	68.61931187	28.49406977	2.886618362										0	0	0	-817.0725869	0.5749699306	418.673942568206	
814.5125869	85	13	2	0.6087566889	0.5809764089	97.06881124	1.579297156	1.351891608	68.26656685	28.83483071	2.898602449										0	0	0	-814.5125869	0.5809764089	434.036799714959	
811.9525869	85	13	2	0.6148421143	0.5867735857	97.02846418	1.612405275	1.359130542	67.91979191	29.17018589	2.910022195										0	0	0	-811.9525869	0.5867735857	449.434333722099	
809.3925869	85	13	2	0.6207208201	0.5923752143	96.9878847	1.64580458	1.366310718	67.57874986	29.5003499	2.920900238										0	0	0	-809.3925869	0.5923752143	464.853152909211	
806.8325869	85	13	2	0.6264059179	0.5977938896	96.9470598	1.679506824	1.373433374	67.24321736	29.82552469	2.931257952										0	0	0	-806.8325869	0.5977938896	480.279923051146	
804.2725869	85	13	2	0.6319094371	0.603041171	96.9059765	1.71352379	1.380499706	66.9129839	30.14590056	2.941115535										0	0	0	-804.2725869	0.603041171	495.701361094391	
801.7125869	85	13	2	0.6372424372	0.6081276899	96.86462181	1.747867317	1.387510871	66.58785092	30.46165698	2.950492107										0	0	0	-801.7125869	0.6081276899	511.104228070006	
799.1525869	85	13	2	0.6424151065	0.6130632442	96.82298268	1.782549333	1.394467986	66.26763092	30.7729633	2.95940578										0	0	0	-799.1525869	0.6130632442	526.475273356222	
796.5925869	85	13	2	0.6474368489	0.6178568823	96.78104599	1.81758188	1.401372132	65.95214674	31.07997953	2.967873738										0	0	0	-796.5925869	0.6178568823	541.801268554865	
794.0325869	85	13	2	0.6523163606	0.6225169758	96.7387985	1.852977147	1.408224352	65.64123079	31.38285691	2.975912302										0	0	0	-794.0325869	0.6225169758	557.068969121718	
791.4725869	85	13	2	0.6570616987	0.6270512857	96.69622685	1.888747492	1.415025655	65.33472446	31.68173855	2.983536991										0	0	0	-791.4725869	0.6270512857	572.265079685705	
788.9125869	85	13	2	0.6616803407	0.6314670199	96.65331751	1.924905473	1.421777014	65.03247747	31.97675995	2.990762583										0	0	0	-788.9125869	0.6314670199	587.37629798703	
786.3525869	85	13	2	0.6661792393	0.6357708847	96.61005675	1.961463877	1.428479371	64.73434736	32.26804948	2.997603164										0	0	0	-786.3525869	0.6357708847	602.389254774294	
783.7925869	85	13	2	0.6705648693	0.6399691312	96.56643063	1.998435739	1.435133635	64.44019894	32.55572887	3.004072181										0	0	0	-783.7925869	0.6399691312	616.672031598427	
783.6325869	85	13	2	0.6708355964	0.6402284094	96.56369167	2.000760022	1.435548304	64.42194479	32.57359028	3.004464938										0	0	0	-783.6325869	0.6402284094	618.248281904644	
783.5525869	85	13	2	0.6709705987	0.6403576873	96.56232155	2.001923149	1.435755302	64.41282271	32.58251686	3.004660428										0	0	0	-783.5525869	0.6403576873	619.281590475916	
783.5325869	85	13	2	0.6710043188	0.6403899768	96.56197895	2.002214011	1.435807036	64.41054274	32.58474802	3.004709235										0	0	0	-783.5325869	0.6403899768	620.811526248275	
783.5313202	85	13	2	0.6710064497	0.6403920169	96.56195725	2.002232435	1.435810312	64.41039835	32.58488933	3.004712324	43.36164434	51.06106018	5.577295482							0	0	0	-783.5313202	0.6403920169	620.152720506041	
783.5025869	85	13	2	0.6746504372	0.6420352609	96.56010855	2.006924875	1.432966575	64.39892774	32.60032139	3.000750873	43.36164434	51.06106018	5.577295482							0	0	0	-783.5025869	0.6420352609	17.6011701046347	
783.4825869	85	13	2	0.6771588397	0.6431664413	96.55881826	2.010185426	1.430996316	64.39096806	32.61102687	2.998005062	43.36164434	51.06106018	5.577295482							0	0	0	-783.4825869	0.6431664413	17.761129002368	
783.4425869	85	13	2	0.682108639	0.6453985909	96.55622926	2.016692759	1.427077982	64.37510874	32.6323497	2.992541558	43.36164434	51.06106018	5.577295482							0	0	0	-783.4425869	0.6453985909	18.0805899903636	
783.3625869	85	13	2	0.6917572262	0.6497479287	96.55101799	2.029653582	1.419328426	64.34362529	32.67464975	2.981724958	43.36164434	51.06106018	5.577295482							0	0	0	-783.3625869	0.6497479287	18.7274266464258	
783.2025869	85	13	2	0.7100891412	0.6580116708	96.54046575	2.055369674	1.404164575	64.2815634	32.7579199	2.960516701	43.36164434	51.06106018	5.577295482							0	0	0	-783.2025869	0.6580116708	20.0671965744783	
782.8825869	85	13	2	0.7433487975	0.6730020771	96.51886822	2.106048717	1.375083065	64.16080589	32.91951399	2.919680116	43.36164434	51.06106018	5.577295482							0	0	0	-782.8825869	0.6730020771	22.9066589067343	
782.2425869	85	13	2	0.7989972814	0.6980840755	96.47387153	2.204857058	1.321271407	63.93106009	33.22541333	2.843526579	43.36164434	51.06106018	5.577295482							0	0	0	-782.2425869	0.6980840755	29.1807788789888	
780.9625869	85	13	2	0.8809844546	0.7350915964	96.37764944	2.39497861	1.227371949	63.50879333	33.78255523	2.70865144	43.36164434	51.06106018	5.577295482							0	0	0	-780.9625869	0.7350915964	42.834268508481	
779.6825869	85	13	2	0.9389338513	0.7613791956	96.27431855	2.578557767	1.147123683	63.12373384	34.28510603	2.591160134	43.36164434	51.06106018	5.577295482							0	0	0	-779.6825869	0.7613791956	57.1541089389053	
779.0425869	85	13	2	0.9620882726	0.7719478971	96.22026919	2.668775618	1.110955192	62.94204775	34.52048399	2.537468265	43.36164434	51.06106018	5.577295482							0	0	0	-779.0425869	0.7719478971	64.7835935529052	
778.7225869	85	13	2	0.972558155	0.7767453157	96.19268074	2.713605228	1.093714035	62.85352606	34.63477161	2.511702332	43.36164434	51.06106018	5.577295482							0	0	0	-778.7225869	0.7767453157	68.8784666984617	
778.5625869	85	13	2	0.9775408236	0.7790337624	96.17874847	2.735962209	1.085289325	62.8098055	34.69112388	2.499070617	43.36164434	51.06106018	5.577295482							0	0	0	-778.5625869	0.7790337624	70.8468860309121	
778.4825869	85	13	2	0.9799821932	0.7801557337	96.17174837	2.747127323	1.081124312	62.7880764	34.71910805	2.492815556	43.36164434	51.06106018	5.577295482							0	0	0	-778.4825869	0.7801557337	71.8720993495051	
778.4425869	85	13	2	0.9811875429	0.7807101092	96.16823979	2.7527068	1.079053414	62.77724388	34.73305319	2.489702929	43.36164434	51.06106018	5.577295482							0	0	0	-778.4425869	0.7807101092	72.4345410375583	
778.4225869	85	13	2	0.9817864818	0.7809856886	96.16648337	2.75549579	1.078020843	62.77183557	34.74001412	2.488150311	43.36164434	51.06106018	5.577295482							0	0	0	-778.4225869	0.7809856886	70.1029348659775	
778.4033752	85	13	2	1	0.7885181923	96.16479484	2.758174393	1.077030766	62.76664538	34.74669342	2.486661196	43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				0	0	0	-778.4033752	0.7885181923	-2368.53575007862	
778.3925869	85	13	2	1	0.7885136347	96.16509816	2.757919152	1.076982688				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.3925869	0.7885136347	-2381.77364033657	
778.3725869	85	13	2	1	0.7885053308	96.16566068	2.757445786	1.076893534				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.3725869	0.7885053308	-2403.88205559851	
778.3325869	85	13	2	1	0.7884886264	96.16678532	2.756499436	1.076715243				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.3325869	0.7884886264	-2394.95167456705	
778.2525869	85	13	2	1	0.7884552332	96.16903375	2.754607592	1.07635866				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.2525869	0.7884552332	-2396.44700725081	
778.0925869	85	13	2	1	0.7883885094	96.17352717	2.750827333	1.075645499				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-778.0925869	0.7883885094	-2399.44225829301	
777.7725869	85	13	2	1	0.788255311	96.18250031	2.743280502	1.074219192				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-777.7725869	0.788255311	-2405.43645354648	
777.1325869	85	13	2	1	0.7879899077	96.20039193	2.728241416	1.071366655				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-777.1325869	0.7879899077	-2417.46983648084	
775.8525869	85	13	2	1	0.787463044	96.23595784	2.698380125	1.065662031				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-775.8525869	0.787463044	-2440.63883277506	
773.2925869	85	13	2	1	0.7864235234	96.30623018	2.639514137	1.054255682				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-773.2925869	0.7864235234	-2486.83221526289	
770.7325869	85	13	2	1	0.7854038185	96.37537496	2.581769802	1.042855239				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-770.7325869	0.7854038185	-2534.69349384799	
768.1725869	85	13	2	1	0.7844031949	96.44341355	2.525123348	1.0314631				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-768.1725869	0.7844031949	-2582.91075044648	
765.6125869	85	13	2	1	0.7834212084	96.5103666	2.469551808	1.020081596				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-765.6125869	0.7834212084	-2631.81849911896	
763.0525869	85	13	2	1	0.7824574312	96.57625401	2.41503299	1.008712997				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-763.0525869	0.7824574312	-2682.0415171518	
761.7725869	85	13	2	1	0.781982437	96.60880416	2.388161606	1.003034229				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-761.7725869	0.781982437	-2700.11938860463	
761.6125869	85	13	2	1	0.781923195	96.61285464	2.384820692	1.002324664				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-761.6125869	0.781923195	-2529.74147062666	
761.5925869	85	13	2	1	0.7819152164	96.61339674	2.384350459	1.002252798				43.36164434	51.06106018	5.577295482										-761.5925869	0.7819152164	-2384.00998657815	
761.5825869	85	13	2	1	0.7819109017	96.61369069	2.384081751	1.002227555				43.36164434	51.06106018	5.577295482										-761.5825869	0.7819109017	-2317.55083223114	
761.5625869	85	13	2	1	0.7819022711	96.61427851	2.38354442	1.002177069				43.36164434	51.06106018	5.577295482										-761.5625869	0.7819022711	-2317.50162613362	
761.5225869	85	13	2	1	0.7818850136	96.61545382	2.382470087	1.002076094				43.36164434	51.06106018	5.577295482										-761.5225869	0.7818850136	-2318.24507260149	
761.4425869	85	13	2	1	0.781850517	96.61780339	2.380322374	1.001874235				43.36164434	51.06106018	5.577295482										-761.4425869	0.781850517	-2319.8907353266	
761.2825869	85	13	2	1	0.781781597	96.62249835	2.376030766	1.001470885				43.36164434	51.06106018	5.577295482										-761.2825869	0.781781597	-2323.18184766899	
760.9625869	85	13	2	1	0.7816440498	96.63187153	2.367462818	1.000665654				43.36164434	51.06106018	5.577295482										-760.9625869	0.7816440498	-2329.79298997425	
760.3225869	85	13	2	1	0.7813701244	96.65055096	2.350387977	0.9990610592				43.36164434	51.06106018	5.577295482										-760.3225869	0.7813701244	-2343.11651466718	
759.0425869	85	13	2	1	0.7808269299	96.68764241	2.316482311	0.9958752768				43.36164434	51.06106018	5.577295482										-759.0425869	0.7808269299	-2370.17467258443	
756.4825869	85	13	2	1	0.7797590155	96.76075749	2.249645622	0.9895968866				43.36164434	51.06106018	5.577295482										-756.4825869	0.7797590155	-2423.18563582533	
753.9225869	85	13	2	1	0.7787135327	96.83244484	2.184117597	0.9834375614				43.36164434	51.06106018	5.577295482										-753.9225869	0.7787135327	-2476.91205041472	
751.3625869	85	13	2	1	0.7776913983	96.9027179	2.119882131	0.9773999684				43.36164434	51.06106018	5.577295482										-751.3625869	0.7776913983	-2533.81221844059	
748.8025869	85	13	2	1	0.7766923354	96.9715836	2.056933088	0.971483312				43.36164434	51.06106018	5.577295482										-748.8025869	0.7766923354	-2592.65695496	
746.2425869	85	13	2	1	0.7757160643	97.03904966	1.995263434	0.9656869077				43.36164434	51.06106018	5.577295482										-746.2425869	0.7757160643	-2653.52857661035	
743.6825869	85	13	2	1	0.7747623041	97.10512431	1.934865638	0.9600100488				43.36164434	51.06106018	5.577295482										-743.6825869	0.7747623041	-2716.51529690961	
741.1225869	85	13	2	1	0.7738307726	97.16981627	1.875731742	0.9544519871				43.36164434	51.06106018	5.577295482										-741.1225869	0.7738307726	-2781.70975290934	
738.5625869	85	13	2	1	0.7729211864	97.23313471	1.817853359	0.9490119345				43.36164434	51.06106018	5.577295482										-738.5625869	0.7729211864	-2849.20904037943	
736.0025869	85	13	2	1	0.7720332607	97.29508926	1.76122168	0.9436890629				43.36164434	51.06106018	5.577295482										-736.0025869	0.7720332607	-2919.11512832178	
733.4425869	85	13	2	1	0.7711667095	97.35569001	1.705827481	0.9384825052				43.36164434	51.06106018	5.577295482										-733.4425869	0.7711667095	-2991.53540822906	
730.8825869	85	13	2	1	0.7703212456	97.41494752	1.651661128	0.933391356				43.36164434	51.06106018	5.577295482										-730.8825869	0.7703212456	-3066.58248634528	
728.3225869	85	13	2	1	0.7694965805	97.47287274	1.598712585	0.9284146718				43.36164434	51.06106018	5.577295482										-728.3225869	0.7694965805	-3144.37503069406	
725.7625869	85	13	2	1	0.7686924247	97.52947711	1.54697142	0.9235514721				43.36164434	51.06106018	5.577295482										-725.7625869	0.7686924247	-3225.03785863369	
723.2025869	85	13	2	1	0.7679084875	97.58477245	1.496426812	0.9188007398				43.36164434	51.06106018	5.577295482										-723.2025869	0.7679084875	-3308.70215120705	
720.6425869	85	13	2	1	0.7671444772	97.63877102	1.447067561	0.9141614221				43.36164434	51.06106018	5.577295482										-720.6425869	0.7671444772	-3395.50615196554	
718.0825869	85	13	2	1	0.7664001011	97.69148547	1.398882097	0.9096324314				43.36164434	51.06106018	5.577295482										-718.0825869	0.7664001011	-3485.59489404934	
715.5225869	85	13	2	1	0.7656750654	97.74292887	1.351858484	0.905212646				43.36164434	51.06106018	5.577295482										-715.5225869	0.7656750654	-3579.12154600669	
712.9625869	85	13	2	1	0.7649690756	97.79311465	1.305984436	0.9009009108				43.36164434	51.06106018	5.577295482										-712.9625869	0.7649690756	-3676.2475500556	
