T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
780.7638879	79	19	2	0.5148153857	0.4748827067	96.36204765	2.423822773	1.214129578	63.44687329	33.8637152	2.689411503	43.36164434	51.06106018	5.577295482				0	0	0	-780.7638879	0.4748827067	29.6680087488208	
780.6838879	79	19	2	0.5208630544	0.4775525887	96.35571896	2.435395081	1.208885957	63.42218323	33.8960395	2.681777276	43.36164434	51.06106018	5.577295482				0	0	0	-780.6838879	0.4775525887	30.262551307091	
780.5238879	79	19	2	0.5326143732	0.4827401705	96.34298185	2.458473168	1.198544981	63.37320263	33.96010209	2.666695274	43.36164434	51.06106018	5.577295482				0	0	0	-780.5238879	0.4827401705	31.465500417483	
780.2038879	79	19	2	0.5547975972	0.492543464	96.31719441	2.504382866	1.178422719	63.27677102	34.08598391	2.637245075	43.36164434	51.06106018	5.577295482				0	0	0	-780.2038879	0.492543464	33.9582643128593	
779.5638879	79	19	2	0.5945892295	0.5101627654	96.26440974	2.59535422	1.140236039	63.08954334	34.32948442	2.58097224	43.36164434	51.06106018	5.577295482				0	0	0	-779.5638879	0.5101627654	39.069237149786	
778.9238879	79	19	2	0.6293334098	0.5255942087	96.21007885	2.685423656	1.10449749	62.90904	34.56312917	2.527830826	43.36164434	51.06106018	5.577295482				0	0	0	-778.9238879	0.5255942087	44.2439017806784	
778.6038879	79	19	2	0.6451243705	0.532626212	96.18235366	2.730194463	1.087451873	62.82105784	34.67662646	2.502315695	43.36164434	51.06106018	5.577295482				0	0	0	-778.6038879	0.532626212	46.9020658084086	
778.4438879	79	19	2	0.6526664662	0.5359896971	96.16835399	2.752525357	1.079120648	62.77759588	34.73260011	2.489804011	43.36164434	51.06106018	5.577295482				0	0	0	-778.4438879	0.5359896971	48.2602080274527	
778.4038879	79	19	2	0.6545169963	0.5368156354	96.1648399	2.758102936	1.07705716	62.76678378	34.74651532	2.486700898	43.36164434	51.06106018	5.577295482				0	0	0	-778.4038879	0.5368156354	48.1403198748464	
778.4033752	79	19	2	1	0.6741732114	96.16479484	2.758174393	1.077030766	62.76664538	34.74669342	2.486661196	43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188	0	0	0	-778.4033752	0.6741732114	-2800.07606311753	
778.3738879	79	19	2	1	0.6741626797	96.16562409	2.757476573	1.076899333				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188				-778.3738879	0.6741626797	-2800.54158575061	
