T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
C	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
321.8591053	72	18	10	0.3763153278	0.3507091839	90.55778879	0.02697557055	9.41523564	61.97615679	27.7079879	10.31585531	0	0	0	-595.0091053	0.3507091839	478.743018026075	
319.2991053	72	18	10	0.3823782409	0.3560256224	90.51716353	0.02640453863	9.456431936	61.76265626	27.93682887	10.30051487	0	0	0	-592.4491053	0.3560256224	484.37046352181	
316.7391053	72	18	10	0.3883829006	0.3612803265	90.47682547	0.02583923658	9.497335289	61.54891133	28.16676584	10.28432283	0	0	0	-589.8891053	0.3612803265	490.058263221741	
314.1791053	72	18	10	0.3943298313	0.366474071	90.43677581	0.0252797369	9.537944455	61.33492317	28.39779323	10.26728359	0	0	0	-587.3291053	0.366474071	495.80764392462	
311.6191053	72	18	10	0.400219545	0.3716076138	90.39701564	0.02472610927	9.578258251	61.12069327	28.62990499	10.24940174	0	0	0	-584.7691053	0.3716076138	501.619819810603	
309.0591053	72	18	10	0.4060525418	0.3766816969	90.35754603	0.02417842055	9.618275552	60.90622335	28.86309464	10.230682	0	0	0	-582.2091053	0.3766816969	507.496007282742	
306.4991053	72	18	10	0.411829311	0.3816970469	90.31836797	0.02363673483	9.657995297	60.69151541	29.09735527	10.21112932	0	0	0	-579.6491053	0.3816970469	513.437425009676	
303.9391053	72	18	10	0.4175503317	0.3866543759	90.2794824	0.0231011135	9.697416489	60.47657168	29.33267953	10.19074879	0	0	0	-577.0891053	0.3866543759	519.445269431525	
301.3791053	72	18	10	0.4232160735	0.3915543824	90.24089019	0.02257161526	9.736538193	60.26139465	29.56905968	10.16954567	0	0	0	-574.5291053	0.3915543824	525.520741204013	
298.8191053	72	18	10	0.4288269973	0.3963977516	90.20259216	0.02204829617	9.775359544	60.04598702	29.80648758	10.14752539	0	0	0	-571.9691053	0.3963977516	531.665023390462	
296.2591053	72	18	10	0.4343835557	0.4011851566	90.16458905	0.02153120968	9.813879741	59.83035174	30.04495468	10.12469359	0	0	0	-569.4091053	0.4011851566	537.879306945066	
293.6991053	72	18	10	0.4398861942	0.4059172582	90.12688154	0.02102040668	9.852098053	59.61449194	30.28445205	10.10105601	0	0	0	-566.8491053	0.4059172582	544.164760684473	
291.1391053	72	18	10	0.4453353511	0.4105947065	90.08947025	0.02051593555	9.890013817	59.39841099	30.52497039	10.07661862	0	0	0	-564.2891053	0.4105947065	550.522548350386	
288.5791053	72	18	10	0.4507314584	0.4152181404	90.05235572	0.02001784214	9.927626441	59.18211243	30.76650005	10.05138752	0	0	0	-561.7291053	0.4152181404	556.953825063524	
286.0191053	72	18	10	0.4560749421	0.4197881891	90.01553843	0.01952616986	9.964935402	58.96560001	31.00903103	10.02536897	0	0	0	-559.1691053	0.4197881891	563.459738957284	
283.4591053	72	18	10	0.4613662232	0.4243054716	89.97901879	0.01904095969	10.00194025	58.74887764	31.25255296	9.998569399	0	0	0	-556.6091053	0.4243054716	570.041421482299	
280.8991053	72	18	10	0.4666057174	0.4287705982	89.94279716	0.0185622502	10.03864059	58.53194943	31.49705518	9.970995391	0	0	0	-554.0491053	0.4287705982	576.700001922111	
278.3391053	72	18	10	0.4717938362	0.4331841698	89.90687379	0.01809007759	10.07503613	58.31481963	31.74252669	9.94265368	0	0	0	-551.4891053	0.4331841698	583.43659766626	
