T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
821.9350902	97	0	3	1	1	97.00000005	0	2.999999946										-821.9350902	1	NaN	
819.3750902	97	0	3	1	1	97.00000005	0	2.999999946										-819.3750902	1	NaN	
816.8150902	97	0	3	1	1	97.00000005	0	2.999999946										-816.8150902	1	NaN	
814.2550902	97	0	3	1	1	97.00000005	0	2.999999945										-814.2550902	1	NaN	
811.6950902	97	0	3	1	1	97.00000005	0	2.999999945										-811.6950902	1	NaN	
809.1350902	97	0	3	1	1	97.00000006	0	2.999999945										-809.1350902	1	NaN	
806.5750902	97	0	3	1	1	97.00000006	0	2.999999944										-806.5750902	1	NaN	
804.0150902	97	0	3	1	1	97.00000006	0	2.999999944										-804.0150902	1	NaN	
801.4550902	97	0	3	1	1	97.00000006	0	2.999999944										-801.4550902	1	NaN	
798.8950902	97	0	3	1	1	97.00000006	0	2.999999943										-798.8950902	1	NaN	
796.3350902	97	0	3	1	1	97.00000006	0	2.999999943										-796.3350902	1	NaN	
793.7750902	97	0	3	1	1	97.00000006	0	2.999999943										-793.7750902	1	NaN	
791.2150902	97	0	3	1	1	97.00000006	0	2.999999942										-791.2150902	1	NaN	
788.6550902	97	0	3	1	1	97.00000006	0	2.999999942										-788.6550902	1	NaN	
786.0950902	97	0	3	1	1	97.00000006	0	2.999999942										-786.0950902	1	NaN	
783.5350902	97	0	3	1	1	97.00000006	0	2.999999941										-783.5350902	1	NaN	
780.9750902	97	0	3	1	1	97.00000006	0	2.999999941										-780.9750902	1	NaN	
778.4150902	97	0	3	1	1	97.00000006	0	2.99999994										-778.4150902	1	NaN	
775.8550902	97	0	3	1	1	97.00000006	0	2.99999994										-775.8550902	1	NaN	
773.2950902	97	0	3	1	1	97.00000006	0	2.99999994										-773.2950902	1	NaN	
770.7350902	97	0	3	1	1	97.00000006	0	2.999999939										-770.7350902	1	NaN	
768.1750902	97	0	3	1	1	97.00000006	0	2.999999939										-768.1750902	1	NaN	
765.6150902	97	0	3	1	1	97.00000006	0	2.999999938										-765.6150902	1	NaN	
763.0550902	97	0	3	1	1	97.00000006	0	2.999999938										-763.0550902	1	NaN	
760.4950902	97	0	3	1	1	97.00000006	0	2.999999938										-760.4950902	1	NaN	
757.9350902	97	0	3	1	1	97.00000006	0	2.999999937										-757.9350902	1	NaN	
755.3750902	97	0	3	1	1	97.00000006	0	2.999999937										-755.3750902	1	NaN	
754.7350902	97	0	3	1	1	97.00000001	0	2.99999999										-754.7350902	1	NaN	
754.4150902	97	0	3	1	1	97	0	2.999999998										-754.4150902	1	NaN	
