T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
810.4225177	86	9	5	0.9976055944	0.6930668976	96.34989611	0.4228874866	3.227216405	73.1295206	21.391985	5.478494399				62.54235303	28.42537001	9.032276954	0	0	0	-810.4225177	0.6930668976	100.475070376544	
810.3825177	86	9	5	0.9989512121	0.6934616245	96.35236185	0.4243852834	3.223252863	73.11100906	21.41622954	5.472761401				62.54235303	28.42537001	9.032276954	0	0	0	-810.3825177	0.6934616245	102.295158467169	
810.3625177	86	9	5	0.9996168249	0.6936562374	96.35358829	0.4251334686	3.22127824	73.10178003	21.42831412	5.469905845				62.54235303	28.42537001	9.032276954	0	0	0	-810.3625177	0.6936562374	153.049805985956	
810.3425177	86	9	5	1	0.6937664197	96.35437719	0.4254993705	3.220123439							62.54235303	28.42537001	9.032276954				-810.3425177	0.6937664197	-5174.94846070883	
810.3325177	86	9	5	1	0.6937644509	96.35447318	0.4254199012	3.220106917							62.54235303	28.42537001	9.032276954				-810.3325177	0.6937644509	-5078.76332810751	
810.3125177	86	9	5	1	0.6937605122	96.35466514	0.4252609371	3.220073919							62.54235303	28.42537001	9.032276954				-810.3125177	0.6937605122	-5078.59167044476	
810.2725177	86	9	5	1	0.6937526384	96.3550489	0.4249431491	3.220007954							62.54235303	28.42537001	9.032276954				-810.2725177	0.6937526384	-5081.70081353198	
810.1925177	86	9	5	1	0.6937369053	96.35581573	0.4243081344	3.219876139							62.54235303	28.42537001	9.032276954				-810.1925177	0.6937369053	-5087.93872935089	
810.0325177	86	9	5	1	0.6937054968	96.35734668	0.4230403477	3.219612974							62.54235303	28.42537001	9.032276954				-810.0325177	0.6937054968	-5100.42877610105	
809.7125177	86	9	5	1	0.6936429102	96.36039777	0.4205137308	3.219088503							62.54235303	28.42537001	9.032276954				-809.7125177	0.6936429102	-5125.56745588155	
809.0725177	86	9	5	1	0.6935186549	96.36645682	0.4154962063	3.21804697							62.54235303	28.42537001	9.032276954				-809.0725177	0.6935186549	-5176.48950964947	
807.7925177	86	9	5	1	0.6932737885	96.3784036	0.4056030568	3.215993341							62.54235303	28.42537001	9.032276954				-807.7925177	0.6932737885	-5281.00767552883	
