T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
813.5806084	97	1	2	0.99983179	0.9998155869	97.00498382	0.9953521037	1.99966408	69.97629745	26.202556	3.821146555							0	0	0	-813.5806084	0.9998155869	2436.55617384857	
813.2606084	97	1	2	0.9999514741	0.9999467847	97.00144055	0.9986563573	1.999903093	69.93047681	26.24861524	3.820907957							0	0	0	-813.2606084	0.9999467847	2432.38531831479	
813.1806084	97	1	2	0.9999814873	0.9999796969	97.000554	0.9994829213	1.999963079	69.91903607	26.26011612	3.820847813							0	0	0	-813.1806084	0.9999796969	2447.48066722233	
813.1406084	97	1	2	0.9999963392	0.999995985	97.00011073	0.999896558	1.999992712	69.91331681	26.26586607	3.820817121							0	0	0	-813.1406084	0.999995985	4481.88691451078	
813.1206084	97	1	2	1	1	97	1.000000015	1.999999982													-813.1206084	1	4981.32004977907	
813.1106084	97	1	2	1	1	97.00000002	1.000000003	1.999999975													-813.1106084	1	NaN	
813.0906084	97	1	2	1	1	97	1	2													-813.0906084	1	NaN	
813.0506084	97	1	2	1	1	97	1	2													-813.0506084	1	NaN	
812.9706084	97	1	2	1	1	97	1	2													-812.9706084	1	NaN	
812.8106084	97	1	2	1	1	97	0.9999999999	2													-812.8106084	1	NaN	
812.4906084	97	1	2	1	1	97	0.9999999997	2													-812.4906084	1	NaN	
811.8506084	97	1	2	1	1	97	0.9999999986	1.999999998													-811.8506084	1	NaN	
810.5706084	97	1	2	1	1	97.00000001	0.9999999945	1.999999994													-810.5706084	1	NaN	
808.0106084	97	1	2	1	1	97.00000005	0.9999999779	1.999999974													-808.0106084	1	NaN	
805.4506084	97	1	2	1	1	97.00000006	0.9999999704	1.999999966													-805.4506084	1	NaN	
802.8906084	97	1	2	1	1	97.00000006	0.9999999702	1.999999966													-802.8906084	1	NaN	
800.3306084	97	1	2	1	1	97.00000006	0.99999997	1.999999965													-800.3306084	1	NaN	
797.7706084	97	1	2	1	1	97.00000007	0.9999999698	1.999999965													-797.7706084	1	NaN	
795.2106084	97	1	2	1	1	97.00000007	0.9999999696	1.999999965													-795.2106084	1	NaN	
792.6506084	97	1	2	1	1	97.00000007	0.9999999694	1.999999964													-792.6506084	1	NaN	
790.0906084	97	1	2	1	1	97.00000007	0.9999999692	1.999999964													-790.0906084	1	NaN	
787.5306084	97	1	2	1	1	97.00000007	0.999999969	1.999999964													-787.5306084	1	NaN	
784.9706084	97	1	2	1	1	97.00000007	0.9999999688	1.999999964													-784.9706084	1	NaN	
782.4106084	97	1	2	1	1	97.00000007	0.9999999686	1.999999963													-782.4106084	1	NaN	
779.8506084	97	1	2	1	1	97.00000007	0.9999999684	1.999999963													-779.8506084	1	NaN	
777.2906084	97	1	2	1	1	97.00000007	0.9999999682	1.999999963													-777.2906084	1	NaN	
774.7306084	97	1	2	1	1	97.00000007	0.9999999679	1.999999962													-774.7306084	1	NaN	
774.0906084	97	1	2	1	1	97.00000001	0.999999995	1.999999994													-774.0906084	1	NaN	
774.0867967	97	1	2	1	1	97	1	2				62.54235303	28.42537001	9.032276954							-774.0867967	1	0	
774.0606084	97	1	2	1	0.9999855775	97.00049631	0.9996050976	1.999898588				62.54235303	28.42537001	9.032276954							-774.0606084	0.9999855775	-1815.65090927078	
774.0406084	97	1	2	1	0.9999745615	97.00087526	0.999303602	1.999821143				62.54235303	28.42537001	9.032276954							-774.0406084	0.9999745615	-1815.78016230319	
774.0006084	97	1	2	1	0.9999525382	97.00163295	0.9987007575	1.999666295				62.54235303	28.42537001	9.032276954							-774.0006084	0.9999525382	-1816.71652053808	
773.9206084	97	1	2	1	0.9999085249	97.00314756	0.9974956277	1.999356809				62.54235303	28.42537001	9.032276954							-773.9206084	0.9999085249	-1818.54667277115	
773.7606084	97	1	2	1	0.9998206308	97.00617371	0.9950876176	1.998738674				62.54235303	28.42537001	9.032276954							-773.7606084	0.9998206308	-1822.20803065117	
773.4406084	97	1	2	1	0.9996453717	97.01221364	0.9902806141	1.99750575				62.54235303	28.42537001	9.032276954							-773.4406084	0.9996453717	-1829.51463786284	
772.8006084	97	1	2	1	0.9992969329	97.02424338	0.9807042524	1.99505237				62.54235303	28.42537001	9.032276954							-772.8006084	0.9992969329	-1842.26213119372	
771.5206084	97	1	2	1	0.9986062209	97.04809565	0.9617193861	1.990184965				62.54235303	28.42537001	9.032276954							-771.5206084	0.9986062209	-1865.4009467488	
768.9606084	97	1	2	1	0.9972513025	97.0949747	0.9244081745	1.980617125				62.54235303	28.42537001	9.032276954							-768.9606084	0.9972513025	-1915.16438479063	
766.4006084	97	1	2	1	0.9959318791	97.14075046	0.8879745471	1.971274995				62.54235303	28.42537001	9.032276954							-766.4006084	0.9959318791	-1967.26192633656	
763.8406084	97	1	2	1	0.994647744	97.18541855	0.8524225301	1.962158922				62.54235303	28.42537001	9.032276954							-763.8406084	0.994647744	-2021.97800924828	
761.2806084	97	1	2	1	0.9933987314	97.22897571	0.8177547193	1.953269574				62.54235303	28.42537001	9.032276954							-761.2806084	0.9933987314	-2079.52923578703	
758.7206084	97	1	2	1	0.9921846573	97.27141955	0.7839730145	1.944607437				62.54235303	28.42537001	9.032276954							-758.7206084	0.9921846573	-2140.10644474163	
756.1606084	97	1	2	1	0.991005319	97.31274861	0.7510785826	1.93617281				62.54235303	28.42537001	9.032276954							-756.1606084	0.991005319	-2203.9148937596	
753.6006084	97	1	2	1	0.9898604938	97.35296238	0.7190718222	1.927965795				62.54235303	28.42537001	9.032276954							-753.6006084	0.9898604938	-2271.44653845444	
751.0406084	97	1	2	1	0.988750192	97.39206177	0.6879497409	1.919988488				62.54235303	28.42537001	9.032276954							-751.0406084	0.988750192	-2342.35480572945	
748.4806084	97	1	2	1	0.9876736191	97.43004742	0.6577165805	1.912236001				62.54235303	28.42537001	9.032276954							-748.4806084	0.9876736191	-2416.96756475736	
745.9206084	97	1	2	1	0.9866307626	97.46692249	0.6283673328	1.904710176				62.54235303	28.42537001	9.032276954							-745.9206084	0.9866307626	-2496.07436023025	
743.3606084	97	1	2	1	0.985621311	97.50269073	0.599899017	1.897410252				62.54235303	28.42537001	9.032276954							-743.3606084	0.985621311	-2579.69258356187	
740.8006084	97	1	2	1	0.9846449289	97.53735702	0.5723077509	1.890335233				62.54235303	28.42537001	9.032276954							-740.8006084	0.9846449289	-2668.13876925498	
738.2406084	97	1	2	1	0.9837012562	97.57092738	0.5455887307	1.883483885				62.54235303	28.42537001	9.032276954							-738.2406084	0.9837012562	-2761.75403275856	
735.6806084	97	1	2	1	0.9827899084	97.60340904	0.5197362193	1.876854738				62.54235303	28.42537001	9.032276954							-735.6806084	0.9827899084	-2860.90583502268	
733.1206084	97	1	2	1	0.981910476	97.63481038	0.4947435391	1.870446078				62.54235303	28.42537001	9.032276954							-733.1206084	0.981910476	-2965.99006262899	
730.5606084	97	1	2	1	0.9810625249	97.66514098	0.4706030695	1.864255951				62.54235303	28.42537001	9.032276954							-730.5606084	0.9810625249	-3077.43274496473	
728.0006084	97	1	2	1	0.9802455959	97.69441159	0.4473062506	1.858282162				62.54235303	28.42537001	9.032276954							-728.0006084	0.9802455959	-3195.69370876161	
725.4406084	97	1	2	1	0.9794592059	97.72263413	0.4248435914	1.852522274				62.54235303	28.42537001	9.032276954							-725.4406084	0.9794592059	-3321.26811237901	
722.8806084	97	1	2	1	0.9787028473	97.7498217	0.4032046836	1.846973621				62.54235303	28.42537001	9.032276954							-722.8806084	0.9787028473	-3454.69080731927	
720.3206084	97	1	2	1	0.9779759899	97.77598848	0.3823782213	1.8416333				62.54235303	28.42537001	9.032276954							-720.3206084	0.9779759899	-3596.53841196143	
717.7606084	97	1	2	1	0.9772780804	97.80114978	0.3623520261	1.83649819				62.54235303	28.42537001	9.032276954							-717.7606084	0.9772780804	-3747.43311521102	
715.2006084	97	1	2	1	0.9766085444	97.82532197	0.3431130771	1.831564951				62.54235303	28.42537001	9.032276954							-715.2006084	0.9766085444	-3908.04823874353	
712.6406084	97	1	2	1	0.9759667871	97.84852242	0.3246475463	1.826830036				62.54235303	28.42537001	9.032276954							-712.6406084	0.9759667871	-4079.1097068225	
710.0806084	97	1	2	1	0.9753521944	97.87076946	0.306940839	1.822289702				62.54235303	28.42537001	9.032276954							-710.0806084	0.9753521944	-4261.40265279008	
707.5206084	97	1	2	1	0.9747641346	97.89208234	0.2899776382	1.817940022				62.54235303	28.42537001	9.032276954							-707.5206084	0.9747641346	-4455.77584445726	
704.9606084	97	1	2	1	0.9742019596	97.91248115	0.2737419541	1.813776895				62.54235303	28.42537001	9.032276954							-704.9606084	0.9742019596	-4663.14845712702	
702.4006084	97	1	2	1	0.973665007	97.93198676	0.2582171758	1.809796061				62.54235303	28.42537001	9.032276954							-702.4006084	0.973665007	-4884.51452245718	
699.8406084	97	1	2	1	0.9731526012	97.95062076	0.2433861278	1.805993114				62.54235303	28.42537001	9.032276954							-699.8406084	0.9731526012	-5120.94988511822	
697.2806084	97	1	2	1	0.9726640556	97.96840535	0.2292311278	1.802363522				62.54235303	28.42537001	9.032276954							-697.2806084	0.9726640556	-5373.62239506573	
694.7206084	97	1	2	1	0.9721986745	97.98536332	0.2157340475	1.798902635				62.54235303	28.42537001	9.032276954							-694.7206084	0.9721986745	-5643.7948330262	
692.1606084	97	1	2	1	0.9717557544	98.00151792	0.2028763744	1.795605705				62.54235303	28.42537001	9.032276954							-692.1606084	0.9717557544	-5932.83932524358	
689.6006084	97	1	2	1	0.9713345868	98.01689282	0.1906392747	1.792467903				62.54235303	28.42537001	9.032276954							-689.6006084	0.9713345868	-6242.24368817633	
687.0406084	97	1	2	1	0.9709344592	98.03151201	0.1790036567	1.789484334				62.54235303	28.42537001	9.032276954							-687.0406084	0.9709344592	-6573.6228307002	
684.4806084	97	1	2	1	0.9705546577	98.04539971	0.1679502341	1.786650051				62.54235303	28.42537001	9.032276954							-684.4806084	0.9705546577	-6928.73089791629	
681.9206084	97	1	2	1	0.9701944683	98.05858034	0.1574595878	1.783960075				62.54235303	28.42537001	9.032276954							-681.9206084	0.9701944683	-7309.47559165487	
