T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
782.4030741	92	7	1	0.902893159	0.8841420834	95.9429061	3.202971925	0.8541219737	62.57123864	35.29327163	2.135489728	43.66113616	54.84131265	1.497551188							0	0	0	-782.4030741	0.8841420834	40.8667260282182	
782.3230741	92	7	1	0.9077793952	0.8860819196	95.94873659	3.192563786	0.8586996283	62.57563482	35.28127547	2.143089709	43.66113616	54.84131265	1.497551188							0	0	0	-782.3230741	0.8860819196	41.5644766856611	
782.1630741	92	7	1	0.9173365596	0.889873609	95.96018341	3.171982997	0.8678335948	62.58434858	35.25745126	2.158200157	43.66113616	54.84131265	1.497551188							0	0	0	-782.1630741	0.889873609	42.8760049785075	
781.8430741	92	7	1	0.9356255866	0.8971179752	95.98225434	3.131724257	0.8860214015	62.60147626	35.21044614	2.188077596	43.66113616	54.84131265	1.497551188							0	0	0	-781.8430741	0.8971179752	45.5600483602656	
781.2030741	92	7	1	0.9693102362	0.9104212287	96.02334847	3.054537113	0.9221144221	62.6346387	35.11879722	2.246564079	43.66113616	54.84131265	1.497551188							0	0	0	-781.2030741	0.9104212287	50.907103088922	
780.5630741	92	7	1	0.9997502221	0.9224001722	96.06077771	2.981329774	0.9578925124	62.66651715	35.02994991	2.303532941	43.66113616	54.84131265	1.497551188							0	0	0	-780.5630741	0.9224001722	220.777569052314	
780.5430741	92	7	1	1	0.9224902477	96.06154245	2.980262924	0.9581946238				43.66113616	54.84131265	1.497551188										-780.5430741	0.9224902477	-1933.88756289552	
780.5330741	92	7	1	1	0.9224846952	96.06185792	2.979950722	0.9581913585				43.66113616	54.84131265	1.497551188										-780.5330741	0.9224846952	-1800.93108921927	
780.5130741	92	7	1	1	0.9224735891	96.0624888	2.979326337	0.9581848647				43.66113616	54.84131265	1.497551188										-780.5130741	0.9224735891	-1801.00684691842	
780.4730741	92	7	1	1	0.9224513841	96.06375019	2.97807793	0.9581718813				43.66113616	54.84131265	1.497551188										-780.4730741	0.9224513841	-1801.78997164688	
780.3930741	92	7	1	1	0.9224070032	96.0662715	2.975582572	0.9581459295				43.66113616	54.84131265	1.497551188										-780.3930741	0.9224070032	-1803.36623146864	
780.2330741	92	7	1	1	0.9223183577	96.07130824	2.970597674	0.9580940862				43.66113616	54.84131265	1.497551188										-780.2330741	0.9223183577	-1806.52297494528	
779.9130741	92	7	1	1	0.9221415305	96.08135826	2.960651102	0.9579906407				43.66113616	54.84131265	1.497551188										-779.9130741	0.9221415305	-1812.85348929676	
779.2730741	92	7	1	1	0.9217897226	96.10136481	2.940850482	0.9577847099				43.66113616	54.84131265	1.497551188										-779.2730741	0.9217897226	-1825.5879235757	
777.9930741	92	7	1	1	0.92109342	96.14100705	2.9016163	0.9573766543				43.66113616	54.84131265	1.497551188										-777.9930741	0.92109342	-1851.35614695149	
