T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
541.7827259	100	0	0	1	1	100	0	0							-541.7827259	1	NaN	
539.2227259	100	0	0	1	1	100	0	0							-539.2227259	1	NaN	
536.6627259	100	0	0	1	1	100	0	0							-536.6627259	1	NaN	
534.1027259	100	0	0	1	1	100	0	0							-534.1027259	1	NaN	
531.5427259	100	0	0	1	1	100	0	0							-531.5427259	1	NaN	
528.9827259	100	0	0	1	1	100	0	0							-528.9827259	1	NaN	
526.4227259	100	0	0	1	1	100	0	0							-526.4227259	1	NaN	
523.8627259	100	0	0	1	1	100	0	0							-523.8627259	1	NaN	
521.3027259	100	0	0	1	1	100	0	0							-521.3027259	1	NaN	
518.7427259	100	0	0	1	1	100	0	0							-518.7427259	1	NaN	
516.1827259	100	0	0	1	1	100	0	0							-516.1827259	1	NaN	
513.6227259	100	0	0	1	1	100	0	0							-513.6227259	1	NaN	
511.0627259	100	0	0	1	1	100	0	0							-511.0627259	1	NaN	
508.5027259	100	0	0	1	1	100	0	0							-508.5027259	1	NaN	
505.9427259	100	0	0	1	1	100	0	0							-505.9427259	1	NaN	
503.3827259	100	0	0	1	1	100	0	0							-503.3827259	1	NaN	
500.8227259	100	0	0	1	1	100	0	0							-500.8227259	1	NaN	
498.2627259	100	0	0	1	1	100	0	0							-498.2627259	1	NaN	
495.7027259	100	0	0	1	1	100	0	0							-495.7027259	1	NaN	
493.1427259	100	0	0	1	1	100	0	0							-493.1427259	1	NaN	
490.5827259	100	0	0	1	1	100	0	0							-490.5827259	1	NaN	
488.0227259	100	0	0	1	1	100	0	0							-488.0227259	1	NaN	
485.4627259	100	0	0	1	1	100	0	0							-485.4627259	1	NaN	
482.9027259	100	0	0	1	1	100	0	0							-482.9027259	1	NaN	
480.3427259	100	0	0	1	1	100	0	0							-480.3427259	1	NaN	
477.7827259	100	0	0	1	1	100	0	0							-477.7827259	1	NaN	
475.2227259	100	0	0	1	1	100	0	0							-475.2227259	1	NaN	
472.6627259	100	0	0	1	1	100	0	0							-472.6627259	1	NaN	
470.1027259	100	0	0	1	1	100	0	0							-470.1027259	1	NaN	
467.5427259	100	0	0	1	1	100	0	0							-467.5427259	1	NaN	
464.9827259	100	0	0	1	1	100	0	0							-464.9827259	1	NaN	
462.4227259	100	0	0	1	1	100	0	0							-462.4227259	1	NaN	
459.8627259	100	0	0	1	1	100	0	0							-459.8627259	1	NaN	
457.3027259	100	0	0	1	1	100	0	0							-457.3027259	1	NaN	
454.7427259	100	0	0	1	1	100	0	0							-454.7427259	1	NaN	
452.1827259	100	0	0	1	1	100	0	0							-452.1827259	1	NaN	
449.6227259	100	0	0	1	1	100	0	0							-449.6227259	1	NaN	
447.0627259	100	0	0	1	1	100	0	0							-447.0627259	1	NaN	
444.5027259	100	0	0	1	1	100	0	0							-444.5027259	1	NaN	
441.9427259	100	0	0	1	1	100	0	0							-441.9427259	1	NaN	
439.3827259	100	0	0	1	1	100	0	0							-439.3827259	1	NaN	
436.8227259	100	0	0	1	1	100	0	0							-436.8227259	1	NaN	
434.2627259	100	0	0	1	1	100	0	0							-434.2627259	1	NaN	
431.7027259	100	0	0	1	1	100	0	0							-431.7027259	1	NaN	
429.1427259	100	0	0	1	1	100	0	0							-429.1427259	1	NaN	
426.5827259	100	0	0	1	1	100	0	0							-426.5827259	1	NaN	
424.0227259	100	0	0	1	1	100	0	0							-424.0227259	1	NaN	
421.4627259	100	0	0	1	1	100	0	0							-421.4627259	1	NaN	
418.9027259	100	0	0	1	1	100	0	0							-418.9027259	1	NaN	
416.3427259	100	0	0	1	1	100	0	0							-416.3427259	1	NaN	
