T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
802.437355	97	3	0	1	1	97	3	0										-802.437355	1	NaN	
802.357355	97	3	0	1	1	97	3	0										-802.357355	1	NaN	
802.277355	97	3	0	1	1	97	3	0										-802.277355	1	NaN	
802.197355	97	3	0	1	1	97	3	0										-802.197355	1	NaN	
802.117355	97	3	0	1	1	97	3	0										-802.117355	1	NaN	
802.037355	97	3	0	1	1	97	3	0										-802.037355	1	NaN	
801.957355	97	3	0	1	1	97	3	0										-801.957355	1	NaN	
801.877355	97	3	0	1	1	97	3	0										-801.877355	1	NaN	
801.797355	97	3	0	1	1	97	3	0										-801.797355	1	NaN	
801.717355	97	3	0	1	1	97	3	0										-801.717355	1	NaN	
801.637355	97	3	0	1	1	97	3	0										-801.637355	1	NaN	
801.557355	97	3	0	1	1	97	3	0										-801.557355	1	NaN	
801.477355	97	3	0	1	1	97	3	0										-801.477355	1	NaN	
801.397355	97	3	0	1	1	97	3	0										-801.397355	1	NaN	
801.317355	97	3	0	1	1	97	3	0										-801.317355	1	NaN	
801.237355	97	3	0	1	1	97	3	0										-801.237355	1	NaN	
801.157355	97	3	0	1	1	97	3	0										-801.157355	1	NaN	
801.077355	97	3	0	1	1	97	3	0										-801.077355	1	NaN	
800.997355	97	3	0	1	1	97	3	0										-800.997355	1	NaN	
800.917355	97	3	0	1	1	97	3	0										-800.917355	1	NaN	
800.837355	97	3	0	1	1	97	3	0										-800.837355	1	NaN	
800.757355	97	3	0	1	1	97	3	0										-800.757355	1	NaN	
800.677355	97	3	0	1	1	97	3	0										-800.677355	1	NaN	
800.597355	97	3	0	1	1	97	3	0										-800.597355	1	NaN	
800.517355	97	3	0	1	1	97	3	0										-800.517355	1	NaN	
800.437355	97	3	0	1	1	97	3	0										-800.437355	1	NaN	
800.357355	97	3	0	1	1	97	3	0										-800.357355	1	NaN	
800.277355	97	3	0	1	1	97	3	0										-800.277355	1	NaN	
800.197355	97	3	0	1	1	97	3	0										-800.197355	1	NaN	
800.117355	97	3	0	1	1	97	3	0										-800.117355	1	NaN	
800.037355	97	3	0	1	1	97	3	0										-800.037355	1	NaN	
799.957355	97	3	0	1	1	97	3	0										-799.957355	1	NaN	
799.877355	97	3	0	1	1	97	3	0										-799.877355	1	NaN	
