T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
804.3925594	91	6	3	0.8287762117	0.06198601845	96.59463694	0.638905493	2.766457566	70.85064049	24.32737652	4.821982995	62.54235303	28.42537001	9.032276954							0	0	0	-804.3925594	0.06198601845	-665.0143417166	
801.8325594	91	6	3	0.8506746641	0.04895691495	96.65054191	0.7297403682	2.619717719	70.06579712	25.31766959	4.616533289	62.54235303	28.42537001	9.032276954							0	0	0	-801.8325594	0.04895691495	-260.249569862562	
799.2725594	91	6	3	0.8665778795	0.04047358382	96.68845047	0.821874139	2.489675386	69.34328931	26.22111472	4.435595965	62.54235303	28.42537001	9.032276954							0	0	0	-799.2725594	0.04047358382	-377.176509581305	
796.7125594	91	6	3	0.8787656068	0.03452129127	96.71165051	0.9158931001	2.372456391	68.66868163	27.05807197	4.273246395	62.54235303	28.42537001	9.032276954							0	0	0	-796.7125594	0.03452129127	-517.179382188691	
794.1525594	91	6	3	0.8884701428	0.03011952912	96.72228563	1.012214257	2.26550011	68.03246067	27.84194891	4.125590418	62.54235303	28.42537001	9.032276954							0	0	0	-794.1525594	0.03011952912	-680.452356430746	
791.5925594	91	6	3	0.8964217848	0.02673536049	96.72182805	1.111164775	2.167007176	67.42796535	28.58212626	3.989908393	62.54235303	28.42537001	9.032276954							0	0	0	-791.5925594	0.02673536049	-867.189090791176	
789.0325594	91	6	3	0.9030836179	0.02405446423	96.71132242	1.213023677	2.075653904	66.85031477	29.28547208	3.864213155	62.54235303	28.42537001	9.032276954							0	0	0	-789.0325594	0.02405446423	-806.240330027741	
787.7525594	91	6	3	0.9060262678	0.01132926859	96.7025463	1.265123638	2.032330061	66.57036372	29.62500988	3.804626404	62.54235303	28.42537001	9.032276954							0	0	0	-787.7525594	0.01132926859	-106.971200758649	
787.1125594	91	6	3	0.9074143015	0.005505402375	96.69731162	1.291479687	2.01120869	66.43243217	29.79199027	3.775577559	62.54235303	28.42537001	9.032276954							0	0	0	-787.1125594	0.005505402375	-113.271383418321	
786.7925594	91	6	3	0.9080896405	0.002720064366	96.69448619	1.304736025	2.000777783	66.36395748	29.8748112	3.761231325	62.54235303	28.42537001	9.032276954							0	0	0	-786.7925594	0.002720064366	-57.7600887571863	
786.7825594	91	6	3	0.9081110555	8.919562325E-05	96.69439571	1.305150999	2.000453287	66.36182312	29.87739189	3.760784996	62.54235303	28.42537001	9.032276954							0	0	0	-786.7825594	8.919562325E-05	-4.97856041190028	
786.7625594	91	6	3	0.9111311567	0.01434651768	96.69475196	1.310826013	1.994422029	66.34298101	29.90407744	3.752941556				43.36164434	51.06106018	5.577295482				0	0	0	-786.7625594	0.01434651768	3.514764046921	
786.7425594	91	6	3	0.9150223995	0.01908892273	96.69529689	1.31862153	1.986081582	66.31788118	29.940008	3.742110821				43.36164434	51.06106018	5.577295482				0	0	0	-786.7425594	0.01908892273	3.83881273795947	
786.7025594	91	6	3	0.9217234216	0.03435118974	96.69617214	1.333611347	1.970216512	66.26987995	30.00863312	3.72148693				43.36164434	51.06106018	5.577295482				0	0	0	-786.7025594	0.03435118974	2.96464922706849	
786.6225594	91	6	3	0.9320392686	0.05732531905	96.69721637	1.36166959	1.941114039	66.18094954	30.13547167	3.683578788				43.36164434	51.06106018	5.577295482				0	0	0	-786.6225594	0.05732531905	4.41168557120297	
786.4625594	91	6	3	0.945515812	0.08603408544	96.69722753	1.412177172	1.890595295	66.02377397	30.35869765	3.617528383				43.36164434	51.06106018	5.577295482				0	0	0	-786.4625594	0.08603408544	-37.7618810066804	
786.3025594	91	6	3	0.9538886598	0.06642223439	96.69530399	1.457546749	1.847149262	65.88562786	30.55391135	3.560460794				43.36164434	51.06106018	5.577295482				0	0	0	-786.3025594	0.06642223439	-11.0530054631638	
786.1425594	91	6	3	0.9596687681	0.0540053792	96.69200953	1.499354317	1.808636151	65.76074977	30.7295951	3.509655126				43.36164434	51.06106018	5.577295482				0	0	0	-786.1425594	0.0540053792	-16.3207105170336	
785.9825594	91	6	3	0.9639349915	0.04544422512	96.68767214	1.53851037	1.773817492	65.6458069	30.89065583	3.463537274				43.36164434	51.06106018	5.577295482				0	0	0	-785.9825594	0.04544422512	-34.0154086487447	
785.6625594	91	6	3	0.9699414005	0.07134596836	96.67664647	1.611017655	1.712335878	65.43785013	31.18050448	3.38164539				43.36164434	51.06106018	5.577295482				0	0	0	-785.6625594	0.07134596836	-65.7722905342772	
785.3425594	91	6	3	0.9739489157	0.05686781947	96.6632682	1.677932005	1.65879979	65.25125584	31.43891809	3.30982607				43.36164434	51.06106018	5.577295482				0	0	0	-785.3425594	0.05686781947	-28.6741413700709	
785.0225594	91	6	3	0.9768417602	0.04719045526	96.64811194	1.740821816	1.611066246	65.08026353	31.67437699	3.245359478				43.36164434	51.06106018	5.577295482				0	0	0	-785.0225594	0.04719045526	-40.7637409207323	
784.7025594	91	6	3	0.9790435332	0.0402737682	96.63153521	1.80065559	1.567809203	64.92131119	31.89212501	3.186563793				43.36164434	51.06106018	5.577295482				0	0	0	-784.7025594	0.0402737682	-55.0922118504927	
784.3825594	91	6	3	0.9807843884	0.03508823533	96.6137784	1.858081577	1.52814002	64.77201285	32.0956745	3.132312652				43.36164434	51.06106018	5.577295482				0	0	0	-784.3825594	0.03508823533	-71.678047742594	
