T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(LI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
750.213654	91	9	0.6157871805	0.01917588878	91.61535279	8.384647209	85.76227534	14.23772466	0.112675486	-0.112675486	0	0	-750.213654	0.01917588878	-14178.0314819213	
747.653654	91	9	0.6222243895	0.01899826941	91.53473656	8.465263439	85.65048491	14.34951509	0.1122264091	-0.1122264091	0	0	-747.653654	0.01899826941	-14662.4072717285	
745.093654	91	9	0.6284939169	0.01882650058	91.45409404	8.545905959	85.53912695	14.46087305	0.1117922868	-0.1117922868	0	0	-745.093654	0.01882650058	-15160.3084060778	
742.533654	91	9	0.6346025166	0.0186603581	91.37341796	8.626582042	85.42818697	14.57181303	0.1113726943	-0.1113726943	0	0	-742.533654	0.0186603581	-15672.318221247	
739.973654	91	9	0.6405565831	0.01849963056	91.29270111	8.707298892	85.3176509	14.6823491	0.1109672301	-0.1109672301	0	0	-739.973654	0.01849963056	-16199.0653776924	
737.413654	91	9	0.6463621749	0.0183441185	91.21193635	8.788063648	85.20750505	14.79249495	0.1105755142	-0.1105755142	0	0	-737.413654	0.0183441185	-16741.2276044633	
734.853654	91	9	0.6520250368	0.01819363361	91.13111661	8.868883393	85.09773607	14.90226393	0.1101971869	-0.1101971869	0	0	-734.853654	0.01819363361	-17299.5352521233	
732.293654	91	9	0.6575506201	0.01804799801	91.05023484	8.949765156	84.98833098	15.01166902	0.109831908	-0.109831908	0	0	-732.293654	0.01804799801	-17874.7746199291	
729.733654	91	9	0.6629441011	0.01790704355	90.96928408	9.030715922	84.8792771	15.1207229	0.1094793554	-0.1094793554	0	0	-729.733654	0.01790704355	-18467.797438178	
727.173654	91	9	0.6682103987	0.01777061126	90.88825736	9.111742637	84.77056204	15.22943796	0.109139224	-0.109139224	0	0	-727.173654	0.01777061126	-19079.5246413722	
724.613654	91	9	0.6733541902	0.01763855072	90.80714779	9.192852211	84.66217373	15.33782627	0.1088112251	-0.1088112251	0	0	-724.613654	0.01763855072	-19710.95108619	
722.053654	91	9	0.6783799261	0.01751071956	90.72594848	9.274051524	84.55410035	15.44589965	0.1084950857	-0.1084950857	0	0	-722.053654	0.01751071956	-20363.1598947028	
719.493654	91	9	0.683291844	0.01738698301	90.64465257	9.355347434	84.44633034	15.55366966	0.108190547	-0.108190547	0	0	-719.493654	0.01738698301	-21037.3236923801	
716.933654	91	9	0.6880939809	0.01726721338	90.56325322	9.436746778	84.33885239	15.66114761	0.1078973645	-0.1078973645	0	0	-716.933654	0.01726721338	-21734.7164900302	
714.373654	91	9	0.6927901857	0.0171512897	90.48174362	9.518256378	84.23165543	15.76834457	0.1076153067	-0.1076153067	0	0	-714.373654	0.0171512897	-22456.7307855964	
711.813654	91	9	0.6973841294	0.01703909734	90.40011695	9.599883048	84.12472858	15.87527142	0.1073441547	-0.1073441547	0	0	-711.813654	0.01703909734	-23204.8792537073	
709.253654	91	9	0.7018793162	0.01693052759	90.31836641	9.681633594	84.01806119	15.98193881	0.1070837019	-0.1070837019	0	0	-709.253654	0.01693052759	-23981.1212094249	
706.693654	91	9	0.7062790929	0.01682547995	90.23648518	9.763514824	83.9116428	16.0883572	0.1068337528	-0.1068337528	0	0	-706.693654	0.01682547995	-24786.6307493773	
704.133654	91	9	0.7105866562	0.01672385152	90.15446645	9.845533547	83.80546312	16.19453688	0.1065941231	-0.1065941231	0	0	-704.133654	0.01672385152	-25623.4637143544	
701.573654	91	9	0.7148050629	0.01662555225	90.07230342	9.92769658	83.69951206	16.30048794	0.1063646388	-0.1063646388	0	0	-701.573654	0.01662555225	-26494.3630164285	
699.013654	91	9	0.7189372373	0.01653049423	89.98998925	10.01001075	83.59377966	16.40622034	0.1061451361	-0.1061451361	0	0	-699.013654	0.01653049423	-27392.0764933763	
696.453654	91	9	0.7229859629	0.01643853427	89.90751709	10.09248291	83.48825648	16.51174352	0.1059354608	-0.1059354608	0	0	-696.453654	0.01643853427	-28348.2159740484	
693.893654	91	9	0.7269539485	0.01634977022	89.82488008	10.17511992	83.38293218	16.61706782	0.105735818	-0.105735818	0	0	-693.893654	0.01634977022	-29343.9941912413	
691.333654	91	9	0.730843747	0.01626395279	89.74207134	10.25792866	83.27779759	16.72220241	0.1055453552	-0.1055453552	0	0	-691.333654	0.01626395279	-30367.6914092395	
688.773654	91	9	0.7346578189	0.01618106805	89.65908393	10.34091607	83.17284335	16.82715665	0.1053643118	-0.1053643118	0	0	-688.773654	0.01618106805	-31448.9921702176	
686.213654	91	9	0.7383985238	0.01610104871	89.57591127	10.42408873	83.06806019	16.93193981	0.1051925684	-0.1051925684	0	0	-686.213654	0.01610104871	-32583.3533252455	
683.653654	91	9	0.742068126	0.01602383267	89.49254566	10.50745434	82.96343895	17.03656105	0.1050300138	-0.1050300138	0	0	-683.653654	0.01602383267	-33774.3217781706	
681.093654	91	9	0.7456687977	0.01594935539	89.40898043	10.59101957	82.85897059	17.14102941	0.1048765441	-0.1048765441	0	0	-681.093654	0.01594935539	-35027.1107502758	
678.533654	91	9	0.7492026254	0.01587756174	89.32520851	10.67479149	82.75464615	17.24535385	0.1047320632	-0.1047320632	0	0	-678.533654	0.01587756174	-36348.2028925408	
675.973654	91	9	0.7526716137	0.01580839754	89.24122279	10.75877721	82.65045677	17.34954323	0.1045964821	-0.1045964821	0	0	-675.973654	0.01580839754	-37743.5506253093	
673.413654	91	9	0.7560776892	0.01574181153	89.15701608	10.84298392	82.54639367	17.45360633	0.1044697189	-0.1044697189	0	0	-673.413654	0.01574181153	-39220.4018286614	
670.853654	91	9	0.7594227042	0.0156777553	89.07258118	10.92741882	82.44244813	17.55755187	0.1043516983	-0.1043516983	0	0	-670.853654	0.0156777553	-40787.003790524	
668.293654	91	9	0.7627084406	0.01561618315	88.98791077	11.01208923	82.33861152	17.66138848	0.1042423521	-0.1042423521	0	0	-668.293654	0.01561618315	-42452.7753751256	
665.733654	91	9	0.7659366133	0.01555705201	88.90299753	11.09700247	82.23487526	17.76512474	0.1041416181	-0.1041416181	0	0	-665.733654	0.01555705201	-44228.5165849426	
663.173654	91	9	0.7691088731	0.01550032131	88.81783402	11.18216598	82.13123082	17.86876918	0.1040494409	-0.1040494409	0	0	-663.173654	0.01550032131	-46126.6810931997	
660.613654	91	9	0.7722268099	0.01544595293	88.73241275	11.26758725	82.02766973	17.97233027	0.1039657709	-0.1039657709	0	0	-660.613654	0.01544595293	-48161.6926465281	
658.053654	91	9	0.7752919554	0.01539391107	88.64672616	11.35327384	81.92418357	18.07581643	0.1038905648	-0.1038905648	0	0	-658.053654	0.01539391107	-50350.3660037002	
655.493654	91	9	0.7783057862	0.01534416223	88.56076658	11.43923342	81.82076393	18.17923607	0.1038237855	-0.1038237855	0	0	-655.493654	0.01534416223	-52712.4361498554	
