T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
552.2171715	93	7	1		1			60.83639712	39.16360288					0	0			-552.2171715		1		
547.0971715	93	7	1		1			60.83639712	39.16360288					0	0			-547.0971715		1		
541.9771715	93	7	1		1			60.83639712	39.16360288					0	0			-541.9771715		1		
536.8571715	93	7	1		1			60.83639712	39.16360288					0	0			-536.8571715		1		
531.7371715	93	7	1		1			60.83639712	39.16360288					0	0			-531.7371715		1		
526.6171715	93	7	1		1			60.83639712	39.16360288					0	0			-526.6171715		1		
521.4971715	93	7	1		1			60.83639712	39.16360288					0	0			-521.4971715		1		
516.3771715	93	7	1		1			60.83639712	39.16360288					0	0			-516.3771715		1		
511.2571715	93	7	1		1			60.83639712	39.16360288					0	0			-511.2571715		1		
506.1371715	93	7	1		1			60.83639712	39.16360288					0	0			-506.1371715		1		
501.0171715	93	7	1		1			60.83639712	39.16360288					0	0			-501.0171715		1		
495.8971715	93	7	1		1			60.83639712	39.16360288					0	0			-495.8971715		1		
490.7771715	93	7	1		1			60.83639712	39.16360288					0	0			-490.7771715		1		
485.6571715	93	7	1		1			60.83639712	39.16360288					0	0			-485.6571715		1		
480.5371715	93	7	1		1			60.83639712	39.16360288					0	0			-480.5371715		1		
475.4171715	93	7	1		1			60.83639712	39.16360288					0	0			-475.4171715		1		
470.2971715	93	7	1		1			60.83639712	39.16360288					0	0			-470.2971715		1		
465.1771715	93	7	1		1			60.83639712	39.16360288					0	0			-465.1771715		1		
460.0571715	93	7	1		1			60.83639712	39.16360288					0	0			-460.0571715		1		
454.9371715	93	7	1		1			60.83639712	39.16360288					0	0			-454.9371715		1		
449.8171715	93	7	1		1			60.83639712	39.16360288					0	0			-449.8171715		1		
444.6971715	93	7	1		1			60.83639712	39.16360288					0	0			-444.6971715		1		
439.5771715	93	7	1		1			60.83639712	39.16360288					0	0			-439.5771715		1		
434.4571715	93	7	1		1			60.83639712	39.16360288					0	0			-434.4571715		1		
429.3371715	93	7	1		1			60.83639712	39.16360288					0	0			-429.3371715		1		
424.2171715	93	7	1		1			60.83639712	39.16360288					0	0			-424.2171715		1		
419.0971715	93	7	1		1			60.83639712	39.16360288					0	0			-419.0971715		1		
413.9771715	93	7	1		1			60.83639712	39.16360288					0	0			-413.9771715		1		
408.8571715	93	7	1		1			60.83639712	39.16360288					0	0			-408.8571715		1		
403.7371715	93	7	1		1			60.83639712	39.16360288					0	0			-403.7371715		1		
398.6171715	93	7	1		1			60.83639712	39.16360288					0	0			-398.6171715		1		
393.4971715	93	7	1		1			60.83639712	39.16360288					0	0			-393.4971715		1		
388.3771715	93	7	1		1			60.83639712	39.16360288					0	0			-388.3771715		1		
383.2571715	93	7	1		1			60.83639712	39.16360288					0	0			-383.2571715		1		
378.1371715	93	7	1		1			60.83639712	39.16360288					0	0			-378.1371715		1		
373.0171715	93	7	1		1			60.83639712	39.16360288					0	0			-373.0171715		1		
367.8971715	93	7	1		1			60.83639712	39.16360288					0	0			-367.8971715		1		
362.7771715	93	7	1		1			60.83639712	39.16360288					0	0			-362.7771715		1		
357.6571715	93	7	1		1			60.83639712	39.16360288					0	0			-357.6571715		1		
352.5371715	93	7	1		1			60.83639712	39.16360288					0	0			-352.5371715		1		
347.4171715	93	7	1		1			60.83639712	39.16360288					0	0			-347.4171715		1		
342.2971715	93	7	1		1			60.83639712	39.16360288					0	0			-342.2971715		1		
337.1771715	93	7	1		1			60.83639712	39.16360288					0	0			-337.1771715		1		
332.0571715	93	7	1		1			60.83639712	39.16360288					0	0			-332.0571715		1		
326.9371715	93	7	1		1			60.83639712	39.16360288					0	0			-326.9371715		1		
321.8171715	93	7	1		1			60.83639712	39.16360288					0	0			-321.8171715		1		
316.6971715	93	7	1		1			60.83639712	39.16360288					0	0			-316.6971715		1		
311.5771715	93	7	1		1			60.83639712	39.16360288					0	0			-311.5771715		1		
306.4571715	93	7	1		1			60.83639712	39.16360288					0	0			-306.4571715		1		
301.3371715	93	7	1		1			60.83639712	39.16360288					0	0			-301.3371715		1		
300	93	7	1		1			60.83639712	39.16360288					0	0			-300		1		
