T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1719.729535	6	8	86	0.01669746937	0.0004862904207	2.674052205	3.185263802	94.14068399	6.05582843	8.08084133	85.86333024							0	0	0	-1719.729535	0.0004862904207	-443437.605562211	
1719.649535	6	8	86	0.01718298309	0.000486110082	2.674882807	3.186550973	94.13856622	6.05747274	8.083221651	85.85930561							0	0	0	-1719.649535	0.000486110082	-443783.466497678	
1719.569535	6	8	86	0.01766807902	0.0004859298844	2.675713314	3.187838274	94.13644841	6.059116837	8.08560162	85.85528154							0	0	0	-1719.569535	0.0004859298844	-444128.505320479	
1719.489535	6	8	86	0.01815275765	0.0004857498258	2.676543726	3.189125707	94.13433057	6.06076072	8.087981237	85.85125804							0	0	0	-1719.489535	0.0004857498258	-444473.841821946	
1719.409535	6	8	86	0.01863701952	0.0004855699081	2.677374044	3.190413271	94.13221269	6.062404388	8.090360503	85.84723511							0	0	0	-1719.409535	0.0004855699081	-444818.841481723	
1719.329535	6	8	86	0.01912086513	0.0004853901287	2.678204266	3.191700967	94.13009477	6.064047843	8.092739418	85.84321274							0	0	0	-1719.329535	0.0004853901287	-445165.503603829	
1719.249535	6	8	86	0.01960429501	0.0004852104911	2.679034393	3.192988794	94.12797681	6.065691084	8.095117982	85.83919093							0	0	0	-1719.249535	0.0004852104911	-445512.320217756	
1719.169535	6	8	86	0.02008730968	0.0004850309915	2.679864425	3.194276752	94.12585882	6.067334112	8.097496195	85.83516969							0	0	0	-1719.169535	0.0004850309915	-445856.705839985	
1719.089535	6	8	86	0.02056990964	0.0004848516313	2.680694362	3.195564842	94.1237408	6.068976926	8.099874057	85.83114902							0	0	0	-1719.089535	0.0004848516313	-446201.494289726	
1719.009535	6	8	86	0.02105209542	0.000484672409	2.681524204	3.196853064	94.12162273	6.070619527	8.102251567	85.82712891							0	0	0	-1719.009535	0.000484672409	-446549.942799118	
1718.929535	6	8	86	0.02153386753	0.0004844933286	2.68235395	3.198141418	94.11950463	6.072261914	8.104628727	85.82310936							0	0	0	-1718.929535	0.0004844933286	-446898.170264231	
1718.849535	6	8	86	0.02201522648	0.0004843143855	2.683183602	3.199429903	94.11738649	6.073904089	8.107005536	85.81909038							0	0	0	-1718.849535	0.0004843143855	-447239.196148079	
