T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1755.611144	11	89	0.03705158939	0.0005870152457	4.450685078	95.54931492	11.25210126	88.74789874			0	0	-1755.611144	0.0005870152457	-337990.228835681	
1755.531144	11	89	0.03762219703	0.00058677867	4.45286454	95.54713546	11.25609325	88.74390675			0	0	-1755.531144	0.00058677867	-338327.065877891	
1755.451144	11	89	0.03819223837	0.0005865423303	4.455044328	95.54495567	11.26008469	88.73991531			0	0	-1755.451144	0.0005865423303	-338664.142009219	
1755.371144	11	89	0.03876171424	0.0005863062253	4.457224441	95.54277556	11.26407559	88.73592441			0	0	-1755.371144	0.0005863062253	-339000.814649421	
1755.291144	11	89	0.03933062548	0.0005860703548	4.459404882	95.54059512	11.26806595	88.73193405			0	0	-1755.291144	0.0005860703548	-339335.994585386	
1755.211144	11	89	0.03989897292	0.000585834716	4.461585649	95.53841435	11.27205576	88.72794424			0	0	-1755.211144	0.000585834716	-339673.796866119	
1755.131144	11	89	0.04046675737	0.0005855993144	4.463766742	95.53623326	11.27604502	88.72395498			0	0	-1755.131144	0.0005855993144	-340012.690930998	
1755.051144	11	89	0.04103397968	0.0005853641451	4.465948163	95.53405184	11.28003374	88.71996626			0	0	-1755.051144	0.0005853641451	-340347.923470677	
1754.971144	11	89	0.04160064065	0.000585129207	4.46812991	95.53187009	11.28402192	88.71597808			0	0	-1754.971144	0.000585129207	-340686.655615239	
1754.891144	11	89	0.04216674112	0.0005848945051	4.470311985	95.52968802	11.28800955	88.71199045			0	0	-1754.891144	0.0005848945051	-341026.995009908	
1754.811144	11	89	0.04273228191	0.0005846600357	4.472494387	95.52750561	11.29199664	88.70800336			0	0	-1754.811144	0.0005846600357	-341363.574266274	
1754.731144	11	89	0.04329726383	0.0005844257964	4.474677117	95.52532288	11.29598319	88.70401681			0	0	-1754.731144	0.0005844257964	-341700.53299574	
1754.651144	11	89	0.0438616877	0.0005841917892	4.476860174	95.52313983	11.29996919	88.70003081			0	0	-1754.651144	0.0005841917892	-342041.082413482	
1754.571144	11	89	0.04442555434	0.0005839580161	4.479043559	95.52095644	11.30395465	88.69604535			0	0	-1754.571144	0.0005839580161	-342381.571359759	
1754.491144	11	89	0.04498886457	0.0005837244741	4.481227272	95.51877273	11.30793957	88.69206043			0	0	-1754.491144	0.0005837244741	-342720.026018569	
1754.411144	11	89	0.04555161919	0.0005834911625	4.483411313	95.51658869	11.31192395	88.68807605			0	0	-1754.411144	0.0005834911625	-343058.931415815	
1754.331144	11	89	0.04611381902	0.0005832580817	4.485595682	95.51440432	11.31590778	88.68409222			0	0	-1754.331144	0.0005832580817	-343399.466600984	
1754.251144	11	89	0.04667546487	0.0005830252326	4.48778038	95.51221962	11.31989107	88.68010893			0	0	-1754.251144	0.0005830252326	-343740.305906331	
1754.171144	11	89	0.04723655755	0.0005827926138	4.489965407	95.51003459	11.32387383	88.67612617			0	0	-1754.171144	0.0005827926138	-344078.935100212	
1754.091144	11	89	0.04779709786	0.0005825602228	4.492150762	95.50784924	11.32785604	88.67214396			0	0	-1754.091144	0.0005825602228	-344419.428048207	
1754.011144	11	89	0.04835708661	0.0005823280637	4.494336446	95.50566355	11.3318377	88.6681623			0	0	-1754.011144	0.0005823280637	-344763.412032856	
1753.931144	11	89	0.04891652461	0.0005820961362	4.496522459	95.50347754	11.33581883	88.66418117			0	0	-1753.931144	0.0005820961362	-345103.684276047	
1753.851144	11	89	0.04947541265	0.0005818644347	4.498708801	95.5012912	11.33979942	88.66020058			0	0	-1753.851144	0.0005818644347	-345443.449656051	
1753.771144	11	89	0.05003375155	0.0005816329632	4.500895473	95.49910453	11.34377946	88.65622054			0	0	-1753.771144	0.0005816329632	-345785.595097117	
1753.691144	11	89	0.05059154209	0.00058140172	4.503082474	95.49691753	11.34775897	88.65224103			0	0	-1753.691144	0.00058140172	-346128.198930083	
1753.611144	11	89	0.05114878507	0.0005811707065	4.505269804	95.4947302	11.35173794	88.64826206			0	0	-1753.611144	0.0005811707065	-346470.3505628	
1753.531144	11	89	0.0517054813	0.0005809399198	4.507457465	95.49254254	11.35571636	88.64428364			0	0	-1753.531144	0.0005809399198	-346813.263251751	
1753.451144	11	89	0.05226163157	0.0005807093629	4.509645455	95.49035454	11.35969425	88.64030575			0	0	-1753.451144	0.0005807093629	-347155.94079464	
1753.371144	11	89	0.05281723666	0.0005804790316	4.511833776	95.48816622	11.3636716	88.6363284			0	0	-1753.371144	0.0005804790316	-347497.947518548	
1753.291144	11	89	0.05337229738	0.0005802489283	4.514022427	95.48597757	11.36764841	88.63235159			0	0	-1753.291144	0.0005802489283	-347842.364337611	
1753.211144	11	89	0.05392681452	0.0005800190529	4.516211408	95.48378859	11.37162468	88.62837532			0	0	-1753.211144	0.0005800190529	-348185.870521901	
1753.131144	11	89	0.05448078886	0.0005797894034	4.51840072	95.48159928	11.37560041	88.62439959			0	0	-1753.131144	0.0005797894034	-348529.377182938	
1753.051144	11	89	0.05503422119	0.0005795599809	4.520590363	95.47940964	11.3795756	88.6204244			0	0	-1753.051144	0.0005795599809	-348873.025451373	
1752.971144	11	89	0.05558711229	0.0005793307836	4.522780336	95.47721966	11.38355025	88.61644975			0	0	-1752.971144	0.0005793307836	-349217.204729162	
1752.891144	11	89	0.05613946296	0.0005791018131	4.524970641	95.47502936	11.38752437	88.61247563			0	0	-1752.891144	0.0005791018131	-349562.977216302	
1752.811144	11	89	0.05669127397	0.000578873069	4.527161276	95.47283872	11.39149795	88.60850205			0	0	-1752.811144	0.000578873069	-349907.519480625	
1752.731144	11	89	0.05724254611	0.0005786445492	4.529352244	95.47064776	11.39547099	88.60452901			0	0	-1752.731144	0.0005786445492	-350252.44065196	
1752.651144	11	89	0.05779328016	0.0005784162554	4.531543542	95.46845646	11.3994435	88.6005565			0	0	-1752.651144	0.0005784162554	-350598.268283018	
1752.571144	11	89	0.0583434769	0.0005781881862	4.533735172	95.46626483	11.40341546	88.59658454			0	0	-1752.571144	0.0005781881862	-350943.626838091	
1752.491144	11	89	0.0588931371	0.0005779603415	4.535927135	95.46407287	11.4073869	88.5926131			0	0	-1752.491144	0.0005779603415	-351288.430297426	
1752.411144	11	89	0.05944226153	0.0005777327198	4.538119429	95.46188057	11.41135779	88.58864221			0	0	-1752.411144	0.0005777327198	-351635.697472883	
1752.331144	11	89	0.05999085099	0.0005775053249	4.540312055	95.45968795	11.41532815	88.58467185			0	0	-1752.331144	0.0005775053249	-351983.407522782	
1752.251144	11	89	0.06053890623	0.0005772781527	4.542505013	95.45749499	11.41929797	88.58070203			0	0	-1752.251144	0.0005772781527	-352328.087038777	
1752.171144	11	89	0.06108642803	0.0005770512025	4.544698304	95.4553017	11.42326726	88.57673274			0	0	-1752.171144	0.0005770512025	-352675.469558007	
1752.091144	11	89	0.06163341716	0.0005768244776	4.546891928	95.45310807	11.42723601	88.57276399			0	0	-1752.091144	0.0005768244776	-353023.215454937	
1752.011144	11	89	0.06217987439	0.0005765979743	4.549085884	95.45091412	11.43120422	88.56879578			0	0	-1752.011144	0.0005765979743	-353370.329803475	
1751.931144	11	89	0.06272580048	0.0005763716946	4.551280173	95.44871983	11.4351719	88.5648281			0	0	-1751.931144	0.0005763716946	-353717.72952715	
1751.851144	11	89	0.06327119621	0.000576145636	4.553474795	95.4465252	11.43913905	88.56086095			0	0	-1751.851144	0.000576145636	-354066.762774231	
1751.771144	11	89	0.06381606233	0.0005759198022	4.555669751	95.44433025	11.44310566	88.55689434			0	0	-1751.771144	0.0005759198022	-354414.586232097	
1751.691144	11	89	0.06436039961	0.0005756941871	4.557865039	95.44213496	11.44707173	88.55292827			0	0	-1751.691144	0.0005756941871	-354762.718511745	
1751.611144	11	89	0.06490420881	0.0005754687963	4.560060662	95.43993934	11.45103727	88.54896273			0	0	-1751.611144	0.0005754687963	-355112.860519555	
1751.531144	11	89	0.0654474907	0.0005752436259	4.562256618	95.43774338	11.45500228	88.54499772			0	0	-1751.531144	0.0005752436259	-355460.69970805	
1751.451144	11	89	0.06599024602	0.000575018676	4.564452907	95.43554709	11.45896675	88.54103325			0	0	-1751.451144	0.000575018676	-355811.123441996	
1751.371144	11	89	0.06653247555	0.0005747939489	4.566649531	95.43335047	11.46293069	88.53706931			0	0	-1751.371144	0.0005747939489	-356159.530755933	
1751.291144	11	89	0.06707418002	0.0005745694389	4.568846489	95.43115351	11.4668941	88.5331059			0	0	-1751.291144	0.0005745694389	-356509.593927653	
1751.211144	11	89	0.06761536021	0.0005743451529	4.571043781	95.42895622	11.47085697	88.52914303			0	0	-1751.211144	0.0005743451529	-356860.962312432	
1751.131144	11	89	0.06815601686	0.0005741210848	4.573241408	95.42675859	11.47481932	88.52518068			0	0	-1751.131144	0.0005741210848	-357210.166460826	
1751.051144	11	89	0.06869615072	0.0005738972371	4.575439369	95.42456063	11.47878112	88.52121888			0	0	-1751.051144	0.0005738972371	-357561.888323761	
1750.971144	11	89	0.06923576254	0.0005736736096	4.577637666	95.42236233	11.4827424	88.5172576			0	0	-1750.971144	0.0005736736096	-357912.378838005	
1750.891144	11	89	0.06977485308	0.0005734502001	4.579836297	95.4201637	11.48670314	88.51329686			0	0	-1750.891144	0.0005734502001	-358263.805200744	
1750.811144	11	89	0.07031342308	0.0005732270111	4.582035263	95.41796474	11.49066335	88.50933665			0	0	-1750.811144	0.0005732270111	-358613.901111801	
1750.731144	11	89	0.07085147329	0.0005730040376	4.584234564	95.41576544	11.49462303	88.50537697			0	0	-1750.731144	0.0005730040376	-358965.988782872	
1750.651144	11	89	0.07138900445	0.0005727812862	4.586434201	95.4135658	11.49858218	88.50141782			0	0	-1750.651144	0.0005727812862	-359319.879489125	
1750.571144	11	89	0.07192601731	0.0005725587517	4.588634173	95.41136583	11.5025408	88.4974592			0	0	-1750.571144	0.0005725587517	-359672.621920032	
1750.491144	11	89	0.0724625126	0.000572336437	4.590834481	95.40916552	11.50649889	88.49350111			0	0	-1750.491144	0.000572336437	-360023.77566364	
1750.411144	11	89	0.07299849108	0.0005721143364	4.593035125	95.40696488	11.51045644	88.48954356			0	0	-1750.411144	0.0005721143364	-360375.87780941	
1750.331144	11	89	0.07353395347	0.0005718924559	4.595236104	95.4047639	11.51441347	88.48558653			0	0	-1750.331144	0.0005718924559	-360730.117003112	
1750.251144	11	89	0.07406890052	0.0005716707913	4.59743742	95.40256258	11.51836996	88.48163004			0	0	-1750.251144	0.0005716707913	-361082.04574475	
1750.171144	11	89	0.07460333297	0.0005714493431	4.599639073	95.40036093	11.52232593	88.47767407			0	0	-1750.171144	0.0005714493431	-361436.705437616	
1750.091144	11	89	0.07513725154	0.0005712281133	4.601841062	95.39815894	11.52628136	88.47371864			0	0	-1750.091144	0.0005712281133	-361791.728216633	
1750.011144	11	89	0.07567065697	0.0005710070995	4.604043387	95.39595661	11.53023627	88.46976373			0	0	-1750.011144	0.0005710070995	-362146.224899776	
1749.931144	11	89	0.07620355001	0.0005707863026	4.606246049	95.39375395	11.53419064	88.46580936			0	0	-1749.931144	0.0005707863026	-362499.93285631	
1749.851144	11	89	0.07673593137	0.0005705657199	4.608449048	95.39155095	11.53814449	88.46185551			0	0	-1749.851144	0.0005705657199	-362853.104341327	
1749.771144	11	89	0.07726780178	0.0005703453526	4.610652385	95.38934762	11.5420978	88.4579022			0	0	-1749.771144	0.0005703453526	-363209.19131921	
1749.691144	11	89	0.07779916198	0.0005701252022	4.612856058	95.38714394	11.54605059	88.45394941			0	0	-1749.691144	0.0005701252022	-363564.648636948	
1749.611144	11	89	0.0783300127	0.0005699052656	4.615060069	95.38493993	11.55000285	88.44999715			0	0	-1749.611144	0.0005699052656	-363920.397737521	
