T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@BCC_B2#3)	w(FE@BCC_B2#3)	w(TI@BCC_B2#3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
627.1890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-627.1890502			
627.0290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-627.0290502			
626.8690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-626.8690502			
626.7090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-626.7090502			
626.5490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-626.5490502			
626.3890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-626.3890502			
626.2290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-626.2290502			
626.0690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-626.0690502			
625.9090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-625.9090502			
625.7490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-625.7490502			
