T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1319.264713	5	7	88	0.9958387113	0.002936822381	9.165161701	7.268429961	83.56640834	24.25449423	8.95410153	66.79140424	28.97607908	16.04312691	54.98079401				0	0	0	-1319.264713	0.002936822381	-6377.16354480688	
1319.184713	5	7	88	0.9958641496	0.002924313258	9.179536757	7.254492986	83.56597026	24.28391139	8.936798177	66.77929044	28.98599121	16.0198037	54.9942051				0	0	0	-1319.184713	0.002924313258	-6413.66972220828	
1319.104713	5	7	88	0.9958893502	0.002911875259	9.193899495	7.240587554	83.56551295	24.31328013	8.919535289	66.76718459	28.99586524	15.99652081	55.00761395				0	0	0	-1319.104713	0.002911875259	-6450.30555421782	
1319.024713	5	7	88	0.9959143158	0.00289950783	9.208249915	7.226713576	83.56503651	24.34260054	8.902312742	66.75508671	29.00570134	15.97327812	55.02102055				0	0	0	-1319.024713	0.00289950783	-6487.06770198373	
1318.944713	5	7	88	0.9959390495	0.002887210405	9.222588017	7.212870959	83.56454102	24.37187274	8.885130414	66.74299685	29.01549967	15.95007547	55.03442485				0	0	0	-1318.944713	0.002887210405	-6523.95794650271	
1318.864713	5	7	88	0.995963554	0.002874982447	9.2369138	7.199059613	83.56402659	24.4010968	8.86798818	66.73091502	29.02526041	15.92691275	55.04782685				0	0	0	-1318.864713	0.002874982447	-6560.9790182344	
1318.784713	5	7	88	0.995987832	0.002862823411	9.251227262	7.18527945	83.56349329	24.43027283	8.850885919	66.71884125	29.03498371	15.9037898	55.06122649				0	0	0	-1318.784713	0.002862823411	-6598.12769988568	
1318.704713	5	7	88	0.9960118864	0.002850732758	9.265528404	7.17153038	83.56294122	24.45940092	8.833823508	66.70677557	29.04466974	15.88070649	55.07462377				0	0	0	-1318.704713	0.002850732758	-6635.40557682143	
1318.624713	5	7	88	0.9960357197	0.002838709959	9.279817225	7.157812312	83.56237046	24.48848117	8.816800826	66.694718	29.05431866	15.8576627	55.08801864				0	0	0	-1318.624713	0.002838709959	-6672.81177771226	
1318.544713	5	7	88	0.9960593348	0.002826754482	9.294093724	7.14412516	83.56178112	24.51751368	8.799817752	66.68266857	29.06393064	15.83465828	55.10141108				0	0	0	-1318.544713	0.002826754482	-6710.35005586115	
1318.464713	5	7	88	0.9960827341	0.002814865821	9.308357901	7.130468835	83.56117326	24.54649853	8.782874165	66.67062731	29.07350584	15.81169311	55.11480105				0	0	0	-1318.464713	0.002814865821	-6748.0175581729	
1318.384713	5	7	88	0.9961059202	0.002803043444	9.322609754	7.116843248	83.560547	24.57543582	8.765969946	66.65859423	29.08304442	15.78876706	55.12818853				0	0	0	-1318.384713	0.002803043444	-6785.81282844544	
1318.304713	5	7	88	0.9961288957	0.002791286849	9.336849283	7.103248313	83.5599024	24.60432565	8.749104974	66.64656937	29.09254653	15.76587999	55.14157348				0	0	0	-1318.304713	0.002791286849	-6823.73930584455	
1318.224713	5	7	88	0.9961516631	0.002779595526	9.351076488	7.089683943	83.55923957	24.63316812	8.73227913	66.63455275	29.10201235	15.74303177	55.15495588				0	0	0	-1318.224713	0.002779595526	-6861.79818475415	
1318.144713	5	7	88	0.9961742248	0.002767968986	9.365291368	7.07615005	83.55855858	24.66196331	8.715492297	66.6225444	29.11144203	15.72022229	55.16833568				0	0	0	-1318.144713	0.002767968986	-6899.98513174191	
1318.064713	5	7	88	0.9961965833	0.002756406714	9.379493922	7.06264655	83.55785953	24.69071131	8.698744356	66.61054433	29.12083572	15.69745141	55.18171287				0	0	0	-1318.064713	0.002756406714	-6938.30326130717	
1317.984713	5	7	88	0.996218741	0.00274490824	9.39368415	7.049173355	83.5571425	24.71941224	8.682035189	66.59855257	29.13019359	15.67471901	55.19508739				0	0	0	-1317.984713	0.00274490824	-6976.75476190518	
1317.904713	5	7	88	0.9962407002	0.002733473066	9.40786205	7.03573038	83.55640757	24.74806617	8.665364679	66.58656915	29.1395158	15.65202497	55.20845923				0	0	0	-1317.904713	0.002733473066	-7015.33529010729	
1317.824713	5	7	88	0.9962624632	0.002722100716	9.422027623	7.022317541	83.55565484	24.7766732	8.64873271	66.57459409	29.1488025	15.62936915	55.22182835				0	0	0	-1317.824713	0.002722100716	-7054.04942456344	
1317.744713	5	7	88	0.9962840324	0.002710790716	9.436180867	7.008934752	83.55488438	24.80523342	8.632139164	66.56262741	29.15805385	15.60675145	55.23519471				0	0	0	-1317.744713	0.002710790716	-7092.89257713971	
1317.664713	5	7	88	0.9963054099	0.002699542584	9.450321782	6.995581929	83.55409629	24.83374694	8.615583927	66.55066914	29.16727	15.58417173	55.24855827				0	0	0	-1317.664713	0.002699542584	-7131.86937238742	
1317.584713	5	7	88	0.9963265981	0.002688355869	9.464450367	6.982258989	83.55329064	24.86221383	8.599066883	66.53871929	29.17645111	15.56162987	55.26191901				0	0	0	-1317.584713	0.002688355869	-7170.97951870669	
1317.504713	5	7	88	0.9963475991	0.002677230097	9.478566622	6.968965846	83.55246753	24.89063419	8.582587918	66.52677789	29.18559734	15.53912577	55.27527689				0	0	0	-1317.504713	0.002677230097	-7210.21950789844	
1317.424713	5	7	88	0.9963684151	0.002666164814	9.492670546	6.955702419	83.55162703	24.91900813	8.566146916	66.51484496	29.19470884	15.51665929	55.28863187				0	0	0	-1317.424713	0.002666164814	-7249.59436042916	
1317.344713	5	7	88	0.9963890482	0.00265515957	9.506762139	6.942468624	83.55076924	24.94733572	8.549743764	66.50292052	29.20378576	15.49423033	55.30198391				0	0	0	-1317.344713	0.00265515957	-7289.10308271087	
1317.264713	5	7	88	0.9964095005	0.002644213916	9.5208414	6.929264379	83.54989422	24.97561706	8.533378348	66.49100459	29.21282825	15.47183876	55.31533299				0	0	0	-1317.264713	0.002644213916	-7328.74196939263	
1317.184713	5	7	88	0.9964297741	0.002633327399	9.534908328	6.916089601	83.54900207	25.00385224	8.517050555	66.4790972	29.22183648	15.44948447	55.32867905				0	0	0	-1317.184713	0.002633327399	-7368.51441931904	
1317.104713	5	7	88	0.996449871	0.002622499588	9.548962923	6.902944208	83.54809287	25.03204136	8.500760273	66.46719836	29.23081058	15.42716735	55.34202207				0	0	0	-1317.104713	0.002622499588	-7408.42381410622	
1317.024713	5	7	88	0.9964697933	0.002611730048	9.563005184	6.889828119	83.5471667	25.06018451	8.48450739	66.4553081	29.23975072	15.40488728	55.355362				0	0	0	-1317.024713	0.002611730048	-7448.46549093845	
1316.944713	5	7	88	0.9964895429	0.002601018342	9.577035111	6.876741252	83.54622364	25.08828177	8.468291792	66.44342643	29.24865705	15.38264414	55.36869881				0	0	0	-1316.944713	0.002601018342	-7488.64026135987	
1316.864713	5	7	88	0.9965091219	0.002590364045	9.591052703	6.863683528	83.54526377	25.11633325	8.452113371	66.43155338	29.2575297	15.36043784	55.38203246				0	0	0	-1316.864713	0.002590364045	-7528.95032427925	
1316.784713	5	7	88	0.996528532	0.002579766734	9.60505796	6.850654864	83.54428718	25.14433902	8.435972013	66.41968896	29.26636885	15.33826825	55.39536291				0	0	0	-1316.784713	0.002579766734	-7569.39481918912	
1316.704713	5	7	88	0.9965477753	0.002569225989	9.619050882	6.837655181	83.54329394	25.17229919	8.41986761	66.4078332	29.27517462	15.31613527	55.40869011				0	0	0	-1316.704713	0.002569225989	-7609.97432862124	
1316.624713	5	7	88	0.9965668536	0.002558741396	9.633031467	6.824684399	83.54228413	25.20021384	8.40380005	66.39598611	29.28394719	15.29403878	55.42201403				0	0	0	-1316.624713	0.002558741396	-7650.68798288786	
1316.544713	5	7	88	0.9965857688	0.00254831254	9.646999717	6.811742438	83.54125785	25.22808306	8.387769225	66.38414771	29.29268668	15.27197869	55.43533463				0	0	0	-1316.544713	0.00254831254	-7691.53943952139	
1316.464713	5	7	88	0.9966045227	0.002537939024	9.660955629	6.798829219	83.54021515	25.25590695	8.371775024	66.37231802	29.30139326	15.24995488	55.44865187				0	0	0	-1316.464713	0.002537939024	-7732.52634392587	
1316.384713	5	7	88	0.996623117	0.002527620434	9.674899204	6.785944664	83.53915613	25.28368559	8.35581734	66.36049707	29.31006706	15.22796724	55.4619657				0	0	0	-1316.384713	0.002527620434	-7773.6442549003	
1316.304713	5	7	88	0.9966415537	0.002517356368	9.688830442	6.773088692	83.53808087	25.31141908	8.339896063	66.34868485	29.31870825	15.20601567	55.47527608				0	0	0	-1316.304713	0.002517356368	-7814.90299026905	
1316.224713	5	7	88	0.9966598344	0.002507146445	9.702749342	6.760261227	83.53698943	25.33910751	8.324011087	66.33688141	29.32731695	15.18410007	55.48858298				0	0	0	-1316.224713	0.002507146445	-7856.29831592295	
1316.144713	5	7	88	0.9966779609	0.002496990259	9.716655904	6.74746219	83.53588191	25.36675096	8.308162303	66.32508674	29.33589333	15.16222033	55.50188634				0	0	0	-1316.144713	0.002496990259	-7897.82818784328	
1316.064713	5	7	88	0.9966959348	0.00248688743	9.730550127	6.734691503	83.53475837	25.39434952	8.292349604	66.31330087	29.34443753	15.14037635	55.51518612				0	0	0	-1316.064713	0.00248688743	-7939.49564913702	
1315.984713	5	7	88	0.9967137579	0.002476837567	9.744432013	6.721949089	83.5336189	25.42190329	8.276572883	66.30152382	29.35294969	15.11856803	55.52848228				0	0	0	-1315.984713	0.002476837567	-7981.299379824	
1315.904713	5	7	88	0.9967314318	0.002466840293	9.758301559	6.70923487	83.53246357	25.44941236	8.260832035	66.28975561	29.36142996	15.09679526	55.54177478				0	0	0	-1315.904713	0.002466840293	-8023.24310125168	
1315.824713	5	7	88	0.9967489582	0.002456895233	9.772158767	6.696548771	83.53129246	25.4768768	8.245126952	66.27799624	29.36987848	15.07505795	55.55506357				0	0	0	-1315.824713	0.002456895233	-8065.32178038306	
1315.744713	5	7	88	0.9967663386	0.002447002004	9.786003635	6.683890714	83.53010565	25.50429673	8.22945753	66.26624574	29.3782954	15.05335599	55.56834861				0	0	0	-1315.744713	0.002447002004	-8107.53858298484	
1315.664713	5	7	88	0.9967835748	0.002437160245	9.799836165	6.671260623	83.52890321	25.53167221	8.213823664	66.25450413	29.38668086	15.03168929	55.58162984				0	0	0	-1315.664713	0.002437160245	-8149.89615336575	
1315.584713	5	7	88	0.9968006681	0.002427369586	9.813656356	6.658658422	83.52768522	25.55900334	8.198225248	66.24277141	29.39503501	15.01005775	55.59490723				0	0	0	-1315.584713	0.002427369586	-8192.39075971742	
1315.504713	5	7	88	0.9968176203	0.002417629663	9.827464207	6.646084036	83.52645176	25.58629022	8.182662179	66.2310476	29.40335799	14.98846128	55.60818073				0	0	0	-1315.504713	0.002417629663	-8235.02182944522	
1315.424713	5	7	88	0.9968344327	0.002407940111	9.841259719	6.633537389	83.52520289	25.61353292	8.167134352	66.21933273	29.41164995	14.96689976	55.62145029				0	0	0	-1315.424713	0.002407940111	-8277.79447782544	
1315.344713	5	7	88	0.9968511071	0.002398300584	9.855042893	6.621018406	83.5239387	25.64073154	8.151641664	66.2076268	29.41991102	14.94537312	55.63471586				0	0	0	-1315.344713	0.002398300584	-8320.70688310924	
1315.264713	5	7	88	0.9968676447	0.002388710719	9.868813727	6.608527012	83.52265926	25.66788616	8.136184011	66.19592983	29.42814135	14.92388125	55.64797739				0	0	0	-1315.264713	0.002388710719	-8363.75528620791	
1315.184713	5	7	88	0.9968840472	0.002379170167	9.882572223	6.596063133	83.52136464	25.69499688	8.120761292	66.18424183	29.43634109	14.90242407	55.66123484				0	0	0	-1315.184713	0.002379170167	-8406.94845408367	
1315.104713	5	7	88	0.9969003159	0.002369678591	9.89631838	6.583626695	83.52005493	25.72206377	8.105373402	66.17256283	29.44451037	14.88100147	55.67448816				0	0	0	-1315.104713	0.002369678591	-8450.27932801183	
1315.024713	5	7	88	0.9969164523	0.002360235632	9.910052198	6.571217623	83.51873018	25.74908694	8.090020241	66.16089282	29.45264933	14.85961337	55.6877373				0	0	0	-1315.024713	0.002360235632	-8493.74909193843	
1314.944713	5	7	88	0.9969324578	0.002350840961	9.923773678	6.558835843	83.51739048	25.77606646	8.074701706	66.14923183	29.46075812	14.83825967	55.70098221				0	0	0	-1314.944713	0.002350840961	-8537.36173770791	
1314.864713	5	7	88	0.9969483337	0.002341494234	9.937482821	6.546481284	83.5160359	25.80300243	8.059417697	66.13757988	29.46883688	14.81694029	55.71422283				0	0	0	-1314.864713	0.002341494234	-8581.11350057548	
1314.784713	5	7	88	0.9969640816	0.002332195119	9.951179625	6.53415387	83.5146665	25.82989492	8.044168111	66.12593697	29.47688574	14.79565513	55.72745913				0	0	0	-1314.784713	0.002332195119	-8625.00867938836	
1314.704713	5	7	88	0.9969797027	0.002322943287	9.964864093	6.52185353	83.51328238	25.85674404	8.02895285	66.11430311	29.48490486	14.7744041	55.74069104				0	0	0	-1314.704713	0.002322943287	-8669.04379258578	
1314.624713	5	7	88	0.9969951984	0.002313738404	9.978536223	6.50958019	83.51188359	25.88354986	8.013771812	66.10267833	29.49289436	14.75318712	55.75391851				0	0	0	-1314.624713	0.002313738404	-8713.22058655605	
1314.544713	5	7	88	0.99701057	0.00230458015	9.992196018	6.497333779	83.5104702	25.91031247	7.998624898	66.09106263	29.5008544	14.7320041	55.7671415				0	0	0	-1314.544713	0.00230458015	-8757.54120084432	
1314.464713	5	7	88	0.9970258188	0.002295468201	10.00584348	6.485114224	83.5090423	25.93703196	7.983512008	66.07945603	29.5087851	14.71085494	55.78035995				0	0	0	-1314.464713	0.002295468201	-8802.00219148226	
1314.384713	5	7	88	0.9970409461	0.002286402235	10.0194786	6.472921454	83.50759995	25.96370842	7.968433043	66.06785854	29.51668661	14.68973957	55.79357381				0	0	0	-1314.384713	0.002286402235	-8846.60685247301	
1314.304713	5	7	88	0.9970559532	0.00227738194	10.03310139	6.460755396	83.50614322	25.99034193	7.953387904	66.05627017	29.52455907	14.6686579	55.80678303				0	0	0	-1314.304713	0.00227738194	-8891.35456171864	
1314.224713	5	7	88	0.9970708413	0.002268406998	10.04671184	6.448615979	83.50467218	26.01693258	7.938376494	66.04469093	29.53240262	14.64760984	55.81998754				0	0	0	-1314.224713	0.002268406998	-8936.24485388186	
1314.144713	5	7	88	0.9970856117	0.002259477101	10.06030996	6.436503133	83.50318691	26.04348045	7.923398713	66.03312084	29.54021738	14.62659531	55.8331873				0	0	0	-1314.144713	0.002259477101	-8981.28015854823	
1314.064713	5	7	88	0.9971002655	0.002250591941	10.07389575	6.424416786	83.50168746	26.06998563	7.908454465	66.0215599	29.54800352	14.60561423	55.84638225				0	0	0	-1314.064713	0.002250591941	-9026.45901268279	
1313.984713	5	7	88	0.9971148041	0.002241751212	10.0874692	6.412356869	83.50017393	26.09644821	7.893543651	66.01000814	29.55576115	14.58466651	55.85957234				0	0	0	-1313.984713	0.002241751212	-9071.78145215063	
1313.904713	5	7	88	0.9971292286	0.002232954611	10.10103033	6.40032331	83.49864636	26.12286827	7.878666175	65.99846555	29.56349042	14.56375207	55.87275751				0	0	0	-1313.904713	0.002232954611	-9117.24752482626	
1313.824713	5	7	88	0.9971435402	0.002224201837	10.11457912	6.388316039	83.49710484	26.1492459	7.863821941	65.98693216	29.57119147	14.54287083	55.8859377				0	0	0	-1313.824713	0.002224201837	-9162.85837212653	
1313.744713	5	7	88	0.99715774	0.002215492594	10.12811559	6.376334987	83.49554943	26.17558118	7.849010852	65.97540797	29.57886444	14.5220227	55.89911286				0	0	0	-1313.744713	0.002215492594	-9208.61838227111	
1313.664713	5	7	88	0.9971718292	0.002206826594	10.14163972	6.364380084	83.49398019	26.2018742	7.834232812	65.96389299	29.58650945	14.50120762	55.91228293				0	0	0	-1313.664713	0.002206826594	-9254.52075436809	
1313.584713	5	7	88	0.997185809	0.002198203533	10.15515153	6.35245126	83.49239721	26.22812504	7.819487725	65.95238724	29.59412665	14.48042549	55.92544786				0	0	0	-1313.584713	0.002198203533	-9300.56688187527	
1313.504713	5	7	88	0.9971996804	0.00218962313	10.16865101	6.340548447	83.49080054	26.25433379	7.804775497	65.94089072	29.60171618	14.45967624	55.93860758				0	0	0	-1313.504713	0.00218962313	-9346.76332724066	
1313.424713	5	7	88	0.9972134446	0.002181085098	10.18213817	6.328671576	83.48919025	26.28050053	7.790096031	65.92940344	29.60927817	14.43895979	55.95176203				0	0	0	-1313.424713	0.002181085098	-9393.10500075437	
1313.344713	5	7	88	0.9972271026	0.002172589151	10.195613	6.316820577	83.48756642	26.30662535	7.775449235	65.91792542	29.61681276	14.41827607	55.96491117				0	0	0	-1313.344713	0.002172589151	-9439.59104971536	
1313.264713	5	7	88	0.9972406556	0.002164135005	10.20907551	6.304995383	83.4859291	26.33270833	7.760835013	65.90645666	29.62432009	14.397625	55.97805492				0	0	0	-1313.264713	0.002164135005	-9486.22514095196	
1313.184713	5	7	88	0.9972541045	0.002155722385	10.2225257	6.293195925	83.48427837	26.35874956	7.746253272	65.89499717	29.63180028	14.37700649	55.99119322				0	0	0	-1313.184713	0.002155722385	-9533.00930846501	
1313.104713	5	7	88	0.9972674506	0.002147351015	10.23596357	6.281422136	83.4826143	26.38474912	7.731703918	65.88354696	29.63925348	14.35642049	56.00432603				0	0	0	-1313.104713	0.002147351015	-9579.94116443359	
1313.024713	5	7	88	0.9972806947	0.00213902062	10.24938912	6.269673947	83.48093694	26.41070709	7.717186857	65.87210605	29.64667983	14.3358669	56.01745327				0	0	0	-1313.024713	0.00213902062	-9627.01763680986	
1312.944713	5	7	88	0.9972938379	0.002130730923	10.26280235	6.257951291	83.47924636	26.43662356	7.702701998	65.86067444	29.65407945	14.31534566	56.03057489				0	0	0	-1312.944713	0.002130730923	-9674.24267451223	
1312.864713	5	7	88	0.9973068812	0.00212248166	10.27620326	6.2462541	83.47754264	26.46249862	7.688249246	65.84925214	29.66145248	14.2948567	56.04369082				0	0	0	-1312.864713	0.00212248166	-9721.62142229154	
1312.784713	5	7	88	0.9973198257	0.002114272567	10.28959186	6.234582309	83.47582583	26.48833234	7.673828511	65.83783915	29.66879907	14.27439993	56.056801				0	0	0	-1312.784713	0.002114272567	-9769.14674894775	
1312.704713	5	7	88	0.9973326723	0.002106103372	10.30296815	6.222935849	83.474096	26.51412481	7.6594397	65.82643549	29.67611934	14.25397529	56.06990537				0	0	0	-1312.704713	0.002106103372	-9816.81804376629	
1312.624713	5	7	88	0.9973454221	0.002097973814	10.31633212	6.211314655	83.47235322	26.53987611	7.645082721	65.81504117	29.68341342	14.23358271	56.08300386				0	0	0	-1312.624713	0.002097973814	-9864.6442930568	
1312.544713	5	7	88	0.9973580758	0.00208988364	10.32968379	6.199718659	83.47059755	26.56558633	7.630757484	65.80365619	29.69068147	14.21322212	56.09609642				0	0	0	-1312.544713	0.00208988364	-9912.62062844812	
1312.464713	5	7	88	0.9973706346	0.002081832585	10.34302314	6.188147796	83.46882906	26.59125554	7.616463897	65.79228056	29.6979236	14.19289344	56.10918297				0	0	0	-1312.464713	0.002081832585	-9960.74475238698	
1312.384713	5	7	88	0.9973830994	0.002073820396	10.35635019	6.176601999	83.46704781	26.61688384	7.60220187	65.78091429	29.70513995	14.1725966	56.12226345				0	0	0	-1312.384713	0.002073820396	-10009.0209589836	
1312.304713	5	7	88	0.997395471	0.002065846819	10.36966494	6.165081203	83.46525386	26.64247131	7.587971312	65.76955738	29.71233066	14.15233154	56.1353378				0	0	0	-1312.304713	0.002065846819	-10057.4475050378	
1312.224713	5	7	88	0.9974077505	0.002057911602	10.38296738	6.153585343	83.46344727	26.66801802	7.573772133	65.75820985	29.71949586	14.13209819	56.14840595				0	0	0	-1312.224713	0.002057911602	-10106.0283604141	
