T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1923.464997	1	99	0.5369218266	0.00714015793	0.5984419821	99.40155802	1.625034498	98.3749655			0	0	-1923.464997	0.00714015793	-2448.44640623207	
1923.384997	1	99	0.540221555	0.007107632023	0.6011865807	99.39881342	1.632363723	98.36763628			0	0	-1923.384997	0.007107632023	-2470.85975467147	
1923.304997	1	99	0.5434829508	0.007075400466	0.603931274	99.39606873	1.639692144	98.36030786			0	0	-1923.304997	0.007075400466	-2493.37509864775	
1923.224997	1	99	0.5467066301	0.007043459346	0.6066760619	99.39332394	1.64701976	98.35298024			0	0	-1923.224997	0.007043459346	-2515.99298441054	
1923.144997	1	99	0.5498931961	0.007011804703	0.6094209442	99.39057906	1.654346573	98.34565343			0	0	-1923.144997	0.007011804703	-2538.71282179908	
1923.064997	1	99	0.55304324	0.006980432746	0.6121659208	99.38783408	1.661672581	98.33832742			0	0	-1923.064997	0.006980432746	-2561.53487193669	
1922.984997	1	99	0.5561573408	0.006949339663	0.6149109913	99.38508901	1.668997786	98.33100221			0	0	-1922.984997	0.006949339663	-2584.45719306544	
1922.904997	1	99	0.5592360659	0.006918521749	0.6176561557	99.38234384	1.676322188	98.32367781			0	0	-1922.904997	0.006918521749	-2607.48507504999	
1922.824997	1	99	0.5622799711	0.00688797545	0.6204014138	99.37959859	1.683645787	98.31635421			0	0	-1922.824997	0.00688797545	-2630.61429963257	
1922.744997	1	99	0.5652896012	0.006857697093	0.6231467654	99.37685323	1.690968583	98.30903142			0	0	-1922.744997	0.006857697093	-2653.84294650598	
1922.664997	1	99	0.5682654903	0.006827683202	0.6258922103	99.37410779	1.698290578	98.30170942			0	0	-1922.664997	0.006827683202	-2677.17638000533	
1922.584997	1	99	0.5712081615	0.006797930353	0.6286377483	99.37136225	1.70561177	98.29438823			0	0	-1922.584997	0.006797930353	-2700.61105553529	
1922.504997	1	99	0.574118128	0.006768435111	0.6313833793	99.36861662	1.71293216	98.28706784			0	0	-1922.504997	0.006768435111	-2724.14703049306	
