T	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(FE@LIQUID)	w(TI@LIQUID)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1714.754114	13	87	0.02958192264	0.00049156865	5.609733421	94.39026658	13.22490204	86.77509796			0	0	-1714.754114	0.00049156865	-550080.778940012	
1714.674114	13	87	0.03006408736	0.0004914232852	5.612100509	94.38789949	13.22864499	86.77135501			0	0	-1714.674114	0.0004914232852	-550595.085865508	
1714.594114	13	87	0.03054587106	0.0004912780552	5.614468009	94.38553199	13.23238751	86.76761249			0	0	-1714.594114	0.0004912780552	-551111.511434186	
1714.514114	13	87	0.03102727422	0.0004911329627	5.61683592	94.38316408	13.23612959	86.76387041			0	0	-1714.514114	0.0004911329627	-551627.172579578	
1714.434114	13	87	0.03150829729	0.0004909880041	5.619204243	94.38079576	13.23987125	86.76012875			0	0	-1714.434114	0.0004909880041	-552137.334879279	
1714.354114	13	87	0.03198894073	0.0004908431796	5.621572977	94.37842702	13.24361247	86.75638753			0	0	-1714.354114	0.0004908431796	-552656.663993871	
1714.274114	13	87	0.032469205	0.0004906984933	5.623942124	94.37605788	13.24735327	86.75264673			0	0	-1714.274114	0.0004906984933	-553175.408620763	
1714.194114	13	87	0.03294909056	0.0004905539403	5.626311683	94.37368832	13.25109364	86.74890636			0	0	-1714.194114	0.0004905539403	-553689.212112372	
1714.114114	13	87	0.03342859787	0.0004904095224	5.628681654	94.37131835	13.25483357	86.74516643			0	0	-1714.114114	0.0004904095224	-554206.650617736	
1714.034114	13	87	0.03390772739	0.0004902652392	5.631052038	94.36894796	13.25857308	86.74142692			0	0	-1714.034114	0.0004902652392	-554728.143044542	
1713.954114	13	87	0.03438647957	0.0004901210927	5.633422834	94.36657717	13.26231216	86.73768784			0	0	-1713.954114	0.0004901210927	-555243.460738214	
1713.874114	13	87	0.03486485486	0.0004899770772	5.635794043	94.36420596	13.26605081	86.73394919			0	0	-1713.874114	0.0004899770772	-555764.226156738	
1713.794114	13	87	0.03534285373	0.0004898332007	5.638165666	94.36183433	13.26978903	86.73021097			0	0	-1713.794114	0.0004898332007	-556286.686353607	
1713.714114	13	87	0.03582047663	0.0004896894556	5.640537702	94.3594623	13.27352683	86.72647317			0	0	-1713.714114	0.0004896894556	-556801.643018008	
1713.634114	13	87	0.03629772401	0.0004895458451	5.642910151	94.35708985	13.27726419	86.72273581			0	0	-1713.634114	0.0004895458451	-557322.587634195	
1713.554114	13	87	0.03677459633	0.0004894023686	5.645283013	94.35471699	13.28100113	86.71899887			0	0	-1713.554114	0.0004894023686	-557843.148318772	
1713.474114	13	87	0.03725109403	0.000489259026	5.64765629	94.35234371	13.28473764	86.71526236			0	0	-1713.474114	0.000489259026	-558368.001914841	
1713.394114	13	87	0.03772721758	0.0004891158191	5.650029981	94.34997002	13.28847372	86.71152628			0	0	-1713.394114	0.0004891158191	-558891.679360991	
1713.314114	13	87	0.03820296741	0.000488972745	5.652404085	94.34759591	13.29220938	86.70779062			0	0	-1713.314114	0.000488972745	-559410.678539913	
1713.234114	13	87	0.03867834398	0.0004888298037	5.654778604	94.3452214	13.29594461	86.70405539			0	0	-1713.234114	0.0004888298037	-559933.194665396	
