T	w(TI)	fs	fw(@BCC_A2)	w(TI@BCC_A2)	w(TI@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	mole/mole	kg/kg	%	%	SI							
1423.864519	100	1	1	100			-1423.864519	1	NaN	-1423.864519	1	NaN	
1418.744519	100	1	1	100			-1418.744519	1	NaN	-1418.744519	1	NaN	
1413.624519	100	1	1	100			-1413.624519	1	NaN	-1413.624519	1	NaN	
1408.504519	100	1	1	100			-1408.504519	1	NaN	-1408.504519	1	NaN	
1403.384519	100	1	1	100			-1403.384519	1	NaN	-1403.384519	1	NaN	
1398.264519	100	1	1	100			-1398.264519	1	NaN	-1398.264519	1	NaN	
1393.144519	100	1	1	100			-1393.144519	1	NaN	-1393.144519	1	NaN	
1388.024519	100	1	1	100			-1388.024519	1	NaN	-1388.024519	1	NaN	
1382.904519	100	1	1	100			-1382.904519	1	NaN	-1382.904519	1	NaN	
1377.784519	100	1	1	100			-1377.784519	1	NaN	-1377.784519	1	NaN	
1372.664519	100	1	1	100			-1372.664519	1	NaN	-1372.664519	1	NaN	
1367.544519	100	1	1	100			-1367.544519	1	NaN	-1367.544519	1	NaN	
1362.424519	100	1	1	100			-1362.424519	1	NaN	-1362.424519	1	NaN	
1357.304519	100	1	1	100			-1357.304519	1	NaN	-1357.304519	1	NaN	
1352.184519	100	1	1	100			-1352.184519	1	NaN	-1352.184519	1	NaN	
1347.064519	100	1	1	100			-1347.064519	1	NaN	-1347.064519	1	NaN	
1341.944519	100	1	1	100			-1341.944519	1	NaN	-1341.944519	1	NaN	
1336.824519	100	1	1	100			-1336.824519	1	NaN	-1336.824519	1	NaN	
1331.704519	100	1	1	100			-1331.704519	1	NaN	-1331.704519	1	NaN	
1326.584519	100	1	1	100			-1326.584519	1	NaN	-1326.584519	1	NaN	
1321.464519	100	1	1	100			-1321.464519	1	NaN	-1321.464519	1	NaN	
1316.344519	100	1	1	100			-1316.344519	1	NaN	-1316.344519	1	NaN	
1311.224519	100	1	1	100			-1311.224519	1	NaN	-1311.224519	1	NaN	
1306.104519	100	1	1	100			-1306.104519	1	NaN	-1306.104519	1	NaN	
1300.984519	100	1	1	100			-1300.984519	1	NaN	-1300.984519	1	NaN	
1295.864519	100	1	1	100			-1295.864519	1	NaN	-1295.864519	1	NaN	
1290.744519	100	1	1	100			-1290.744519	1	NaN	-1290.744519	1	NaN	
1285.624519	100	1	1	100			-1285.624519	1	NaN	-1285.624519	1	NaN	
1280.504519	100	1	1	100			-1280.504519	1	NaN	-1280.504519	1	NaN	
1275.384519	100	1	1	100			-1275.384519	1	NaN	-1275.384519	1	NaN	
1270.264519	100	1	1	100			-1270.264519	1	NaN	-1270.264519	1	NaN	
1265.144519	100	1	1	100			-1265.144519	1	NaN	-1265.144519	1	NaN	
1260.024519	100	1	1	100			-1260.024519	1	NaN	-1260.024519	1	NaN	
1254.904519	100	1	1	100			-1254.904519	1	NaN	-1254.904519	1	NaN	
1249.784519	100	1	1	100			-1249.784519	1	NaN	-1249.784519	1	NaN	
1244.664519	100	1	1	100			-1244.664519	1	NaN	-1244.664519	1	NaN	
1239.544519	100	1	1	100			-1239.544519	1	NaN	-1239.544519	1	NaN	
1234.424519	100	1	1	100			-1234.424519	1	NaN	-1234.424519	1	NaN	
1229.304519	100	1	1	100			-1229.304519	1	NaN	-1229.304519	1	NaN	
1224.184519	100	1	1	100			-1224.184519	1	NaN	-1224.184519	1	NaN	
1219.064519	100	1	1	100			-1219.064519	1	NaN	-1219.064519	1	NaN	
1213.944519	100	1	1	100			-1213.944519	1	NaN	-1213.944519	1	NaN	
1208.824519	100	1	1	100			-1208.824519	1	NaN	-1208.824519	1	NaN	
1203.704519	100	1	1	100			-1203.704519	1	NaN	-1203.704519	1	NaN	
1198.584519	100	1	1	100			-1198.584519	1	NaN	-1198.584519	1	NaN	
1193.464519	100	1	1	100			-1193.464519	1	NaN	-1193.464519	1	NaN	
1188.344519	100	1	1	100			-1188.344519	1	NaN	-1188.344519	1	NaN	
1183.224519	100	1	1	100			-1183.224519	1	NaN	-1183.224519	1	NaN	
1178.104519	100	1	1	100			-1178.104519	1	NaN	-1178.104519	1	NaN	
1172.984519	100	1	1	100			-1172.984519	1	NaN	-1172.984519	1	NaN	
1167.864519	100	1	1	100			-1167.864519	1	NaN	-1167.864519	1	NaN	
1162.744519	100	1	1	100			-1162.744519	1	NaN	-1162.744519	1	NaN	
1157.624519	100	1	1	100			-1157.624519	1	NaN	-1157.624519	1	NaN	
1152.504519	100	1	1	100			-1152.504519	1	NaN	-1152.504519	1	NaN	
1147.384519	100	1	1	100			-1147.384519	1	NaN	-1147.384519	1	NaN	
1142.264519	100	1	1	100			-1142.264519	1	NaN	-1142.264519	1	NaN	
1137.144519	100	1	1	100			-1137.144519	1	NaN	-1137.144519	1	NaN	
1132.024519	100	1	1	100			-1132.024519	1	NaN	-1132.024519	1	NaN	
1126.904519	100	1	1	100			-1126.904519	1	NaN	-1126.904519	1	NaN	
1121.784519	100	1	1	100			-1121.784519	1	NaN	-1121.784519	1	NaN	
1116.664519	100	1	1	100			-1116.664519	1	NaN	-1116.664519	1	NaN	
1111.544519	100	1	1	100			-1111.544519	1	NaN	-1111.544519	1	NaN	
1106.424519	100	1	1	100			-1106.424519	1	NaN	-1106.424519	1	NaN	
1101.304519	100	1	1	100			-1101.304519	1	NaN	-1101.304519	1	NaN	
1096.184519	100	1	1	100			-1096.184519	1	NaN	-1096.184519	1	NaN	
1091.064519	100	1	1	100			-1091.064519	1	NaN	-1091.064519	1	NaN	
1085.944519	100	1	1	100			-1085.944519	1	NaN	-1085.944519	1	NaN	
1080.824519	100	1	1	100			-1080.824519	1	NaN	-1080.824519	1	NaN	
1075.704519	100	1	1	100			-1075.704519	1	NaN	-1075.704519	1	NaN	
1070.584519	100	1	1	100			-1070.584519	1	NaN	-1070.584519	1	NaN	
1065.464519	100	1	1	100			-1065.464519	1	NaN	-1065.464519	1	NaN	
1060.344519	100	1	1	100			-1060.344519	1	NaN	-1060.344519	1	NaN	
1055.224519	100	1	1	100			-1055.224519	1	NaN	-1055.224519	1	NaN	
1050.104519	100	1	1	100			-1050.104519	1	NaN	-1050.104519	1	NaN	
1044.984519	100	1	1	100			-1044.984519	1	NaN	-1044.984519	1	NaN	
1039.864519	100	1	1	100			-1039.864519	1	NaN	-1039.864519	1	NaN	
1034.744519	100	1	1	100			-1034.744519	1	NaN	-1034.744519	1	NaN	
1029.624519	100	1	1	100			-1029.624519	1	NaN	-1029.624519	1	NaN	
1024.504519	100	1	1	100			-1024.504519	1	NaN	-1024.504519	1	NaN	
1019.384519	100	1	1	100			-1019.384519	1	NaN	-1019.384519	1	NaN	
1014.264519	100	1	1	100			-1014.264519	1	NaN	-1014.264519	1	NaN	
1009.144519	100	1	1	100			-1009.144519	1	NaN	-1009.144519	1	NaN	
1004.024519	100	1	1	100			-1004.024519	1	NaN	-1004.024519	1	NaN	
998.9045187	100	1	1	100			-998.9045187	1	NaN	-998.9045187	1	NaN	
993.7845187	100	1	1	100			-993.7845187	1	NaN	-993.7845187	1	NaN	
988.6645187	100	1	1	100			-988.6645187	1	NaN	-988.6645187	1	NaN	
983.5445187	100	1	1	100			-983.5445187	1	NaN	-983.5445187	1	NaN	
978.4245187	100	1	1	100			-978.4245187	1	NaN	-978.4245187	1	NaN	
973.3045187	100	1	1	100			-973.3045187	1	NaN	-973.3045187	1	NaN	
968.1845187	100	1	1	100			-968.1845187	1	NaN	-968.1845187	1	NaN	
963.0645187	100	1	1	100			-963.0645187	1	NaN	-963.0645187	1	NaN	
957.9445187	100	1	1	100			-957.9445187	1	NaN	-957.9445187	1	NaN	
