T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
1733.096763	11	1	88	0.4075938269	0.0005567017143	6.19587471	0.5150326201	93.28909267	14.88472403	1.390476147	83.72479982	0	0	0	-1733.096763	0.0005567017143	-341264.119975336	
1733.016763	11	1	88	0.4079312534	0.0005564673792	6.198082312	0.5152595821	93.28665811	14.88956056	1.390963447	83.71947599	0	0	0	-1733.016763	0.0005564673792	-341521.551502095	
1732.936763	11	1	88	0.4082683483	0.0005562332225	6.200289738	0.5154865631	93.2842237	14.89439651	1.391450688	83.7141528	0	0	0	-1732.936763	0.0005562332225	-341781.192181257	
1732.856763	11	1	88	0.4086051119	0.0005559992433	6.202496988	0.5157135633	93.28178945	14.89923189	1.391937868	83.70883025	0	0	0	-1732.856763	0.0005559992433	-342040.277939619	
1732.776763	11	1	88	0.4089415449	0.0005557654412	6.204704062	0.5159405825	93.27935536	14.90406669	1.392424987	83.70350832	0	0	0	-1732.776763	0.0005557654412	-342297.924163494	
1732.696763	11	1	88	0.4092776475	0.0005555318141	6.20691096	0.5161676207	93.27692142	14.90890092	1.392912046	83.69818703	0	0	0	-1732.696763	0.0005555318141	-342555.743116265	
1732.616763	11	1	88	0.4096134203	0.0005552983638	6.209117683	0.5163946781	93.27448764	14.91373458	1.393399045	83.69286637	0	0	0	-1732.616763	0.0005552983638	-342815.050183398	
1732.536763	11	1	88	0.4099488637	0.00055506509	6.211324229	0.5166217545	93.27205402	14.91856767	1.393885984	83.68754635	0	0	0	-1732.536763	0.00055506509	-343073.645693687	
1732.456763	11	1	88	0.4102839782	0.0005548319915	6.2135306	0.51684885	93.26962055	14.92340018	1.394372862	83.68222696	0	0	0	-1732.456763	0.0005548319915	-343333.150794942	
1732.376763	11	1	88	0.4106187641	0.0005545990702	6.215736794	0.5170759646	93.26718724	14.92823212	1.39485968	83.6769082	0	0	0	-1732.376763	0.0005545990702	-343592.675056914	
1732.296763	11	1	88	0.410953222	0.0005543663237	6.217942813	0.5173030982	93.26475409	14.93306349	1.395346438	83.67159007	0	0	0	-1732.296763	0.0005543663237	-343851.635214383	
1732.216763	11	1	88	0.4112873523	0.0005541337531	6.220148655	0.517530251	93.26232109	14.93789429	1.395833135	83.66627258	0	0	0	-1732.216763	0.0005541337531	-344110.687084357	
1732.136763	11	1	88	0.4116211555	0.0005539013569	6.222354322	0.5177574229	93.25988826	14.94272451	1.396319771	83.66095572	0	0	0	-1732.136763	0.0005539013569	-344368.945237229	
1732.056763	11	1	88	0.4119546319	0.000553669135	6.224559813	0.5179846138	93.25745557	14.94755416	1.396806348	83.65563949	0	0	0	-1732.056763	0.000553669135	-344629.00406426	
1731.976763	11	1	88	0.4122877821	0.0005534370894	6.226765127	0.5182118239	93.25502305	14.95238325	1.397292864	83.65032389	0	0	0	-1731.976763	0.0005534370894	-344889.004749734	
1731.896763	11	1	88	0.4126206064	0.0005532052175	6.228970265	0.518439053	93.25259068	14.95721175	1.397779319	83.64500893	0	0	0	-1731.896763	0.0005532052175	-345148.210799699	
1731.816763	11	1	88	0.4129531053	0.0005529735203	6.231175227	0.5186663013	93.25015847	14.96203969	1.398265714	83.6396946	0	0	0	-1731.816763	0.0005529735203	-345409.148749351	
