T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1903.51362	3	97	0.1931502517	0.003330361344	1.285407116	98.71459288	3.428693416	96.57130658					0	0	-1903.51362	0.003330361344	-11200.3993535557	
1903.43362	3	97	0.1958458716	0.003323233917	1.288169914	98.71183009	3.435830595	96.56416941					0	0	-1903.43362	0.003323233917	-11248.2650827776	
1903.35362	3	97	0.1985267774	0.003316136799	1.290932764	98.70906724	3.442967034	96.55703297					0	0	-1903.35362	0.003316136799	-11296.22871498	
1903.27362	3	97	0.2011930803	0.00330906977	1.293695665	98.70630434	3.450102735	96.54989727					0	0	-1903.27362	0.00330906977	-11344.3003290405	
1903.19362	3	97	0.2038448908	0.003302032673	1.296458617	98.70354138	3.457237697	96.5427623					0	0	-1903.19362	0.003302032673	-11392.4798478246	
1903.11362	3	97	0.2064823179	0.003295025292	1.299221621	98.70077838	3.464371922	96.53562808					0	0	-1903.11362	0.003295025292	-11440.7458103198	
1903.03362	3	97	0.2091054699	0.003288047446	1.301984675	98.69801532	3.471505408	96.52849459					0	0	-1903.03362	0.003288047446	-11489.1146737562	
1902.95362	3	97	0.2117144538	0.003281098943	1.304747781	98.69525222	3.478638157	96.52136184					0	0	-1902.95362	0.003281098943	-11537.5907111709	
1902.87362	3	97	0.2143093758	0.00327417961	1.307510937	98.69248906	3.485770168	96.51422983					0	0	-1902.87362	0.00327417961	-11586.1754045889	
1902.79362	3	97	0.2168903409	0.00326728926	1.310274143	98.68972586	3.492901442	96.50709856					0	0	-1902.79362	0.00326728926	-11634.8460388792	
1902.71362	3	97	0.2194574531	0.003260427696	1.3130374	98.6869626	3.500031979	96.49996802					0	0	-1902.71362	0.003260427696	-11683.6307205989	
1902.63362	3	97	0.2220108156	0.003253594767	1.315800708	98.68419929	3.50716178	96.49283822					0	0	-1902.63362	0.003253594767	-11732.5247624809	
1902.55362	3	97	0.2245505306	0.003246790274	1.318564065	98.68143594	3.514290843	96.48570916					0	0	-1902.55362	0.003246790274	-11781.5010861981	
1902.47362	3	97	0.2270766989	0.003240014037	1.321327472	98.67867253	3.521419171	96.47858083					0	0	-1902.47362	0.003240014037	-11830.5783846664	
1902.39362	3	97	0.229589421	0.003233265882	1.324090929	98.67590907	3.528546762	96.47145324					0	0	-1902.39362	0.003233265882	-11879.7779809264	
1902.31362	3	97	0.232088796	0.003226545656	1.326854435	98.67314557	3.535673617	96.46432638					0	0	-1902.31362	0.003226545656	-11929.0741847041	
1902.23362	3	97	0.2345749221	0.003219853159	1.329617991	98.67038201	3.542799737	96.45720026					0	0	-1902.23362	0.003219853159	-11978.4514264093	
1902.15362	3	97	0.2370478968	0.003213188223	1.332381595	98.6676184	3.549925121	96.45007488					0	0	-1902.15362	0.003213188223	-12027.9517259202	
1902.07362	3	97	0.2395078166	0.003206550698	1.335145249	98.66485475	3.55704977	96.44295023					0	0	-1902.07362	0.003206550698	-12077.5525595417	
1901.99362	3	97	0.2419547768	0.003199940394	1.337908952	98.66209105	3.564173684	96.43582632					0	0	-1901.99362	0.003199940394	-12127.2454558029	
1901.91362	3	97	0.2443888723	0.003193357154	1.340672704	98.6593273	3.571296863	96.42870314					0	0	-1901.91362	0.003193357154	-12177.0504782049	
1901.83362	3	97	0.2468101968	0.003186800813	1.343436504	98.6565635	3.578419307	96.42158069					0	0	-1901.83362	0.003186800813	-12226.951328922	
1901.75362	3	97	0.2492188432	0.003180271199	1.346200352	98.65379965	3.585541017	96.41445898					0	0	-1901.75362	0.003180271199	-12276.9511252718	
1901.67362	3	97	0.2516149034	0.003173768153	1.348964249	98.65103575	3.592661993	96.40733801					0	0	-1901.67362	0.003173768153	-12327.0518478593	
1901.59362	3	97	0.2539984688	0.003167291508	1.351728193	98.64827181	3.599782235	96.40021777					0	0	-1901.59362	0.003167291508	-12377.2636194107	
1901.51362	3	97	0.2563696296	0.003160841118	1.354492186	98.64550781	3.606901743	96.39309826					0	0	-1901.51362	0.003160841118	-12427.5779739812	
1901.43362	3	97	0.2587284754	0.00315441681	1.357256226	98.64274377	3.614020518	96.38597948					0	0	-1901.43362	0.00315441681	-12477.9879312681	
1901.35362	3	97	0.2610750947	0.003148018433	1.360020314	98.63997969	3.621138559	96.37886144					0	0	-1901.35362	0.003148018433	-12528.5053095308	
1901.27362	3	97	0.2634095756	0.003141645829	1.36278445	98.63721555	3.628255867	96.37174413					0	0	-1901.27362	0.003141645829	-12579.1039217043	
1901.19362	3	97	0.2657320049	0.003135298823	1.365548632	98.63445137	3.635372442	96.36462756					0	0	-1901.19362	0.003135298823	-12629.8212364115	
1901.11362	3	97	0.2680424691	0.003128977297	1.368312862	98.63168714	3.642488285	96.35751171					0	0	-1901.11362	0.003128977297	-12680.6441150263	
1901.03362	3	97	0.2703410535	0.003122681066	1.371077138	98.62892286	3.649603395	96.3503966					0	0	-1901.03362	0.003122681066	-12731.5671599158	
1900.95362	3	97	0.2726278429	0.003116410008	1.373841462	98.62615854	3.656717773	96.34328223					0	0	-1900.95362	0.003116410008	-12782.5940162441	
1900.87362	3	97	0.2749029211	0.003110163945	1.376605832	98.62339417	3.663831419	96.33616858					0	0	-1900.87362	0.003110163945	-12833.7117566133	
1900.79362	3	97	0.2771663713	0.003103942744	1.379370248	98.62062975	3.670944333	96.32905567					0	0	-1900.79362	0.003103942744	-12884.9367659869	
1900.71362	3	97	0.279418276	0.003097746246	1.382134711	98.61786529	3.678056516	96.32194348					0	0	-1900.71362	0.003097746246	-12936.2534315832	
1900.63362	3	97	0.2816587167	0.003091574305	1.384899219	98.61510078	3.685167967	96.31483203					0	0	-1900.63362	0.003091574305	-12987.6917659043	
1900.55362	3	97	0.2838877744	0.003085426793	1.387663774	98.61233623	3.692278687	96.30772131					0	0	-1900.55362	0.003085426793	-13039.2269863141	
1900.47362	3	97	0.2861055293	0.003079303543	1.390428374	98.60957163	3.699388676	96.30061132					0	0	-1900.47362	0.003079303543	-13090.8539383026	
1900.39362	3	97	0.2883120608	0.003073204424	1.39319302	98.60680698	3.706497934	96.29350207					0	0	-1900.39362	0.003073204424	-13142.5867229351	
