T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2#1)	fw(@BCC_A2#2)	w(CU@BCC_A2#1)	w(FE@BCC_A2#1)	w(TI@BCC_A2#1)	w(CU@BCC_A2#2)	w(FE@BCC_A2#2)	w(TI@BCC_A2#2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2#1)_1	fw(@BCC_A2#2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI								
1351.640959	4	10	86	0.7847361454	0.01099938191		3.10909516	15.5944123	81.29649254				9.415245118	19.4622675	71.12248738	0	0	0	-1351.640959	0.7847361454	1048.36932901815	-1351.640959	0.01099938191			
1349.080959	4	10	86	0.7871727212	0.01107528043		3.106124345	15.72587729	81.16799836				9.485903011	19.50411225	71.00998474	0	0	0	-1349.080959	0.7871727212	1052.93090902546	-1349.080959	0.01107528043			
1346.520959	4	10	86	0.7895988079	0.01115318575		3.102945412	15.85823306	81.03882152				9.557896333	19.5452338	70.89686987	0	0	0	-1346.520959	0.7895988079	1057.45554105181	-1346.520959	0.01115318575			
1343.960959	4	10	86	0.7920145763	0.01123311723		3.099559665	15.99147395	80.90896638				9.631267835	19.58560686	70.78312531	0	0	0	-1343.960959	0.7920145763	1061.94624929933	-1343.960959	0.01123311723			
1341.400959	4	10	86	0.794420187	0.01131509376		3.09596848	16.12559367	80.77843785				9.706061719	19.62520502	70.66873326	0	0	0	-1341.400959	0.794420187	1066.40631266591	-1341.400959	0.01131509376			
1338.840959	4	10	86	0.7968157899	0.01139913394		3.092173299	16.26058529	80.64724142				9.782323701	19.66400074	70.55367555	0	0	0	-1338.840959	0.7968157899	1070.83908641787	-1338.840959	0.01139913394			
1336.280959	4	10	86	0.799201525	0.01148525595		3.088175624	16.3964412	80.51538317				9.860101063	19.70196526	70.43793368	0	0	0	-1336.280959	0.799201525	1075.24811773852	-1336.280959	0.01148525595			
1333.720959	4	10	86	0.8015775214	0.01157347754		3.083977015	16.53315317	80.38286981				9.939442709	19.73906857	70.32148872	0	0	0	-1333.720959	0.8015775214	1079.63718665411	-1333.720959	0.01157347754			
1331.160959	4	10	86	0.8039438979	0.01166381607		3.079579081	16.67071228	80.24970864				10.02039923	19.77527939	70.20432138	0	0	0	-1331.160959	0.8039438979	1084.01015372361	-1331.160959	0.01166381607			
1328.600959	4	10	86	0.8063007627	0.01175628849		3.074983475	16.80910892	80.11590761				10.10302297	19.81056508	70.08641196	0	0	0	-1328.600959	0.8063007627	1088.37111743594	-1328.600959	0.01175628849			
