T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1778.285967	12	1	87	0.02720829055	0.0007268058324	4.973833761	0.3585933831	94.66757286	12.19392099	1.017695944	86.78838307							0	0	0	-1778.285967	0.0007268058324	-210278.727963122	
1778.205967	12	1	87	0.02792862059	0.0007264255687	4.976164603	0.3587929391	94.66504246	12.19916796	1.018174936	86.7826571							0	0	0	-1778.205967	0.0007264255687	-210482.851186953	
1778.125967	12	1	87	0.02864804655	0.0007260456751	4.97849529	0.3589925122	94.6625122	12.20441431	1.01865388	86.77693181							0	0	0	-1778.125967	0.0007260456751	-210686.506917828	
1778.045967	12	1	87	0.02936656998	0.0007256661462	4.980825821	0.3591921024	94.65998208	12.20966003	1.019132777	86.77120719							0	0	0	-1778.045967	0.0007256661462	-210890.228729136	
1777.965967	12	1	87	0.03008419246	0.0007252869862	4.983156197	0.3593917095	94.65745209	12.21490512	1.019611625	86.76548325							0	0	0	-1777.965967	0.0007252869862	-211094.647319825	
1777.885967	12	1	87	0.03080091557	0.000724908192	4.985486418	0.3595913337	94.65492225	12.22014959	1.020090427	86.75975998							0	0	0	-1777.885967	0.000724908192	-211298.599219924	
1777.805967	12	1	87	0.03151674086	0.0007245297636	4.987816483	0.359790975	94.65239254	12.22539343	1.02056918	86.75403739							0	0	0	-1777.805967	0.0007245297636	-211503.253741865	
1777.725967	12	1	87	0.0322316699	0.0007241517021	4.990146392	0.3599906333	94.64986297	12.23063664	1.021047885	86.74831547							0	0	0	-1777.725967	0.0007241517021	-211707.265430045	
1777.645967	12	1	87	0.03294570425	0.0007237740027	4.992476146	0.3601903086	94.64733354	12.23587923	1.021526543	86.74259423							0	0	0	-1777.645967	0.0007237740027	-211912.210573214	
1777.565967	12	1	87	0.03365884545	0.0007233966721	4.994805745	0.360390001	94.64480425	12.24112119	1.022005153	86.73687366							0	0	0	-1777.565967	0.0007233966721	-212116.700358213	
1777.485967	12	1	87	0.03437109507	0.0007230197006	4.997135188	0.3605897104	94.6422751	12.24636252	1.022483716	86.73115376							0	0	0	-1777.485967	0.0007230197006	-212321.031124599	
1777.405967	12	1	87	0.03508245464	0.0007226430959	4.999464475	0.3607894369	94.63974609	12.25160323	1.02296223	86.72543454							0	0	0	-1777.405967	0.0007226430959	-212526.624351591	
1777.325967	12	1	87	0.03579292572	0.0007222668534	5.001793607	0.3609891804	94.63721721	12.25684331	1.023440697	86.71971599							0	0	0	-1777.325967	0.0007222668534	-212731.062513426	
1777.245967	12	1	87	0.03650250984	0.0007218909722	5.004122582	0.3611889409	94.63468848	12.26208277	1.023919115	86.71399812							0	0	0	-1777.245967	0.0007218909722	-212936.008924232	
1777.165967	12	1	87	0.03721120854	0.0007215154536	5.006451402	0.3613887185	94.63215988	12.2673216	1.024397486	86.70828092							0	0	0	-1777.165967	0.0007215154536	-213140.751784727	
1777.085967	12	1	87	0.03791902335	0.0007211402942	5.008780066	0.3615885131	94.62963142	12.2725598	1.024875809	86.70256439							0	0	0	-1777.085967	0.0007211402942	-213345.464934235	
1777.005967	12	1	87	0.03862595581	0.0007207654959	5.011108574	0.3617883248	94.6271031	12.27779738	1.025354085	86.69684854							0	0	0	-1777.005967	0.0007207654959	-213551.797594941	
1776.925967	12	1	87	0.03933200744	0.0007203910611	5.013436926	0.3619881535	94.62457492	12.28303433	1.025832312	86.69113336							0	0	0	-1776.925967	0.0007203910611	-213757.468423547	
1776.845967	12	1	87	0.04003717977	0.0007200169837	5.015765123	0.3621879992	94.62204688	12.28827066	1.026310491	86.68541885							0	0	0	-1776.845967	0.0007200169837	-213962.166462808	
1776.765967	12	1	87	0.04074147431	0.000719643265	5.018093163	0.362387862	94.61951898	12.29350636	1.026788623	86.67970502							0	0	0	-1776.765967	0.000719643265	-214167.715053268	
1776.685967	12	1	87	0.04144489259	0.0007192699053	5.020421047	0.3625877418	94.61699121	12.29874143	1.027266706	86.67399186							0	0	0	-1776.685967	0.0007192699053	-214372.910409775	
1776.605967	12	1	87	0.04214743611	0.0007188969017	5.022748775	0.3627876386	94.61446359	12.30397589	1.027744741	86.66827937							0	0	0	-1776.605967	0.0007188969017	-214578.96386859	
1776.525967	12	1	87	0.04284910639	0.0007185242587	5.025076346	0.3629875525	94.6119361	12.30920971	1.028222729	86.66256756							0	0	0	-1776.525967	0.0007185242587	-214785.784381924	
