T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fs_1	-T//fs	-T_1	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI							
1029.557018	9	91	0.9548384504	0.002949582326	26.37257946	73.62742054	48.98117198	51.01882802	0	0	-1029.557018	0.9548384504	18071.7688548551	-1029.557018	0.002949582326	-325362.808324943	
1026.997018	9	91	0.9549796989	0.002941779234	26.45008177	73.54991823	49.04764896	50.95235104	0	0	-1026.997018	0.9549796989	18176.6076901296	-1026.997018	0.002941779234	-330938.505311404	
1024.437018	9	91	0.9551201358	0.002934108896	26.5278954	73.4721046	49.11391874	50.88608126	0	0	-1024.437018	0.9551201358	18281.2272831378	-1024.437018	0.002934108896	-336728.725668525	
1021.877018	9	91	0.9552597722	0.002926571782	26.60602595	73.39397405	49.17998298	50.82001702	0	0	-1021.877018	0.9552597722	18385.6057482917	-1021.877018	0.002926571782	-342747.761478192	
1019.317018	9	91	0.955398619	0.002919168403	26.68447906	73.31552094	49.24584333	50.75415667	0	0	-1019.317018	0.955398619	18489.7272592645	-1019.317018	0.002919168403	-349011.300485906	
1016.757018	9	91	0.9555366871	0.002911899312	26.76326053	73.23673947	49.31150147	50.68849853	0	0	-1016.757018	0.9555366871	18593.583182226	-1016.757018	0.002911899312	-355536.471742995	
1014.197018	9	91	0.9556739871	0.002904765104	26.8423762	73.1576238	49.37695907	50.62304093	0	0	-1014.197018	0.9556739871	18697.1510050784	-1014.197018	0.002904765104	-362341.988422785	
1011.637018	9	91	0.9558105298	0.002897766416	26.92183205	73.07816795	49.44221782	50.55778218	0	0	-1011.637018	0.9558105298	18800.4017783838	-1011.637018	0.002897766416	-369448.473056671	
1009.077018	9	91	0.9559463258	0.002890903932	27.00163417	72.99836583	49.50727942	50.49272058	0	0	-1009.077018	0.9559463258	18903.3266102082	-1009.077018	0.002890903932	-376878.573558092	
1006.517018	9	91	0.9560813856	0.002884178379	27.08178873	72.91821127	49.57214555	50.42785445	0	0	-1006.517018	0.9560813856	19005.9029141858	-1006.517018	0.002884178379	-384657.327063486	
1003.957018	9	91	0.9562157197	0.002877590535	27.16230204	72.83769796	49.63681794	50.36318206	0	0	-1003.957018	0.9562157197	19108.1080781836	-1003.957018	0.002877590535	-392812.38442577	
1001.397018	9	91	0.9563493385	0.002871141223	27.24318052	72.75681948	49.7012983	50.2987017	0	0	-1001.397018	0.9563493385	19209.9326082473	-1001.397018	0.002871141223	-401374.303922498	
998.8370183	9	91	0.9564822522	0.002864831317	27.32443068	72.67556932	49.76558837	50.23441163	0	0	-998.8370183	0.9564822522	19311.3412742824	-998.8370183	0.002864831317	-410377.321918588	
996.2770183	9	91	0.9566144713	0.002858661745	27.4060592	72.5939408	49.82968988	50.17031012	0	0	-996.2770183	0.9566144713	19412.3188802175	-996.2770183	0.002858661745	-419859.443831059	
993.7170183	9	91	0.9567460058	0.002852633486	27.48807283	72.51192717	49.89360459	50.10639541	0	0	-993.7170183	0.9567460058	19512.8469580946	-993.7170183	0.002852633486	-429863.055068229	
991.1570183	9	91	0.956876866	0.002846747574	27.57047849	72.42952151	49.95733425	50.04266575	0	0	-991.1570183	0.956876866	19612.8966442196	-991.1570183	0.002846747574	-440435.871003154	
988.5970183	9	91	0.9570070619	0.0028410051	27.65328321	72.34671679	50.02088065	49.97911935	0	0	-988.5970183	0.9570070619	19712.4596222259	-988.5970183	0.0028410051	-451631.553061036	
986.0370183	9	91	0.9571366035	0.002835407213	27.73649417	72.26350583	50.08424556	49.91575444	0	0	-986.0370183	0.9571366035	19811.4898451031	-986.0370183	0.002835407213	-463510.782218818	
983.4770183	9	91	0.957265501	0.002829955124	27.82011866	72.17988134	50.1474308	49.8525692	0	0	-983.4770183	0.957265501	19909.9718551472	-983.4770183	0.002829955124	-476142.372759806	
980.9170183	9	91	0.9573937642	0.002824650106	27.90416413	72.09583587	50.21043815	49.78956185	0	0	-980.9170183	0.9573937642	20007.8974179746	-980.9170183	0.002824650106	-489604.494178086	
978.3570183	9	91	0.957521403	0.002819493494	27.98863818	72.01136182	50.27326947	49.72673053	0	0	-978.3570183	0.957521403	20105.2197710666	-978.3570183	0.002819493494	-503986.738689951	
975.7970183	9	91	0.9576484274	0.002814486693	28.07354856	71.92645144	50.33592658	49.66407342	0	0	-975.7970183	0.9576484274	20201.9153481896	-975.7970183	0.002814486693	-519392.045663949	
973.2370183	9	91	0.9577748472	0.002809631175	28.15890315	71.84109685	50.39841133	49.60158867	0	0	-973.2370183	0.9577748472	20297.9682343941	-973.2370183	0.002809631175	-535939.282662507	
970.6770183	9	91	0.9579006722	0.002804928486	28.24471002	71.75528998	50.46072561	49.53927439	0	0	-970.6770183	0.9579006722	20393.3549246265	-970.6770183	0.002804928486	-553766.364514938	
968.1170183	9	91	0.9580259121	0.002800380243	28.33097738	71.66902262	50.52287129	49.47712871	0	0	-968.1170183	0.9580259121	20488.0352301252	-968.1170183	0.002800380243	-573034.368389014	
965.5570183	9	91	0.9581505768	0.002795988142	28.41771361	71.58228639	50.58485029	49.41514971	0	0	-965.5570183	0.9581505768	20581.9771948142	-965.5570183	0.002795988142	-593932.71342421	
962.9970183	9	91	0.958274676	0.002791753958	28.50492728	71.49507272	50.64666452	49.35333548	0	0	-962.9970183	0.958274676	20675.1732818791	-962.9970183	0.002791753958	-616685.094078146	
960.4370183	9	91	0.9583982193	0.002787679545	28.5926271	71.4073729	50.70831591	49.29168409	0	0	-960.4370183	0.9583982193	20767.5742815005	-960.4370183	0.002787679545	-641559.179231512	
