T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1664.22687	12	6	82	0.02054226114	0.0003880703755	5.324260855	2.494849866	92.18088928	12.13755044	6.072302764	81.79014679										0	0	0	-1664.22687	0.0003880703755	-662541.632402342	
1664.14687	12	6	82	0.02093089541	0.0003879496639	5.325542973	2.495680077	92.17877695	12.14019418	6.073690852	81.78611496										0	0	0	-1664.14687	0.0003879496639	-662944.089855604	
1664.06687	12	6	82	0.02131925638	0.0003878290278	5.326824928	2.496510374	92.1766647	12.14283763	6.075078724	81.78208365										0	0	0	-1664.06687	0.0003878290278	-663354.992370655	
1663.98687	12	6	82	0.02170734435	0.0003877084657	5.328106721	2.497340758	92.17455252	12.14548078	6.076466381	81.77805283										0	0	0	-1663.98687	0.0003877084657	-663761.727816947	
1663.90687	12	6	82	0.02209515957	0.0003875879774	5.32938835	2.498171228	92.17244042	12.14812364	6.077853822	81.77402253										0	0	0	-1663.90687	0.0003875879774	-664166.203343355	
1663.82687	12	6	82	0.02248270234	0.0003874675621	5.330669817	2.499001785	92.1703284	12.15076621	6.079241048	81.76999274										0	0	0	-1663.82687	0.0003874675621	-664569.519279883	
1663.74687	12	6	82	0.02286997291	0.00038734722	5.331951122	2.499832429	92.16821645	12.15340848	6.080628059	81.76596346										0	0	0	-1663.74687	0.00038734722	-664976.921208076	
1663.66687	12	6	82	0.02325697157	0.0003872269522	5.333232263	2.500663158	92.16610458	12.15605046	6.082014854	81.76193469										0	0	0	-1663.66687	0.0003872269522	-665387.863043529	
1663.58687	12	6	82	0.02364369858	0.0003871067587	5.334513241	2.501493975	92.16399278	12.15869215	6.083401434	81.75790642										0	0	0	-1663.58687	0.0003871067587	-665794.874820348	
1663.50687	12	6	82	0.02403015423	0.0003869866379	5.335794057	2.502324878	92.16188106	12.16133354	6.084787799	81.75387866										0	0	0	-1663.50687	0.0003869866379	-666202.951161565	
1663.42687	12	6	82	0.02441633879	0.0003868665916	5.337074709	2.503155868	92.15976942	12.16397464	6.086173948	81.74985141										0	0	0	-1663.42687	0.0003868665916	-666609.013198508	
