T	w(AL)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(AL@LIQUID)	dwdT_L(AL@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	mole/mole	kg/kg	%	%	SI				
887.8708328	100	1	1	100			-887.8708328	1	NaN	
887.7108328	100	1	1	100			-887.7108328	1	NaN	
887.5508328	100	1	1	100			-887.5508328	1	NaN	
887.3908328	100	1	1	100			-887.3908328	1	NaN	
887.2308328	100	1	1	100			-887.2308328	1	NaN	
887.0708328	100	1	1	100			-887.0708328	1	NaN	
886.9108328	100	1	1	100			-886.9108328	1	NaN	
886.7508328	100	1	1	100			-886.7508328	1	NaN	
886.5908328	100	1	1	100			-886.5908328	1	NaN	
886.4308328	100	1	1	100			-886.4308328	1	NaN	
886.2708328	100	1	1	100			-886.2708328	1	NaN	
886.1108328	100	1	1	100			-886.1108328	1	NaN	
885.9508328	100	1	1	100			-885.9508328	1	NaN	
885.7908328	100	1	1	100			-885.7908328	1	NaN	
885.6308328	100	1	1	100			-885.6308328	1	NaN	
885.4708328	100	1	1	100			-885.4708328	1	NaN	
885.3108328	100	1	1	100			-885.3108328	1	NaN	
885.1508328	100	1	1	100			-885.1508328	1	NaN	
884.9908328	100	1	1	100			-884.9908328	1	NaN	
884.8308328	100	1	1	100			-884.8308328	1	NaN	
884.6708328	100	1	1	100			-884.6708328	1	NaN	
884.5108328	100	1	1	100			-884.5108328	1	NaN	
884.3508328	100	1	1	100			-884.3508328	1	NaN	
884.1908328	100	1	1	100			-884.1908328	1	NaN	
884.0308328	100	1	1	100			-884.0308328	1	NaN	
883.8708328	100	1	1	100			-883.8708328	1	NaN	
883.7108328	100	1	1	100			-883.7108328	1	NaN	
883.5508328	100	1	1	100			-883.5508328	1	NaN	
883.3908328	100	1	1	100			-883.3908328	1	NaN	
883.2308328	100	1	1	100			-883.2308328	1	NaN	
883.0708328	100	1	1	100			-883.0708328	1	NaN	
882.9108328	100	1	1	100			-882.9108328	1	NaN	
882.7508328	100	1	1	100			-882.7508328	1	NaN	
882.5908328	100	1	1	100			-882.5908328	1	NaN	
882.4308328	100	1	1	100			-882.4308328	1	NaN	
882.2708328	100	1	1	100			-882.2708328	1	NaN	
882.1108328	100	1	1	100			-882.1108328	1	NaN	
881.9508328	100	1	1	100			-881.9508328	1	NaN	
881.7908328	100	1	1	100			-881.7908328	1	NaN	
881.6308328	100	1	1	100			-881.6308328	1	NaN	
881.4708328	100	1	1	100			-881.4708328	1	NaN	
881.3108328	100	1	1	100			-881.3108328	1	NaN	
881.1508328	100	1	1	100			-881.1508328	1	NaN	
880.9908328	100	1	1	100			-880.9908328	1	NaN	
880.8308328	100	1	1	100			-880.8308328	1	NaN	
880.6708328	100	1	1	100			-880.6708328	1	NaN	
880.5108328	100	1	1	100			-880.5108328	1	NaN	
880.3508328	100	1	1	100			-880.3508328	1	NaN	
880.1908328	100	1	1	100			-880.1908328	1	NaN	
880.0308328	100	1	1	100			-880.0308328	1	NaN	
879.8708328	100	1	1	100			-879.8708328	1	NaN	
879.7108328	100	1	1	100			-879.7108328	1	NaN	
879.5508328	100	1	1	100			-879.5508328	1	NaN	
879.3908328	100	1	1	100			-879.3908328	1	NaN	
879.2308328	100	1	1	100			-879.2308328	1	NaN	
879.0708328	100	1	1	100			-879.0708328	1	NaN	
878.9108328	100	1	1	100			-878.9108328	1	NaN	
878.7508328	100	1	1	100			-878.7508328	1	NaN	
878.5908328	100	1	1	100			-878.5908328	1	NaN	
878.4308328	100	1	1	100			-878.4308328	1	NaN	
878.2708328	100	1	1	100			-878.2708328	1	NaN	
878.1108328	100	1	1	100			-878.1108328	1	NaN	
877.9508328	100	1	1	100			-877.9508328	1	NaN	
877.7908328	100	1	1	100			-877.7908328	1	NaN	
877.6308328	100	1	1	100			-877.6308328	1	NaN	
877.4708328	100	1	1	100			-877.4708328	1	NaN	
877.3108328	100	1	1	100			-877.3108328	1	NaN	
877.1508328	100	1	1	100			-877.1508328	1	NaN	
876.9908328	100	1	1	100			-876.9908328	1	NaN	
876.8308328	100	1	1	100			-876.8308328	1	NaN	
876.6708328	100	1	1	100			-876.6708328	1	NaN	
876.5108328	100	1	1	100			-876.5108328	1	NaN	
876.3508328	100	1	1	100			-876.3508328	1	NaN	
876.1908328	100	1	1	100			-876.1908328	1	NaN	
876.0308328	100	1	1	100			-876.0308328	1	NaN	
875.8708328	100	1	1	100			-875.8708328	1	NaN	
875.7108328	100	1	1	100			-875.7108328	1	NaN	
875.5508328	100	1	1	100			-875.5508328	1	NaN	
875.3908328	100	1	1	100			-875.3908328	1	NaN	
875.2308328	100	1	1	100			-875.2308328	1	NaN	
875.0708328	100	1	1	100			-875.0708328	1	NaN	
874.9108328	100	1	1	100			-874.9108328	1	NaN	
874.7508328	100	1	1	100			-874.7508328	1	NaN	
874.5908328	100	1	1	100			-874.5908328	1	NaN	
874.4308328	100	1	1	100			-874.4308328	1	NaN	
874.2708328	100	1	1	100			-874.2708328	1	NaN	
874.1108328	100	1	1	100			-874.1108328	1	NaN	
873.9508328	100	1	1	100			-873.9508328	1	NaN	
873.7908328	100	1	1	100			-873.7908328	1	NaN	
873.6308328	100	1	1	100			-873.6308328	1	NaN	
873.4708328	100	1	1	100			-873.4708328	1	NaN	
873.3108328	100	1	1	100			-873.3108328	1	NaN	
873.1508328	100	1	1	100			-873.1508328	1	NaN	
872.9908328	100	1	1	100			-872.9908328	1	NaN	
872.8308328	100	1	1	100			-872.8308328	1	NaN	
872.6708328	100	1	1	100			-872.6708328	1	NaN	
872.5108328	100	1	1	100			-872.5108328	1	NaN	
872.3508328	100	1	1	100			-872.3508328	1	NaN	
872.1908328	100	1	1	100			-872.1908328	1	NaN	
872.0308328	100	1	1	100			-872.0308328	1	NaN	
871.8708328	100	1	1	100			-871.8708328	1	NaN	
871.7108328	100	1	1	100			-871.7108328	1	NaN	
871.5508328	100	1	1	100			-871.5508328	1	NaN	
871.3908328	100	1	1	100			-871.3908328	1	NaN	
871.2308328	100	1	1	100			-871.2308328	1	NaN	
871.0708328	100	1	1	100			-871.0708328	1	NaN	
870.9108328	100	1	1	100			-870.9108328	1	NaN	
870.7508328	100	1	1	100			-870.7508328	1	NaN	
870.5908328	100	1	1	100			-870.5908328	1	NaN	
870.4308328	100	1	1	100			-870.4308328	1	NaN	
870.2708328	100	1	1	100			-870.2708328	1	NaN	
870.1108328	100	1	1	100			-870.1108328	1	NaN	
869.9508328	100	1	1	100			-869.9508328	1	NaN	
869.7908328	100	1	1	100			-869.7908328	1	NaN	
869.6308328	100	1	1	100			-869.6308328	1	NaN	
869.4708328	100	1	1	100			-869.4708328	1	NaN	
869.3108328	100	1	1	100			-869.3108328	1	NaN	
869.1508328	100	1	1	100			-869.1508328	1	NaN	
868.9908328	100	1	1	100			-868.9908328	1	NaN	
868.8308328	100	1	1	100			-868.8308328	1	NaN	
868.6708328	100	1	1	100			-868.6708328	1	NaN	
868.5108328	100	1	1	100			-868.5108328	1	NaN	
868.3508328	100	1	1	100			-868.3508328	1	NaN	
868.1908328	100	1	1	100			-868.1908328	1	NaN	
868.0308328	100	1	1	100			-868.0308328	1	NaN	
867.8708328	100	1	1	100			-867.8708328	1	NaN	
867.7108328	100	1	1	100			-867.7108328	1	NaN	
867.5508328	100	1	1	100			-867.5508328	1	NaN	
867.3908328	100	1	1	100			-867.3908328	1	NaN	
867.2308328	100	1	1	100			-867.2308328	1	NaN	
867.0708328	100	1	1	100			-867.0708328	1	NaN	
866.9108328	100	1	1	100			-866.9108328	1	NaN	
866.7508328	100	1	1	100			-866.7508328	1	NaN	
866.5908328	100	1	1	100			-866.5908328	1	NaN	
866.4308328	100	1	1	100			-866.4308328	1	NaN	
866.2708328	100	1	1	100			-866.2708328	1	NaN	
866.1108328	100	1	1	100			-866.1108328	1	NaN	
865.9508328	100	1	1	100			-865.9508328	1	NaN	
865.7908328	100	1	1	100			-865.7908328	1	NaN	
865.6308328	100	1	1	100			-865.6308328	1	NaN	
865.4708328	100	1	1	100			-865.4708328	1	NaN	
865.3108328	100	1	1	100			-865.3108328	1	NaN	
865.1508328	100	1	1	100			-865.1508328	1	NaN	
864.9908328	100	1	1	100			-864.9908328	1	NaN	
864.8308328	100	1	1	100			-864.8308328	1	NaN	
864.6708328	100	1	1	100			-864.6708328	1	NaN	
864.5108328	100	1	1	100			-864.5108328	1	NaN	
864.3508328	100	1	1	100			-864.3508328	1	NaN	
864.1908328	100	1	1	100			-864.1908328	1	NaN	
864.0308328	100	1	1	100			-864.0308328	1	NaN	
863.8708328	100	1	1	100			-863.8708328	1	NaN	
863.7108328	100	1	1	100			-863.7108328	1	NaN	
863.5508328	100	1	1	100			-863.5508328	1	NaN	
863.3908328	100	1	1	100			-863.3908328	1	NaN	
863.2308328	100	1	1	100			-863.2308328	1	NaN	
863.0708328	100	1	1	100			-863.0708328	1	NaN	
862.9108328	100	1	1	100			-862.9108328	1	NaN	
862.7508328	100	1	1	100			-862.7508328	1	NaN	
862.5908328	100	1	1	100			-862.5908328	1	NaN	
862.4308328	100	1	1	100			-862.4308328	1	NaN	
862.2708328	100	1	1	100			-862.2708328	1	NaN	
862.1108328	100	1	1	100			-862.1108328	1	NaN	
861.9508328	100	1	1	100			-861.9508328	1	NaN	
861.7908328	100	1	1	100			-861.7908328	1	NaN	
861.6308328	100	1	1	100			-861.6308328	1	NaN	
861.4708328	100	1	1	100			-861.4708328	1	NaN	
861.3108328	100	1	1	100			-861.3108328	1	NaN	
861.1508328	100	1	1	100			-861.1508328	1	NaN	
860.9908328	100	1	1	100			-860.9908328	1	NaN	
860.8308328	100	1	1	100			-860.8308328	1	NaN	
860.6708328	100	1	1	100			-860.6708328	1	NaN	
860.5108328	100	1	1	100			-860.5108328	1	NaN	
860.3508328	100	1	1	100			-860.3508328	1	NaN	
860.1908328	100	1	1	100			-860.1908328	1	NaN	
860.0308328	100	1	1	100			-860.0308328	1	NaN	
859.8708328	100	1	1	100			-859.8708328	1	NaN	
859.7108328	100	1	1	100			-859.7108328	1	NaN	
859.5508328	100	1	1	100			-859.5508328	1	NaN	
859.3908328	100	1	1	100			-859.3908328	1	NaN	
859.2308328	100	1	1	100			-859.2308328	1	NaN	
859.0708328	100	1	1	100			-859.0708328	1	NaN	
858.9108328	100	1	1	100			-858.9108328	1	NaN	
858.7508328	100	1	1	100			-858.7508328	1	NaN	
858.5908328	100	1	1	100			-858.5908328	1	NaN	
858.4308328	100	1	1	100			-858.4308328	1	NaN	
858.2708328	100	1	1	100			-858.2708328	1	NaN	
858.1108328	100	1	1	100			-858.1108328	1	NaN	
857.9508328	100	1	1	100			-857.9508328	1	NaN	
857.7908328	100	1	1	100			-857.7908328	1	NaN	
857.6308328	100	1	1	100			-857.6308328	1	NaN	
857.4708328	100	1	1	100			-857.4708328	1	NaN	
857.3108328	100	1	1	100			-857.3108328	1	NaN	
857.1508328	100	1	1	100			-857.1508328	1	NaN	
856.9908328	100	1	1	100			-856.9908328	1	NaN	
856.8308328	100	1	1	100			-856.8308328	1	NaN	
856.6708328	100	1	1	100			-856.6708328	1	NaN	
856.5108328	100	1	1	100			-856.5108328	1	NaN	
856.3508328	100	1	1	100			-856.3508328	1	NaN	
