T	w(AL)	w(CU)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
821.0966932	95	5	0.9027629354	0.004596145408	94.2517141	5.748285897	66.77896917	33.22103083			0	0	-821.0966932	0.004596145408	-138.078426746931	
820.7766932	95	5	0.903029073	0.002289806563	94.2228028	5.777197203	66.71604309	33.28395691			0	0	-820.7766932	0.002289806563	-71.6925200659441	
820.7566932	95	5	0.9030458562	0.0001446518489	94.22098945	5.779010555	66.71211491	33.28788509			0	0	-820.7566932	0.0001446518489	-132.347576282765	
820.7466932	95	5	0.9030541363	7.141729499E-05	94.22008251	5.77991749	66.71014986	33.28985014			0	0	-820.7466932	7.141729499E-05	-136.572063271939	
820.7266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-820.7266932	0.4084807595	0.0489704762677597	
820.7066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-820.7066932	0.4084807595	NaN	
820.6666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-820.6666932	0.4084807595	NaN	
820.5866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-820.5866932	0.4084807595	NaN	
820.4266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-820.4266932	0.4084807595	NaN	
820.1066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-820.1066932	0.4084807595	NaN	
819.4666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-819.4666932	0.4084807595	NaN	
818.1866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-818.1866932	0.4084807595	NaN	
815.6266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-815.6266932	0.4084807595	NaN	
810.5066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-810.5066932	0.4084807595	NaN	
805.3866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-805.3866932	0.4084807595	NaN	
800.2666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-800.2666932	0.4084807595	NaN	
795.1466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-795.1466932	0.4084807595	NaN	
790.0266932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-790.0266932	0.4084807595	NaN	
784.9066932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-784.9066932	0.4084807595	NaN	
779.7866932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-779.7866932	0.4084807595	NaN	
774.6666932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-774.6666932	0.4084807595	NaN	
769.5466932	95	5	1	0.4084807595	94.21957984	5.780420161			47.71318051	52.28681949			-769.5466932	0.4084807595	NaN	
