T	w(AL)	w(CU)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI					
787.7184698	94	6	0.9606415854		0.3494764801			60.81169469	39.18830531	60.71457049	39.28542951			0.03677091462	-0.03677091462	0	0	-787.7184698		0.3494764801		
787.7084698	94	6	0.9744023369		0.3495609706			60.74220419	39.25779581	60.70057257	39.29942743			0.01448946985	-0.01448946985	0	0	-787.7084698		0.3495609706		
787.6984698	94	6	0.9836246816		0.3602631766			60.71676478	39.28323522	60.69532987	39.30467013			0.006586063101	-0.006586063101	0	0	-787.6984698		0.3602631766		
787.6884698	94	6	0.9895247012		0.3602803194			60.70415271	39.29584729	60.69266185	39.30733815			0.003429028433	-0.003429028433	0	0	-787.6884698		0.3602803194		
787.6784698	94	6	0.9932989502		0.3602880289			60.69838814	39.30161186	60.69137544	39.30862456			0.002036173101	-0.002036173101	0	0	-787.6784698		0.3602880289		
787.6684698	94	6	0.9957133387		0.3602954214			60.69282928	39.30717072	60.69013036	39.30986964			0.000971087869	-0.000971087869	0	0	-787.6684698		0.3602954214		
787.6584698	94	6	0.9972578228		0.3602952762			60.69279704	39.30720296	60.6900062	39.3099938			0.0008149132274	-0.0008149132274	0	0	-787.6584698		0.3602952762		
787.6484698	94	6	0.9982458294		0.3602951167			60.69276544	39.30723456	60.68988149	39.31011851			0.0004867442183	-0.0004867442183	0	0	-787.6484698		0.3602951167		
787.6384698	94	6	0.9988778572		0.3602949561			60.69273456	39.30726544	60.68975692	39.31024308			0.0003690974108	-0.0003690974108	0	0	-787.6384698		0.3602949561		
787.6284698	94	6	0.9992821653		0.3602947939			60.69270484	39.30729516	60.68963258	39.31036742			0.0003847613803	-0.0003847613803	0	0	-787.6284698		0.3602947939		
787.6184698	94	6	1		1			60.69267587	39.30732413					0.0003598483958	-0.0003598483958			-787.6184698		1		
787.6084698	94	6	1		1			60.69267587	39.30732413					0	0			-787.6084698		1		
787.5884698	94	6	1		1			60.69267587	39.30732413					0	0			-787.5884698		1		
787.5484698	94	6	1		1			60.69267587	39.30732413					0	0			-787.5484698		1		
787.4684698	94	6	1		1			60.69267587	39.30732413					0	0			-787.4684698		1		
787.3084698	94	6	1		1			60.69267587	39.30732413					0	0			-787.3084698		1		
786.9884698	94	6	1		1			60.69267587	39.30732413					0	0			-786.9884698		1		
786.3484698	94	6	1		1			60.69267587	39.30732413					0	0			-786.3484698		1		
785.0684698	94	6	1		1			60.69267587	39.30732413					0	0			-785.0684698		1		
782.5084698	94	6	1		1			60.69267587	39.30732413					0	0			-782.5084698		1		
777.3884698	94	6	1		1			60.69267587	39.30732413					0	0			-777.3884698		1		
772.2684698	94	6	1		1			60.69267587	39.30732413					0	0			-772.2684698		1		
767.1484698	94	6	1		1			60.69267587	39.30732413					0	0			-767.1484698		1		
762.0284698	94	6	1		1			60.69267587	39.30732413					0	0			-762.0284698		1		
756.9084698	94	6	1		1			60.69267587	39.30732413					0	0			-756.9084698		1		
751.7884698	94	6	1		1			60.69267587	39.30732413					0	0			-751.7884698		1		
746.6684698	94	6	1		1			60.69267587	39.30732413					0	0			-746.6684698		1		
741.5484698	94	6	1		1			60.69267587	39.30732413					0	0			-741.5484698		1		
736.4284698	94	6	1		1			60.69267587	39.30732413					0	0			-736.4284698		1		
731.3084698	94	6	1		1			60.69267587	39.30732413					0	0			-731.3084698		1		
726.1884698	94	6	1		1			60.69267587	39.30732413					0	0			-726.1884698		1		
721.0684698	94	6	1		1			60.69267587	39.30732413					0	0			-721.0684698		1		
715.9484698	94	6	1		1			60.69267587	39.30732413					0	0			-715.9484698		1		
710.8284698	94	6	1		1			60.69267587	39.30732413					0	0			-710.8284698		1		
705.7084698	94	6	1		1			60.69267587	39.30732413					0	0			-705.7084698		1		
700.5884698	94	6	1		1			60.69267587	39.30732413					0	0			-700.5884698		1		
695.4684698	94	6	1		1			60.69267587	39.30732413					0	0			-695.4684698		1		
690.3484698	94	6	1		1			60.69267587	39.30732413					0	0			-690.3484698		1		
685.2284698	94	6	1		1			60.69267587	39.30732413					0	0			-685.2284698		1		
680.1084698	94	6	1		1			60.69267587	39.30732413					0	0			-680.1084698		1		
674.9884698	94	6	1		1			60.69267587	39.30732413					0	0			-674.9884698		1		
669.8684698	94	6	1		1			60.69267587	39.30732413					0	0			-669.8684698		1		
664.7484698	94	6	1		1			60.69267587	39.30732413					0	0			-664.7484698		1		
659.6284698	94	6	1		1			60.69267587	39.30732413					0	0			-659.6284698		1		
654.5084698	94	6	1		1			60.69267587	39.30732413					0	0			-654.5084698		1		
649.3884698	94	6	1		1			60.69267587	39.30732413					0	0			-649.3884698		1		
644.2684698	94	6	1		1			60.69267587	39.30732413					0	0			-644.2684698		1		
639.1484698	94	6	1		1			60.69267587	39.30732413					0	0			-639.1484698		1		
634.0284698	94	6	1		1			60.69267587	39.30732413					0	0			-634.0284698		1		
628.9084698	94	6	1		1			60.69267587	39.30732413					0	0			-628.9084698		1		
623.7884698	94	6	1		1			60.69267587	39.30732413					0	0			-623.7884698		1		
618.6684698	94	6	1		1			60.69267587	39.30732413					0	0			-618.6684698		1		
613.5484698	94	6	1		1			60.69267587	39.30732413					0	0			-613.5484698		1		
608.4284698	94	6	1		1			60.69267587	39.30732413					0	0			-608.4284698		1		
603.3084698	94	6	1		1			60.69267587	39.30732413					0	0			-603.3084698		1		
598.1884698	94	6	1		1			60.69267587	39.30732413					0	0			-598.1884698		1		
593.0684698	94	6	1		1			60.69267587	39.30732413					0	0			-593.0684698		1		
587.9484698	94	6	1		1			60.69267587	39.30732413					0	0			-587.9484698		1		
582.8284698	94	6	1		1			60.69267587	39.30732413					0	0			-582.8284698		1		
577.7084698	94	6	1		1			60.69267587	39.30732413					0	0			-577.7084698		1		
572.5884698	94	6	1		1			60.69267587	39.30732413					0	0			-572.5884698		1		
567.4684698	94	6	1		1			60.69267587	39.30732413					0	0			-567.4684698		1		
562.3484698	94	6	1		1			60.69267587	39.30732413					0	0			-562.3484698		1		
557.2284698	94	6	1		1			60.69267587	39.30732413					0	0			-557.2284698		1		
552.1084698	94	6	1		1			60.69267587	39.30732413					0	0			-552.1084698		1		
546.9884698	94	6	1		1			60.69267587	39.30732413					0	0			-546.9884698		1		
541.8684698	94	6	1		1			60.69267587	39.30732413					0	0			-541.8684698		1		
536.7484698	94	6	1		1			60.69267587	39.30732413					0	0			-536.7484698		1		
531.6284698	94	6	1		1			60.69267587	39.30732413					0	0			-531.6284698		1		
526.5084698	94	6	1		1			60.69267587	39.30732413					0	0			-526.5084698		1		
521.3884698	94	6	1		1			60.69267587	39.30732413					0	0			-521.3884698		1		
516.2684698	94	6	1		1			60.69267587	39.30732413					0	0			-516.2684698		1		
511.1484698	94	6	1		1			60.69267587	39.30732413					0	0			-511.1484698		1		
506.0284698	94	6	1		1			60.69267587	39.30732413					0	0			-506.0284698		1		
500.9084698	94	6	1		1			60.69267587	39.30732413					0	0			-500.9084698		1		
495.7884698	94	6	1		1			60.69267587	39.30732413					0	0			-495.7884698		1		
490.6684698	94	6	1		1			60.69267587	39.30732413					0	0			-490.6684698		1		
485.5484698	94	6	1		1			60.69267587	39.30732413					0	0			-485.5484698		1		
480.4284698	94	6	1		1			60.69267587	39.30732413					0	0			-480.4284698		1		
475.3084698	94	6	1		1			60.69267587	39.30732413					0	0			-475.3084698		1		
470.1884698	94	6	1		1			60.69267587	39.30732413					0	0			-470.1884698		1		
465.0684698	94	6	1		1			60.69267587	39.30732413					0	0			-465.0684698		1		
459.9484698	94	6	1		1			60.69267587	39.30732413					0	0			-459.9484698		1		
454.8284698	94	6	1		1			60.69267587	39.30732413					0	0			-454.8284698		1		
449.7084698	94	6	1		1			60.69267587	39.30732413					0	0			-449.7084698		1		
444.5884698	94	6	1		1			60.69267587	39.30732413					0	0			-444.5884698		1		
439.4684698	94	6	1		1			60.69267587	39.30732413					0	0			-439.4684698		1		
434.3484698	94	6	1		1			60.69267587	39.30732413					0	0			-434.3484698		1		
429.2284698	94	6	1		1			60.69267587	39.30732413					0	0			-429.2284698		1		
424.1084698	94	6	1		1			60.69267587	39.30732413					0	0			-424.1084698		1		
418.9884698	94	6	1		1			60.69267587	39.30732413					0	0			-418.9884698		1		
