T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
810.5354711	92	6	2	0.792384454	0.01831146352		95.94013659	2.986683162	1.073180251				70.68659316	22.06296759	7.250439253	0.4642260772	-0.3506720102	-0.113554067				0	0	0	-810.5354711	0.01831146352			
807.9754711	92	6	2	0.7965655244	0.01784727421		95.83193198	3.067320696	1.100747324				70.22966243	22.40814865	7.362188918	0.4587061507	-0.3465223517	-0.1121837989				0	0	0	-807.9754711	0.01784727421			
805.4154711	92	6	2	0.8005679523	0.01740375293		95.72187691	3.149484162	1.128638923				69.77814412	22.74925828	7.472597607	0.4532727651	-0.3424351281	-0.110837637				0	0	0	-805.4154711	0.01740375293			
802.8554711	92	6	2	0.8044029798	0.01697974028		95.60987486	3.233259069	1.156866069				69.33195181	23.08635876	7.581689438	0.4479261185	-0.3384104309	-0.1095156877				0	0	0	-802.8554711	0.01697974028			
800.2954711	92	6	2	0.8080809552	0.01657416603		95.49582242	3.318737113	1.185440465				68.89099905	23.41951234	7.689488611	0.4426662669	-0.334448235	-0.108218032				0	0	0	-800.2954711	0.01657416603			
797.7354711	92	6	2	0.8116114195	0.0161860413		95.37960861	3.406016829	1.214374558				68.45519945	23.74878117	7.796019386	0.4374931394	-0.3305484088	-0.1069447306				0	0	0	-797.7354711	0.0161860413			
795.1754711	92	6	2	0.8150031841	0.0158144517		95.26111407	3.495204321	1.243681612				68.0244668	24.07422713	7.901306065	0.4324065522	-0.3267107236	-0.1056958286				0	0	0	-795.1754711	0.0158144517			
792.6154711	92	6	2	0.8182643987	0.01545855122		95.14021011	3.586414099	1.273375789				67.59871519	24.39591182	8.005372988	0.4274062224	-0.3229348629	-0.1044713595				0	0	0	-792.6154711	0.01545855122			
790.0554711	92	6	2	0.8214026127	0.01511755683		95.01675773	3.679770031	1.303472237				67.17785906	24.71389642	8.10824452	0.422491781	-0.3192204301	-0.1032713509				0	0	0	-790.0554711	0.01511755683			
787.4954711	92	6	2	0.82442483	0.0147907438		94.89060636	3.775406435	1.333987202				66.76181328	25.02824167	8.20994505	0.4176627861	-0.3155669574	-0.1020958287				0	0	0	-787.4954711	0.0147907438			
784.9354711	92	6	2	0.8273376351	0.01447780965		94.76159017	3.873470943	1.364938889				66.35048883	25.33900991	8.310501261	0.4129187304	-0.3119739088	-0.1009448216				0	0	0	-784.9354711	0.01447780965			
