T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
720.9143155	97	3	0.9199396894	0.01137993254	95.34341648	4.656583522	72.96567733	27.03432267	0.2556497629	-0.2556497629	0	0	-720.9143155	0.01137993254	-19217.0491431556	
718.3543155	97	3	0.9208482309	0.01124855418	95.26956914	4.730430856	72.71193684	27.28806316	0.2547298318	-0.2547298318	0	0	-718.3543155	0.01124855418	-19767.6101556842	
715.7943155	97	3	0.9217363258	0.01112082047	95.19514666	4.80485334	72.4590945	27.5409055	0.2538292029	-0.2538292029	0	0	-715.7943155	0.01112082047	-20329.3045330046	
713.2343155	97	3	0.9226047091	0.01099660288	95.12014265	4.879857345	72.20712939	27.79287061	0.2529485443	-0.2529485443	0	0	-713.2343155	0.01099660288	-20902.2034859585	
710.6743155	97	3	0.9234540814	0.01087577638	95.04455069	4.955449311	71.95602393	28.04397607	0.2520855518	-0.2520855518	0	0	-710.6743155	0.01087577638	-21486.5599965753	
708.1143155	97	3	0.9242851105	0.01075822444	94.96836425	5.031635751	71.70575979	28.29424021	0.2512409498	-0.2512409498	0	0	-708.1143155	0.01075822444	-22082.7625102121	
705.5543155	97	3	0.9250984336	0.0106438351	94.89157675	5.108423252	71.45631894	28.54368106	0.2504144518	-0.2504144518	0	0	-705.5543155	0.0106438351	-22690.9964129156	
702.9943155	97	3	0.9258946588	0.01053250156	94.81418152	5.185818477	71.20768362	28.79231638	0.2496057793	-0.2496057793	0	0	-702.9943155	0.01053250156	-23311.5326685077	
700.4343155	97	3	0.926674367	0.01042412191	94.73617183	5.263828165	70.95983635	29.04016365	0.2488146621	-0.2488146621	0	0	-700.4343155	0.01042412191	-23944.6573308981	
697.8743155	97	3	0.927438113	0.01031859887	94.65754087	5.342459135	70.7127599	29.2872401	0.2480408382	-0.2480408382	0	0	-697.8743155	0.01031859887	-24590.6685881438	
