T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
797.0956036	99	1	0.9662898363	0.01826859042	97.00271266	2.997287343	80.87121574	19.12878426	0	0	-797.0956036	0.01826859042	-7027.88227519902	
794.5356036	99	1	0.9668974756	0.01791147754	96.93665198	3.06334802	80.57821321	19.42178679	0	0	-794.5356036	0.01791147754	-7318.75822565935	
791.9756036	99	1	0.9674827874	0.01756845156	96.87013364	3.129866362	80.28687218	19.71312782	0	0	-791.9756036	0.01756845156	-7616.75330182073	
789.4156036	99	1	0.9680470098	0.01723874769	96.80315239	3.196847608	79.99715902	20.00284098	0	0	-789.4156036	0.01723874769	-7921.95507886426	
786.8556036	99	1	0.9685912918	0.01692165487	96.73570297	3.264297026	79.70904077	20.29095923	0	0	-786.8556036	0.01692165487	-8234.45314029811	
784.2956036	99	1	0.9691167008	0.01661651115	96.66778009	3.332219915	79.42248512	20.57751488	0	0	-784.2956036	0.01661651115	-8554.33924288774	
781.7356036	99	1	0.9696242299	0.01632269957	96.5993784	3.400621604	79.13746041	20.86253959	0	0	-781.7356036	0.01632269957	-8881.70793664879	
779.1756036	99	1	0.970114804	0.01603964445	96.53049254	3.469507456	78.85393559	21.14606441	0	0	-779.1756036	0.01603964445	-9216.65591903801	
776.6156036	99	1	0.9705892857	0.01576680799	96.46111713	3.538882868	78.57188024	21.42811976	0	0	-776.6156036	0.01576680799	-9559.28319546091	
774.0556036	99	1	0.9710484802	0.0155036873	96.39124673	3.608753272	78.29126455	21.70873545	0	0	-774.0556036	0.0155036873	-9909.69256233576	
771.4956036	99	1	0.9714931404	0.01524981158	96.32087586	3.679124139	78.01205927	21.98794073	0	0	-771.4956036	0.01524981158	-10267.990066819	
768.9356036	99	1	0.9719239708	0.01500473969	96.24999902	3.750000979	77.73423574	22.26576426	0	0	-768.9356036	0.01500473969	-10634.2849473292	
766.3756036	99	1	0.972341631	0.01476805782	96.17861066	3.821389343	77.45776586	22.54223414	0	0	-766.3756036	0.01476805782	-11008.6898836165	
763.8156036	99	1	0.9727467399	0.01453937748	96.10670518	3.893294822	77.18262208	22.81737792	0	0	-763.8156036	0.01453937748	-11391.3216438273	
761.2556036	99	1	0.9731398782	0.01431833359	96.03427695	3.965723053	76.90877737	23.09122263	0	0	-761.2556036	0.01431833359	-11782.3003648287	
758.6956036	99	1	0.9735215916	0.01410458277	95.96132028	4.038679717	76.63620522	23.36379478	0	0	-758.6956036	0.01410458277	-12181.751514309	
756.1356036	99	1	0.9738923931	0.01389780181	95.88782946	4.11217054	76.36487964	23.63512036	0	0	-756.1356036	0.01389780181	-12589.8037287199	
753.5756036	99	1	0.9742527659	0.01369768616	95.8137987	4.186201297	76.09477512	23.90522488	0	0	-753.5756036	0.01369768616	-13006.5910872001	
