T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
841.3295384	92	8	0.6751689322	0.03733524978	94.24897746	5.751022536	82.92065852	17.07934148	0	0	-841.3295384	0.03733524978	-2279.72634362996	
838.7695384	92	8	0.6868000129	0.03624391097	94.08269631	5.917303686	82.50088851	17.49911149	0	0	-838.7695384	0.03624391097	-2418.47788030787	
836.2095384	92	8	0.6976931824	0.03521459131	93.91548295	6.084517045	82.08425672	17.91574328	0	0	-836.2095384	0.03521459131	-2562.54532593644	
833.6495384	92	8	0.7079145535	0.03424261419	93.74729212	6.252707879	81.67072344	18.32927656	0	0	-833.6495384	0.03424261419	-2712.08503179664	
831.0895384	92	8	0.7175228123	0.03332376204	93.5780782	6.4219218	81.26024697	18.73975303	0	0	-831.0895384	0.03332376204	-2867.26250312289	
828.5295384	92	8	0.726570212	0.03245422154	93.40779518	6.592204822	80.85278385	19.14721615	0	0	-828.5295384	0.03245422154	-3028.25324053832	
825.9695384	92	8	0.7351034144	0.0316305365	93.23639658	6.763603422	80.44828915	19.55171085	0	0	-825.9695384	0.0316305365	-3195.243976639	
823.4095384	92	8	0.743164204	0.0308495674	93.0638354	6.936164595	80.04671667	19.95328333	0	0	-823.4095384	0.0308495674	-3368.43397874923	
820.8495384	92	8	0.7507900963	0.03010845628	92.89006409	7.109935913	79.64801914	20.35198086	0	0	-820.8495384	0.03010845628	-3548.03649316081	
818.2895384	92	8	0.7580148599	0.02940459634	92.71503442	7.284965583	79.25214841	20.74785159	0	0	-818.2895384	0.02940459634	-3734.28036485322	
815.7295384	92	8	0.7648689636	0.02873560538	92.53869749	7.461302509	78.85905562	21.14094438	0	0	-815.7295384	0.02873560538	-3927.41189967784	
813.1695384	92	8	0.7713799625	0.02809930265	92.36100365	7.638996349	78.46869133	21.53130867	0	0	-813.1695384	0.02809930265	-4127.69710885204	
810.6095384	92	8	0.7775728321	0.02749368854	92.18190242	7.81809758	78.08100567	21.91899433	0	0	-810.6095384	0.02749368854	-4335.42393576027	
808.0495384	92	8	0.7834702574	0.02691692668	92.00134245	7.998657555	77.69594843	22.30405157	0	0	-808.0495384	0.02691692668	-4550.90507908448	
805.4895384	92	8	0.7890928853	0.02636732822	91.81927143	8.18072857	77.31346918	22.68653082	0	0	-805.4895384	0.02636732822	-4774.48115035306	
802.9295384	92	8	0.7944595445	0.02584333789	91.63563607	8.364363926	76.93351736	23.06648264	0	0	-802.9295384	0.02584333789	-5006.52418339614	
800.3695384	92	8	0.7995874376	0.02534352167	91.45038201	8.549617994	76.55604234	23.44395766	0	0	-800.3695384	0.02534352167	-5247.44153517026	
797.8095384	92	8	0.8044923109	0.02486655579	91.26345372	8.736546282	76.1809935	23.8190065	0	0	-797.8095384	0.02486655579	-5497.68063740412	
795.2495384	92	8	0.809188602	0.024411217	91.0747945	8.925205501	75.80832028	24.19167972	0	0	-795.2495384	0.024411217	-5757.734493242	
792.6895384	92	8	0.8136895716	0.02397637386	90.88434637	9.115653634	75.43797224	24.56202776	0	0	-792.6895384	0.02397637386	-6028.14742883696	
790.1295384	92	8	0.8180074191	0.02356097892	90.69204999	9.307950008	75.06989908	24.93010092	0	0	-790.1295384	0.02356097892	-6309.52248424947	
787.5695384	92	8	0.8221533853	0.02316406179	90.49784464	9.502155365	74.70405066	25.29594934	0	0	-787.5695384	0.02316406179	-6604.00608675661	
785.0095384	92	8	0.8261378701	0.02278488163	90.30166717	9.698332834	74.34037593	25.65962407	0	0	-785.0095384	0.02278488163	-6908.38785771373	
782.4495384	92	8	0.8299704182	0.02242220025	90.10345569	9.896544309	73.97882761	26.02117239	0	0	-782.4495384	0.02242220025	-7225.65516834258	
779.8895384	92	8	0.8336599175	0.02207556935	89.90314377	10.09685623	73.61935494	26.38064506	0	0	-779.8895384	0.02207556935	-7559.14971088545	
777.3295384	92	8	0.8372145919	0.02174418962	89.70066426	10.29933574	73.26190869	26.73809131	0	0	-777.3295384	0.02174418962	-7907.09286392314	
774.7695384	92	8	0.8406420742	0.02142739353	89.49594819	10.50405181	72.90643987	27.09356013	0	0	-774.7695384	0.02142739353	-8271.41882455399	
772.2095384	92	8	0.8439494574	0.02112456154	89.28892472	10.71107528	72.55289971	27.44710029	0	0	-772.2095384	0.02112456154	-8653.47239154407	
