T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
794.2426213	87	8	5	0.6573267548	0.0238757491	96.74118416	2.648670473	0.6101453677	67.02233854	19.18334075	13.79432071	0	0	0	-794.2426213	0.0238757491	-4520.66894792061	
791.6826213	87	8	5	0.6652139482	0.02331555657	96.72913709	2.657328084	0.6135348286	66.31317343	19.57785218	14.10897439	0	0	0	-791.6826213	0.02331555657	-4620.70036235251	
789.1226213	87	8	5	0.6727362062	0.02276742931	96.71814263	2.665242067	0.6166153019	65.60480267	19.97187983	14.42331751	0	0	0	-789.1226213	0.02276742931	-4722.12302844747	
786.5626213	87	8	5	0.6799140662	0.02223104426	96.70816803	2.67244432	0.6193876504	64.89762099	20.36520845	14.73717056	0	0	0	-786.5626213	0.02223104426	-4825.4670542871	
784.0026213	87	8	5	0.6867666875	0.0217061436	96.69918115	2.678965863	0.6218529874	64.1920158	20.75762645	15.05035775	0	0	0	-784.0026213	0.0217061436	-4931.25688187917	
781.4426213	87	8	5	0.6933119717	0.02119252434	96.69115053	2.684836778	0.6240126895	63.48836497	21.14892713	15.36270791	0	0	0	-781.4426213	0.02119252434	-5040.00633484023	
778.8826213	87	8	5	0.69956667	0.02069002836	96.68404543	2.690086166	0.6258684064	62.78703486	21.53890982	15.67405532	0	0	0	-778.8826213	0.02069002836	-5152.21355158904	
776.3226213	87	8	5	0.7055464782	0.02019853324	96.67783583	2.694742105	0.6274220684	62.08837857	21.92738091	15.98424052	0	0	0	-776.3226213	0.02019853324	-5268.35734552658	
773.7626213	87	8	5	0.7112661204	0.01971794377	96.67249249	2.698831617	0.6286758914	61.39273428	22.31415475	16.29311097	0	0	0	-773.7626213	0.01971794377	-5388.89447823653	
771.2026213	87	8	5	0.7167394247	0.01924818433	96.66798697	2.702380653	0.629632379	60.70042401	22.69905441	16.60052159	0	0	0	-771.2026213	0.01924818433	-5514.25815038479	
768.6426213	87	8	5	0.7219793897	0.0187891921	96.6642916	2.705414073	0.6302943228	60.01175241	23.08191234	16.90633525	0	0	0	-768.6426213	0.0187891921	-5644.85705528241	
766.0826213	87	8	5	0.7269982448	0.01834091114	96.66137956	2.707955643	0.6306647996	59.32700599	23.4625709	17.21042312	0	0	0	-766.0826213	0.01834091114	-5781.07497437553	
763.5226213	87	8	5	0.7318075041	0.0179032873	96.65922479	2.710028039	0.630747167	58.6464524	23.84088265	17.51266494	0	0	0	-763.5226213	0.0179032873	-5926.47796510659	
760.9626213	87	8	5	0.736418147	0.0174767093	96.65780145	2.711653333	0.630545213	57.97033087	24.21671567	17.81295347	0	0	0	-760.9626213	0.0174767093	-6072.88461418864	
758.4026213	87	8	5	0.740840195	0.01705996602	96.6570864	2.712851054	0.6300625421	57.29888933	24.58993335	18.11117731	0	0	0	-758.4026213	0.01705996602	-6224.99860035805	
755.8426213	87	8	5	0.7450833587	0.01665394	96.65705543	2.713641136	0.6293034331	56.63232768	24.96042551	18.40724681	0	0	0	-755.8426213	0.01665394	-6388.84898076032	
753.2826213	87	8	5	0.749156736	0.01625830061	96.65768562	2.714042092	0.628272293	55.97083619	25.32808714	18.70107667	0	0	0	-753.2826213	0.01625830061	-6558.0867483244	
750.7226213	87	8	5	0.7530689133	0.01587295328	96.65895487	2.714071377	0.6269737516	55.31458629	25.69282363	18.99259009	0	0	0	-750.7226213	0.01587295328	-6734.75376939089	
748.1626213	87	8	5	0.7568279958	0.01549779213	96.66084185	2.713745488	0.6254126574	54.66373088	26.05455054	19.28171857	0	0	0	-748.1626213	0.01549779213	-6919.09210393596	
745.6026213	87	8	5	0.7604416371	0.01513269804	96.66332594	2.713079992	0.6235940639	54.01840503	26.41319332	19.56840165	0	0	0	-745.6026213	0.01513269804	-7111.31568654082	
743.0426213	87	8	5	0.7639170656	0.01477753882	96.66638722	2.712089567	0.621523215	53.37872658	26.76868688	19.85258654	0	0	0	-743.0426213	0.01477753882	-7311.62509328826	
740.4826213	87	8	5	0.7672611092	0.01443216973	96.67000643	2.710788038	0.6192055308	52.74479689	27.12097525	20.13422786	0	0	0	-740.4826213	0.01443216973	-7520.20646474803	
737.9226213	87	8	5	0.7704802186	0.014096434	96.67416499	2.709188418	0.6166465924	52.11670171	27.4700111	20.41328719	0	0	0	-737.9226213	0.014096434	-7737.23252445243	
735.3626213	87	8	5	0.7735804889	0.01377016379	96.67884493	2.707302944	0.6138521278	51.49451197	27.8157553	20.68973274	0	0	0	-735.3626213	0.01377016379	-7962.86444502115	
732.8026213	87	8	5	0.7765676802	0.01345318116	96.68402888	2.705143118	0.610827997	50.87828469	28.15817639	20.96353892	0	0	0	-732.8026213	0.01345318116	-8197.25190257965	
730.2426213	87	8	5	0.7794472367	0.01314529919	96.68970008	2.702719747	0.6075801781	50.26806387	28.49725017	21.23468596	0	0	0	-730.2426213	0.01314529919	-8440.53431816207	
727.6826213	87	8	5	0.7822243044	0.01284632315	96.69584227	2.700042976	0.6041147534	49.66388135	28.83295915	21.5031595	0	0	0	-727.6826213	0.01284632315	-8692.84144494033	
725.1226213	87	8	5	0.7849037486	0.01255605169	96.70243977	2.69712233	0.6004378961	49.06575775	29.16529208	21.76895017	0	0	0	-725.1226213	0.01255605169	-8954.29453534305	
