T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
792.0120389	89	1	10	0.5370181241	0.018271788	97.04874447	0.1631068468	2.788148686	78.60962266	1.946691165	19.44368617				0	0	0				-792.0120389	0.018271788	-7542.82202296347	
789.4520389	89	1	10	0.5453616191	0.01793902251	96.99205214	0.1612248436	2.846723016	78.27383598	1.979305854	19.74685817				0	0	0				-789.4520389	0.01793902251	-7853.82032126947	
786.8920389	89	1	10	0.5534092237	0.01761935063	96.93503188	0.1592906173	2.9056775	77.93914042	2.011948586	20.04891099				0	0	0				-786.8920389	0.01761935063	-8173.21000904312	
784.3320389	89	1	10	0.5611769708	0.01731209411	96.87767525	0.1573073634	2.965017386	77.6054983	2.044622064	20.34987963				0	0	0				-784.3320389	0.01731209411	-8501.18243913768	
781.7720389	89	1	10	0.5686797691	0.01701662092	96.81997383	0.1552782002	3.024747967	77.27287221	2.07732899	20.6497988				0	0	0				-781.7720389	0.01701662092	-8837.93924379418	
779.2120389	89	1	10	0.5759314987	0.01673234145	96.76191925	0.153206171	3.084874579	76.94122503	2.110072062	20.94870291				0	0	0				-779.2120389	0.01673234145	-9183.69272183159	
776.6520389	89	1	10	0.5829450986	0.01645870506	96.70350314	0.1510942462	3.145402611	76.61051989	2.14285398	21.24662613				0	0	0				-776.6520389	0.01645870506	-9538.66705074014	
774.0920389	89	1	10	0.589732644	0.016195197	96.64471718	0.148945325	3.206337498	76.28072022	2.175677445	21.54360234				0	0	0				-774.0920389	0.016195197	-9903.09973787253	
771.5320389	89	1	10	0.5963054175	0.01594133561	96.58555303	0.1467622373	3.267684731	75.95178966	2.208545166	21.83966518				0	0	0				-771.5320389	0.01594133561	-10277.2415048879	
768.9720389	89	1	10	0.6026739722	0.01569666973	96.5260024	0.1445477451	3.329449853	75.6236921	2.241459857	22.13484804				0	0	0				-768.9720389	0.01569666973	-10661.3581805762	
766.4120389	89	1	10	0.6088481901	0.01546077643	96.46605699	0.1423045441	3.391638468	75.29639166	2.274424245	22.42918409				0	0	0				-766.4120389	0.01546077643	-11055.7321614831	
763.8520389	89	1	10	0.6148373339	0.01523325888	96.4057085	0.1400352652	3.454256236	74.96985267	2.307441069	22.72270626				0	0	0				-763.8520389	0.01523325888	-11460.6631741342	
