T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
885.2858135	91	6	3	0.1041420375	0.1045233131	98.04963631	1.691778746	0.2585849424	90.17715598	6.502863007	3.319981017							0	0	0	-885.2858135	0.1045233131	39.2748774060497	
885.2058135	91	6	3	0.1061681158	0.1065565877	98.04721437	1.693809133	0.2589764967	90.15952882	6.513569809	3.326901375							0	0	0	-885.2058135	0.1065565877	39.4163278927391	
885.1258135	91	6	3	0.1081869374	0.1085825708	98.04479504	1.695837049	0.2593679107	90.14189662	6.524276998	3.333826386							0	0	0	-885.1258135	0.1085825708	39.5580850268897	
885.0458135	91	6	3	0.1101985385	0.1106012989	98.04237832	1.697862496	0.2597591843	90.12425937	6.534984578	3.340756048							0	0	0	-885.0458135	0.1106012989	39.7001503294088	
884.9658135	91	6	3	0.1122029551	0.1126128081	98.03996421	1.699885474	0.2601503173	90.10661709	6.545692553	3.34769036							0	0	0	-884.9658135	0.1126128081	39.8425223684487	
884.8858135	91	6	3	0.114200223	0.1146171346	98.0375527	1.701905985	0.2605413096	90.08896975	6.556400927	3.35462932							0	0	0	-884.8858135	0.1146171346	39.985200778552	
884.8058135	91	6	3	0.1161903779	0.1166143141	98.03514381	1.703924031	0.2609321611	90.07131737	6.567109706	3.361572926							0	0	0	-884.8058135	0.1166143141	40.1281891815882	
884.7258135	91	6	3	0.1181734549	0.118604382	98.03273752	1.705939611	0.2613228715	90.05365993	6.577818893	3.368521177							0	0	0	-884.7258135	0.118604382	40.271486257743	
884.6458135	91	6	3	0.1201494893	0.1205873737	98.03033383	1.707952728	0.2617134407	90.03599744	6.588528492	3.375474072							0	0	0	-884.6458135	0.1205873737	40.4150907220632	
884.5658135	91	6	3	0.122118516	0.1225633243	98.02793275	1.709963382	0.2621038686	90.01832988	6.599238509	3.382431607							0	0	0	-884.5658135	0.1225633243	40.5590043444771	
884.4858135	91	6	3	0.1240805695	0.1245322686	98.02553427	1.711971575	0.2624941549	90.00065727	6.609948946	3.389393783							0	0	0	-884.4858135	0.1245322686	40.7032279321538	
884.4058135	91	6	3	0.1260356843	0.1264942412	98.02313839	1.713977307	0.2628842996	89.98297959	6.620659809	3.396360598							0	0	0	-884.4058135	0.1264942412	40.8477623593097	
884.3258135	91	6	3	0.1279838946	0.1284492764	98.02074512	1.715980581	0.2632743025	89.96529685	6.631371102	3.403332048							0	0	0	-884.3258135	0.1284492764	40.9926064234337	
884.2458135	91	6	3	0.1299252344	0.1303974085	98.01835444	1.717981397	0.2636641635	89.94760904	6.64208283	3.410308134							0	0	0	-884.2458135	0.1303974085	41.1377610917527	
884.1658135	91	6	3	0.1318597374	0.1323386713	98.01596636	1.719979756	0.2640538823	89.92991615	6.652794995	3.417288854							0	0	0	-884.1658135	0.1323386713	41.2832262398457	
884.0858135	91	6	3	0.1337874372	0.1342730987	98.01358088	1.72197566	0.2644434588	89.91221819	6.663507604	3.424274205							0	0	0	-884.0858135	0.1342730987	41.429002939542	
884.0058135	91	6	3	0.1357083671	0.136200724	98.011198	1.72396911	0.2648328928	89.89451515	6.67422066	3.431264186							0	0	0	-884.0058135	0.136200724	41.5750911272541	
883.9258135	91	6	3	0.1376225602	0.1381215807	98.00881771	1.725960106	0.2652221843	89.87680704	6.684934167	3.438258796							0	0	0	-883.9258135	0.1381215807	41.7214908885031	
883.8458135	91	6	3	0.1395300494	0.1400357017	98.00644002	1.727948651	0.265611333	89.85909384	6.69564813	3.445258032							0	0	0	-883.8458135	0.1400357017	41.8682044227923	
883.7658135	91	6	3	0.1414308673	0.1419431199	98.00406492	1.729934746	0.2660003387	89.84137555	6.706362553	3.452261893							0	0	0	-883.7658135	0.1419431199	42.0152307800168	
883.6858135	91	6	3	0.1433250465	0.1438438679	98.00169241	1.731918391	0.2663892013	89.82365218	6.717077441	3.459270377							0	0	0	-883.6858135	0.1438438679	42.1625700829915	
883.6058135	91	6	3	0.1452126193	0.1457379782	97.99932249	1.733899587	0.2667779207	89.80592372	6.727792798	3.466283483							0	0	0	-883.6058135	0.1457379782	42.3102213905896	
883.5258135	91	6	3	0.1470936176	0.1476254831	97.99695517	1.735878337	0.2671664967	89.78819016	6.738508628	3.473301209							0	0	0	-883.5258135	0.1476254831	42.4581871513879	
883.4458135	91	6	3	0.1489680734	0.1495064145	97.99459043	1.737854641	0.2675549291	89.77045151	6.749224936	3.480323552							0	0	0	-883.4458135	0.1495064145	42.6064675940846	
883.3658135	91	6	3	0.1508360182	0.1513808043	97.99222828	1.739828501	0.2679432177	89.75270776	6.759941726	3.487350512							0	0	0	-883.3658135	0.1513808043	42.7550618945199	
883.2858135	91	6	3	0.1526974836	0.1532486841	97.98986872	1.741799917	0.2683313625	89.73495891	6.770659002	3.494382087							0	0	0	-883.2858135	0.1532486841	42.9039715020274	
883.2058135	91	6	3	0.1545525008	0.1551100853	97.98751175	1.743768891	0.2687193631	89.71720496	6.781376768	3.501418274							0	0	0	-883.2058135	0.1551100853	43.053196783588	
883.1258135	91	6	3	0.1564011008	0.1569650391	97.98515736	1.745735425	0.2691072195	89.6994459	6.79209503	3.508459072							0	0	0	-883.1258135	0.1569650391	43.2027381437384	
883.0458135	91	6	3	0.1582433145	0.1588135765	97.98280555	1.747699519	0.2694949316	89.68168173	6.802813791	3.515504479							0	0	0	-883.0458135	0.1588135765	43.3525948427061	
882.9658135	91	6	3	0.1600791726	0.1606557284	97.98045633	1.749661174	0.269882499	89.66391245	6.813533056	3.522554494							0	0	0	-882.9658135	0.1606557284	43.5027673545404	
882.8858135	91	6	3	0.1619087055	0.1624915254	97.97810969	1.751620393	0.2702699217	89.64613806	6.824252829	3.529609114							0	0	0	-882.8858135	0.1624915254	43.653257360265	
882.8058135	91	6	3	0.1637319435	0.1643209979	97.97576563	1.753577175	0.2706571995	89.62835855	6.834973115	3.536668338							0	0	0	-882.8058135	0.1643209979	43.8040642161278	
882.7258135	91	6	3	0.1655489166	0.1661441762	97.97342414	1.755531523	0.2710443323	89.61057392	6.845693917	3.543732164							0	0	0	-882.7258135	0.1661441762	43.9551885197089	
882.6458135	91	6	3	0.1673596548	0.1679610903	97.97108524	1.757483438	0.2714313197	89.59278417	6.856415241	3.55080059							0	0	0	-882.6458135	0.1679610903	44.1066308787041	
