T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
631.4523063	97	2	1	1	0.9730587712	99.68565401	0.3005597274	0.01378626303				0	63.38009805	36.61990195				-631.4523063	0.9730587712	-78412.3531342426	
631.3723063	97	2	1	1	0.9730577521	99.68575842	0.3004936611	0.01374792363				0	63.38009805	36.61990195				-631.3723063	0.9730577521	-78585.645203597	
631.2923063	97	2	1	1	0.9730567352	99.68586259	0.3004277394	0.01370966819				0	63.38009805	36.61990195				-631.2923063	0.9730567352	-78755.8452688862	
631.2123063	97	2	1	1	0.9730557205	99.68596654	0.3003619623	0.01367149661				0	63.38009805	36.61990195				-631.2123063	0.9730557205	-78930.6950635239	
631.1323063	97	2	1	1	0.9730547081	99.68607026	0.3002963295	0.0136334088				0	63.38009805	36.61990195				-631.1323063	0.9730547081	-79106.2882391949	
631.0523063	97	2	1	1	0.9730536979	99.68617375	0.3002308409	0.01359540463				0	63.38009805	36.61990195				-631.0523063	0.9730536979	-79278.7534673283	
630.9723063	97	2	1	1	0.9730526899	99.68627702	0.3001654962	0.01355748402				0	63.38009805	36.61990195				-630.9723063	0.9730526899	-79451.9723476343	
630.8923063	97	2	1	1	0.9730516841	99.68638006	0.3001002953	0.01351964685				0	63.38009805	36.61990195				-630.8923063	0.9730516841	-79629.9304673767	
630.8123063	97	2	1	1	0.9730506806	99.68648287	0.300035238	0.01348189303				0	63.38009805	36.61990195				-630.8123063	0.9730506806	-79804.6541355906	
630.7323063	97	2	1	1	0.9730496792	99.68658545	0.2999703242	0.01344422244				0	63.38009805	36.61990195				-630.7323063	0.9730496792	-79980.21644095	
630.6523063	97	2	1	1	0.9730486801	99.68668781	0.2999055536	0.01340663498				0	63.38009805	36.61990195				-630.6523063	0.9730486801	-80160.5154098224	
630.5723063	97	2	1	1	0.9730476832	99.68678994	0.2998409261	0.01336913056				0	63.38009805	36.61990195				-630.5723063	0.9730476832	-80337.613211095	
630.4923063	97	2	1	1	0.9730466885	99.68689185	0.2997764415	0.01333170906				0	63.38009805	36.61990195				-630.4923063	0.9730466885	-80515.4952722054	
630.4123063	97	2	1	1	0.973045696	99.68699353	0.2997120996	0.01329437037				0	63.38009805	36.61990195				-630.4123063	0.973045696	-80694.1668095007	
630.3323063	97	2	1	1	0.9730447057	99.68709499	0.2996479003	0.0132571144				0	63.38009805	36.61990195				-630.3323063	0.9730447057	-80873.6330861581	
630.2523063	97	2	1	1	0.9730437176	99.68719622	0.2995838432	0.01321994105				0	63.38009805	36.61990195				-630.2523063	0.9730437176	-81053.8994256834	
630.1723063	97	2	1	1	0.9730427317	99.68729722	0.2995199284	0.01318285019				0	63.38009805	36.61990195				-630.1723063	0.9730427317	-81230.8289276053	
630.0923063	97	2	1	1	0.9730417479	99.687398	0.2994561556	0.01314584174				0	63.38009805	36.61990195				-630.0923063	0.9730417479	-81412.7300055714	
630.0123063	97	2	1	1	0.9730407664	99.68749856	0.2993925245	0.01310891557				0	63.38009805	36.61990195				-630.0123063	0.9730407664	-81599.5526536116	
629.9323063	97	2	1	1	0.9730397871	99.68759889	0.2993290351	0.0130720716				0	63.38009805	36.61990195				-629.9323063	0.9730397871	-81778.874859131	
629.8523063	97	2	1	1	0.9730388099	99.687699	0.2992656871	0.01303530971				0	63.38009805	36.61990195				-629.8523063	0.9730388099	-81959.0238632899	
629.7723063	97	2	1	1	0.9730378349	99.68779889	0.2992024804	0.0129986298				0	63.38009805	36.61990195				-629.7723063	0.9730378349	-82144.1668685182	
629.6923063	97	2	1	1	0.9730368621	99.68789855	0.2991394148	0.01296203176				0	63.38009805	36.61990195				-629.6923063	0.9730368621	-82330.148239585	
629.6123063	97	2	1	1	0.9730358915	99.68799799	0.2990764901	0.01292551548				0	63.38009805	36.61990195				-629.6123063	0.9730358915	-82512.6993536933	
629.5323063	97	2	1	1	0.973034923	99.68809721	0.2990137061	0.01288908086				0	63.38009805	36.61990195				-629.5323063	0.973034923	-82700.3939896375	
629.4523063	97	2	1	1	0.9730339568	99.68819621	0.2989510626	0.0128527278				0	63.38009805	36.61990195				-629.4523063	0.9730339568	-82884.5542298729	
629.3723063	97	2	1	1	0.9730329926	99.68829498	0.2988885595	0.01281645619				0	63.38009805	36.61990195				-629.3723063	0.9730329926	-83069.6517803169	
629.2923063	97	2	1	1	0.9730320307	99.68839354	0.2988261965	0.01278026591				0	63.38009805	36.61990195				-629.2923063	0.9730320307	-83259.812735802	
629.2123063	97	2	1	1	0.9730310709	99.68849187	0.2987639735	0.01274415687				0	63.38009805	36.61990195				-629.2123063	0.9730310709	-83446.5532909173	
629.1323063	97	2	1	1	0.9730301133	99.68858998	0.2987018903	0.01270812896				0	63.38009805	36.61990195				-629.1323063	0.9730301133	-83634.0941830317	
629.0523063	97	2	1	1	0.9730291578	99.68868787	0.2986399468	0.01267218207				0	63.38009805	36.61990195				-629.0523063	0.9730291578	-83822.5194302594	
628.9723063	97	2	1	1	0.9730282045	99.68878554	0.2985781427	0.0126363161				0	63.38009805	36.61990195				-628.9723063	0.9730282045	-84011.7558762181	
628.8923063	97	2	1	1	0.9730272533	99.68888299	0.2985164778	0.01260053094				0	63.38009805	36.61990195				-628.8923063	0.9730272533	-84201.8887166915	
628.8123063	97	2	1	1	0.9730263043	99.68898022	0.298454952	0.01256482647				0	63.38009805	36.61990195				-628.8123063	0.9730263043	-84392.8438249339	
628.7323063	97	2	1	1	0.9730253574	99.68907723	0.298393565	0.01252920261				0	63.38009805	36.61990195				-628.7323063	0.9730253574	-84580.2158663866	
628.6523063	97	2	1	1	0.9730244126	99.68917402	0.2983323168	0.01249365922				0	63.38009805	36.61990195				-628.6523063	0.9730244126	-84772.9335499227	
628.5723063	97	2	1	1	0.97302347	99.6892706	0.2982712071	0.01245819622				0	63.38009805	36.61990195				-628.5723063	0.97302347	-84971.0232658994	
